,index,#,Name,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Variant,Varieties,sprite_url
474,481,386,Deoxys,3,Mythical,,False,Psychic,,600,50,180,20,180,20,150,Attack Forme,"[{'is_default': True, 'pokemon': {'name': 'deoxys-normal', 'url': 'https://pokeapi.co/api/v2/pokemon/386/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-attack', 'url': 'https://pokeapi.co/api/v2/pokemon/10001/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-defense', 'url': 'https://pokeapi.co/api/v2/pokemon/10002/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-speed', 'url': 'https://pokeapi.co/api/v2/pokemon/10003/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-attack.png
475,482,386,Deoxys,3,Mythical,,False,Psychic,,600,50,70,160,70,160,90,Defense Forme,"[{'is_default': True, 'pokemon': {'name': 'deoxys-normal', 'url': 'https://pokeapi.co/api/v2/pokemon/386/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-attack', 'url': 'https://pokeapi.co/api/v2/pokemon/10001/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-defense', 'url': 'https://pokeapi.co/api/v2/pokemon/10002/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-speed', 'url': 'https://pokeapi.co/api/v2/pokemon/10003/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-defense.png
476,483,386,Deoxys,3,Mythical,,False,Psychic,,600,50,95,90,95,90,180,Speed Forme,"[{'is_default': True, 'pokemon': {'name': 'deoxys-normal', 'url': 'https://pokeapi.co/api/v2/pokemon/386/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-attack', 'url': 'https://pokeapi.co/api/v2/pokemon/10001/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-defense', 'url': 'https://pokeapi.co/api/v2/pokemon/10002/'}}, {'is_default': False, 'pokemon': {'name': 'deoxys-speed', 'url': 'https://pokeapi.co/api/v2/pokemon/10003/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-speed.png
477,484,387,Turtwig,4,Common,,False,Grass,,318,55,68,64,45,55,31,,"[{'is_default': True, 'pokemon': {'name': 'turtwig', 'url': 'https://pokeapi.co/api/v2/pokemon/387/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/turtwig.png
478,485,388,Grotle,4,Common,Turtwig,False,Grass,,405,75,89,85,55,65,36,,"[{'is_default': True, 'pokemon': {'name': 'grotle', 'url': 'https://pokeapi.co/api/v2/pokemon/388/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/grotle.png
479,486,389,Torterra,4,Common,Grotle,False,Grass,Ground,525,95,109,105,75,85,56,,"[{'is_default': True, 'pokemon': {'name': 'torterra', 'url': 'https://pokeapi.co/api/v2/pokemon/389/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/torterra.png
480,487,390,Chimchar,4,Common,,False,Fire,,309,44,58,44,58,44,61,,"[{'is_default': True, 'pokemon': {'name': 'chimchar', 'url': 'https://pokeapi.co/api/v2/pokemon/390/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/chimchar.png
481,488,391,Monferno,4,Common,Chimchar,False,Fire,Fighting,405,64,78,52,78,52,81,,"[{'is_default': True, 'pokemon': {'name': 'monferno', 'url': 'https://pokeapi.co/api/v2/pokemon/391/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/monferno.png
482,489,392,Infernape,4,Common,Monferno,False,Fire,Fighting,534,76,104,71,104,71,108,,"[{'is_default': True, 'pokemon': {'name': 'infernape', 'url': 'https://pokeapi.co/api/v2/pokemon/392/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/infernape.png
483,490,393,Piplup,4,Common,,False,Water,,314,53,51,53,61,56,40,,"[{'is_default': True, 'pokemon': {'name': 'piplup', 'url': 'https://pokeapi.co/api/v2/pokemon/393/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/piplup.png
484,491,394,Prinplup,4,Common,Piplup,False,Water,,405,64,66,68,81,76,50,,"[{'is_default': True, 'pokemon': {'name': 'prinplup', 'url': 'https://pokeapi.co/api/v2/pokemon/394/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/prinplup.png
485,492,395,Empoleon,4,Common,Prinplup,False,Water,Steel,530,84,86,88,111,101,60,,"[{'is_default': True, 'pokemon': {'name': 'empoleon', 'url': 'https://pokeapi.co/api/v2/pokemon/395/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/empoleon.png
486,493,396,Starly,4,Common,,True,Normal,Flying,245,40,55,30,30,30,60,,"[{'is_default': True, 'pokemon': {'name': 'starly', 'url': 'https://pokeapi.co/api/v2/pokemon/396/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/starly.png
487,494,397,Staravia,4,Common,Starly,True,Normal,Flying,340,55,75,50,40,40,80,,"[{'is_default': True, 'pokemon': {'name': 'staravia', 'url': 'https://pokeapi.co/api/v2/pokemon/397/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/staravia.png
488,495,398,Staraptor,4,Common,Staravia,True,Normal,Flying,485,85,120,70,50,60,100,,"[{'is_default': True, 'pokemon': {'name': 'staraptor', 'url': 'https://pokeapi.co/api/v2/pokemon/398/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/staraptor.png
489,496,399,Bidoof,4,Common,,True,Normal,,250,59,45,40,35,40,31,,"[{'is_default': True, 'pokemon': {'name': 'bidoof', 'url': 'https://pokeapi.co/api/v2/pokemon/399/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bidoof.png
490,497,400,Bibarel,4,Common,Bidoof,True,Normal,Water,410,79,85,60,55,60,71,,"[{'is_default': True, 'pokemon': {'name': 'bibarel', 'url': 'https://pokeapi.co/api/v2/pokemon/400/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bibarel.png
491,498,401,Kricketot,4,Common,,True,Bug,,194,37,25,41,25,41,25,,"[{'is_default': True, 'pokemon': {'name': 'kricketot', 'url': 'https://pokeapi.co/api/v2/pokemon/401/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/kricketot.png
492,499,402,Kricketune,4,Common,Kricketot,True,Bug,,384,77,85,51,55,51,65,,"[{'is_default': True, 'pokemon': {'name': 'kricketune', 'url': 'https://pokeapi.co/api/v2/pokemon/402/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/kricketune.png
493,500,403,Shinx,4,Common,,True,Electric,,263,45,65,34,40,34,45,,"[{'is_default': True, 'pokemon': {'name': 'shinx', 'url': 'https://pokeapi.co/api/v2/pokemon/403/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/shinx.png
494,501,404,Luxio,4,Common,Shinx,True,Electric,,363,60,85,49,60,49,60,,"[{'is_default': True, 'pokemon': {'name': 'luxio', 'url': 'https://pokeapi.co/api/v2/pokemon/404/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/luxio.png
495,502,405,Luxray,4,Common,Luxio,True,Electric,,523,80,120,79,95,79,70,,"[{'is_default': True, 'pokemon': {'name': 'luxray', 'url': 'https://pokeapi.co/api/v2/pokemon/405/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/luxray.png
496,503,406,Budew,4,Baby,,False,Grass,Poison,280,40,30,35,50,70,55,,"[{'is_default': True, 'pokemon': {'name': 'budew', 'url': 'https://pokeapi.co/api/v2/pokemon/406/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/budew.png
497,504,407,Roserade,4,Common,Roselia,True,Grass,Poison,515,60,70,65,125,105,90,,"[{'is_default': True, 'pokemon': {'name': 'roserade', 'url': 'https://pokeapi.co/api/v2/pokemon/407/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/roserade.png
498,505,408,Cranidos,4,Common,,False,Rock,,350,67,125,40,30,30,58,,"[{'is_default': True, 'pokemon': {'name': 'cranidos', 'url': 'https://pokeapi.co/api/v2/pokemon/408/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/cranidos.png
499,506,409,Rampardos,4,Common,Cranidos,False,Rock,,495,97,165,60,65,50,58,,"[{'is_default': True, 'pokemon': {'name': 'rampardos', 'url': 'https://pokeapi.co/api/v2/pokemon/409/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/rampardos.png
500,507,410,Shieldon,4,Common,,False,Rock,Steel,350,30,42,118,42,88,30,,"[{'is_default': True, 'pokemon': {'name': 'shieldon', 'url': 'https://pokeapi.co/api/v2/pokemon/410/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/shieldon.png
501,508,411,Bastiodon,4,Common,Shieldon,False,Rock,Steel,495,60,52,168,47,138,30,,"[{'is_default': True, 'pokemon': {'name': 'bastiodon', 'url': 'https://pokeapi.co/api/v2/pokemon/411/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bastiodon.png
502,509,412,Burmy,4,Common,,False,Bug,,224,40,29,45,29,45,36,Plant Cloak,"[{'is_default': True, 'pokemon': {'name': 'burmy', 'url': 'https://pokeapi.co/api/v2/pokemon/412/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/burmy-plant.png
503,510,412,Burmy,4,Common,,False,Bug,,224,40,29,45,29,45,36,Sandy Cloak,"[{'is_default': True, 'pokemon': {'name': 'burmy', 'url': 'https://pokeapi.co/api/v2/pokemon/412/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/burmy-sandy.png
504,511,412,Burmy,4,Common,,False,Bug,,224,40,29,45,29,45,36,Trash Cloak,"[{'is_default': True, 'pokemon': {'name': 'burmy', 'url': 'https://pokeapi.co/api/v2/pokemon/412/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/burmy-trash.png
505,512,413,Wormadam,4,Common,Burmy,False,Bug,Grass,424,60,59,85,79,105,36,Plant Cloak,"[{'is_default': True, 'pokemon': {'name': 'wormadam-plant', 'url': 'https://pokeapi.co/api/v2/pokemon/413/'}}, {'is_default': False, 'pokemon': {'name': 'wormadam-sandy', 'url': 'https://pokeapi.co/api/v2/pokemon/10004/'}}, {'is_default': False, 'pokemon': {'name': 'wormadam-trash', 'url': 'https://pokeapi.co/api/v2/pokemon/10005/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-plant.png
506,513,413,Wormadam,4,Common,Burmy,False,Bug,Ground,424,60,79,105,59,85,36,Sandy Cloak,"[{'is_default': True, 'pokemon': {'name': 'wormadam-plant', 'url': 'https://pokeapi.co/api/v2/pokemon/413/'}}, {'is_default': False, 'pokemon': {'name': 'wormadam-sandy', 'url': 'https://pokeapi.co/api/v2/pokemon/10004/'}}, {'is_default': False, 'pokemon': {'name': 'wormadam-trash', 'url': 'https://pokeapi.co/api/v2/pokemon/10005/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-sandy.png
507,514,413,Wormadam,4,Common,Burmy,False,Bug,Steel,424,60,69,95,69,95,36,Trash Cloak,"[{'is_default': True, 'pokemon': {'name': 'wormadam-plant', 'url': 'https://pokeapi.co/api/v2/pokemon/413/'}}, {'is_default': False, 'pokemon': {'name': 'wormadam-sandy', 'url': 'https://pokeapi.co/api/v2/pokemon/10004/'}}, {'is_default': False, 'pokemon': {'name': 'wormadam-trash', 'url': 'https://pokeapi.co/api/v2/pokemon/10005/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-trash.png
508,515,414,Mothim,4,Common,Burmy,False,Bug,Flying,424,70,94,50,94,50,66,,"[{'is_default': True, 'pokemon': {'name': 'mothim', 'url': 'https://pokeapi.co/api/v2/pokemon/414/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mothim.png
509,516,415,Combee,4,Common,,True,Bug,Flying,244,30,30,42,30,42,70,,"[{'is_default': True, 'pokemon': {'name': 'combee', 'url': 'https://pokeapi.co/api/v2/pokemon/415/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/combee.png
510,517,416,Vespiquen,4,Common,Combee,False,Bug,Flying,474,70,80,102,80,102,40,,"[{'is_default': True, 'pokemon': {'name': 'vespiquen', 'url': 'https://pokeapi.co/api/v2/pokemon/416/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/vespiquen.png
511,518,417,Pachirisu,4,Common,,True,Electric,,405,60,45,70,45,90,95,,"[{'is_default': True, 'pokemon': {'name': 'pachirisu', 'url': 'https://pokeapi.co/api/v2/pokemon/417/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pachirisu.png
512,519,418,Buizel,4,Common,,True,Water,,330,55,65,35,60,30,85,,"[{'is_default': True, 'pokemon': {'name': 'buizel', 'url': 'https://pokeapi.co/api/v2/pokemon/418/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/buizel.png
513,520,419,Floatzel,4,Common,Buizel,True,Water,,495,85,105,55,85,50,115,,"[{'is_default': True, 'pokemon': {'name': 'floatzel', 'url': 'https://pokeapi.co/api/v2/pokemon/419/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/floatzel.png
514,521,420,Cherubi,4,Common,,False,Grass,,275,45,35,45,62,53,35,,"[{'is_default': True, 'pokemon': {'name': 'cherubi', 'url': 'https://pokeapi.co/api/v2/pokemon/420/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/cherubi.png
515,522,421,Cherrim,4,Common,Cherubi,False,Grass,,450,70,60,70,87,78,85,,"[{'is_default': True, 'pokemon': {'name': 'cherrim', 'url': 'https://pokeapi.co/api/v2/pokemon/421/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/cherrim.png
516,523,422,Shellos,4,Common,,False,Water,,325,76,48,48,57,62,34,,"[{'is_default': True, 'pokemon': {'name': 'shellos', 'url': 'https://pokeapi.co/api/v2/pokemon/422/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/shellos.png
517,524,423,Gastrodon,4,Common,Shellos,False,Water,Ground,475,111,83,68,92,82,39,,"[{'is_default': True, 'pokemon': {'name': 'gastrodon', 'url': 'https://pokeapi.co/api/v2/pokemon/423/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/gastrodon.png
518,525,424,Ambipom,4,Common,Aipom,True,Normal,,482,75,100,66,60,66,115,,"[{'is_default': True, 'pokemon': {'name': 'ambipom', 'url': 'https://pokeapi.co/api/v2/pokemon/424/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ambipom.png
519,526,425,Drifloon,4,Common,,False,Ghost,Flying,348,90,50,34,60,44,70,,"[{'is_default': True, 'pokemon': {'name': 'drifloon', 'url': 'https://pokeapi.co/api/v2/pokemon/425/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/drifloon.png
520,527,426,Drifblim,4,Common,Drifloon,False,Ghost,Flying,498,150,80,44,90,54,80,,"[{'is_default': True, 'pokemon': {'name': 'drifblim', 'url': 'https://pokeapi.co/api/v2/pokemon/426/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/drifblim.png
521,528,427,Buneary,4,Common,,False,Normal,,350,55,66,44,44,56,85,,"[{'is_default': True, 'pokemon': {'name': 'buneary', 'url': 'https://pokeapi.co/api/v2/pokemon/427/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/buneary.png
522,529,428,Lopunny,4,Common,Buneary,False,Normal,,480,65,76,84,54,96,105,,"[{'is_default': True, 'pokemon': {'name': 'lopunny', 'url': 'https://pokeapi.co/api/v2/pokemon/428/'}}, {'is_default': False, 'pokemon': {'name': 'lopunny-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10088/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lopunny.png
523,530,428,Lopunny,4,Common,Buneary,False,Normal,Fighting,580,65,136,94,54,96,135,Mega Lopunny,"[{'is_default': True, 'pokemon': {'name': 'lopunny', 'url': 'https://pokeapi.co/api/v2/pokemon/428/'}}, {'is_default': False, 'pokemon': {'name': 'lopunny-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10088/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lopunny-mega.png
524,531,429,Mismagius,4,Common,Misdreavus,False,Ghost,,495,60,60,60,105,105,105,,"[{'is_default': True, 'pokemon': {'name': 'mismagius', 'url': 'https://pokeapi.co/api/v2/pokemon/429/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mismagius.png
525,532,430,Honchkrow,4,Common,Murkrow,False,Dark,Flying,505,100,125,52,105,52,71,,"[{'is_default': True, 'pokemon': {'name': 'honchkrow', 'url': 'https://pokeapi.co/api/v2/pokemon/430/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/honchkrow.png
526,533,431,Glameow,4,Common,,False,Normal,,310,49,55,42,42,37,85,,"[{'is_default': True, 'pokemon': {'name': 'glameow', 'url': 'https://pokeapi.co/api/v2/pokemon/431/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/glameow.png
527,534,432,Purugly,4,Common,Glameow,False,Normal,,452,71,82,64,64,59,112,,"[{'is_default': True, 'pokemon': {'name': 'purugly', 'url': 'https://pokeapi.co/api/v2/pokemon/432/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/purugly.png
528,535,433,Chingling,4,Baby,,False,Psychic,,285,45,30,50,65,50,45,,"[{'is_default': True, 'pokemon': {'name': 'chingling', 'url': 'https://pokeapi.co/api/v2/pokemon/433/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/chingling.png
529,536,434,Stunky,4,Common,,False,Poison,Dark,329,63,63,47,41,41,74,,"[{'is_default': True, 'pokemon': {'name': 'stunky', 'url': 'https://pokeapi.co/api/v2/pokemon/434/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/stunky.png
530,537,435,Skuntank,4,Common,Stunky,False,Poison,Dark,479,103,93,67,71,61,84,,"[{'is_default': True, 'pokemon': {'name': 'skuntank', 'url': 'https://pokeapi.co/api/v2/pokemon/435/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/skuntank.png
531,538,436,Bronzor,4,Common,,False,Steel,Psychic,300,57,24,86,24,86,23,,"[{'is_default': True, 'pokemon': {'name': 'bronzor', 'url': 'https://pokeapi.co/api/v2/pokemon/436/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bronzor.png
532,539,437,Bronzong,4,Common,Bronzor,False,Steel,Psychic,500,67,89,116,79,116,33,,"[{'is_default': True, 'pokemon': {'name': 'bronzong', 'url': 'https://pokeapi.co/api/v2/pokemon/437/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bronzong.png
533,540,438,Bonsly,4,Baby,,False,Rock,,290,50,80,95,10,45,10,,"[{'is_default': True, 'pokemon': {'name': 'bonsly', 'url': 'https://pokeapi.co/api/v2/pokemon/438/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bonsly.png
534,541,439,Mime,4,Baby,,False,Psychic,Fairy,310,20,25,45,70,90,60,Jr.,"[{'is_default': True, 'pokemon': {'name': 'mime-jr', 'url': 'https://pokeapi.co/api/v2/pokemon/439/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mime-jr.png
535,542,440,Happiny,4,Baby,,False,Normal,,220,100,5,5,15,65,30,,"[{'is_default': True, 'pokemon': {'name': 'happiny', 'url': 'https://pokeapi.co/api/v2/pokemon/440/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/happiny.png
536,543,441,Chatot,4,Common,,False,Normal,Flying,411,76,65,45,92,42,91,,"[{'is_default': True, 'pokemon': {'name': 'chatot', 'url': 'https://pokeapi.co/api/v2/pokemon/441/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/chatot.png
537,544,442,Spiritomb,4,Common,,False,Ghost,Dark,485,50,92,108,92,108,35,,"[{'is_default': True, 'pokemon': {'name': 'spiritomb', 'url': 'https://pokeapi.co/api/v2/pokemon/442/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/spiritomb.png
538,545,443,Gible,4,Common,,True,Dragon,Ground,300,58,70,45,40,45,42,,"[{'is_default': True, 'pokemon': {'name': 'gible', 'url': 'https://pokeapi.co/api/v2/pokemon/443/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/gible.png
539,546,444,Gabite,4,Common,Gible,True,Dragon,Ground,410,68,90,65,50,55,82,,"[{'is_default': True, 'pokemon': {'name': 'gabite', 'url': 'https://pokeapi.co/api/v2/pokemon/444/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/gabite.png
540,547,445,Garchomp,4,Common,Gabite,True,Dragon,Ground,600,108,130,95,80,85,102,,"[{'is_default': True, 'pokemon': {'name': 'garchomp', 'url': 'https://pokeapi.co/api/v2/pokemon/445/'}}, {'is_default': False, 'pokemon': {'name': 'garchomp-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10058/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/garchomp.png
541,548,445,Garchomp,4,Common,Gabite,True,Dragon,Ground,700,108,170,115,120,95,92,Mega Garchomp,"[{'is_default': True, 'pokemon': {'name': 'garchomp', 'url': 'https://pokeapi.co/api/v2/pokemon/445/'}}, {'is_default': False, 'pokemon': {'name': 'garchomp-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10058/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/garchomp-mega.png
542,549,446,Munchlax,4,Baby,,False,Normal,,390,135,85,40,40,85,5,,"[{'is_default': True, 'pokemon': {'name': 'munchlax', 'url': 'https://pokeapi.co/api/v2/pokemon/446/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/munchlax.png
543,550,447,Riolu,4,Baby,,False,Fighting,,285,40,70,40,35,40,60,,"[{'is_default': True, 'pokemon': {'name': 'riolu', 'url': 'https://pokeapi.co/api/v2/pokemon/447/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/riolu.png
544,551,448,Lucario,4,Common,Riolu,False,Fighting,Steel,525,70,110,70,115,70,90,,"[{'is_default': True, 'pokemon': {'name': 'lucario', 'url': 'https://pokeapi.co/api/v2/pokemon/448/'}}, {'is_default': False, 'pokemon': {'name': 'lucario-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10059/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lucario.png
545,552,448,Lucario,4,Common,Riolu,False,Fighting,Steel,625,70,145,88,140,70,112,Mega Lucario,"[{'is_default': True, 'pokemon': {'name': 'lucario', 'url': 'https://pokeapi.co/api/v2/pokemon/448/'}}, {'is_default': False, 'pokemon': {'name': 'lucario-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10059/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lucario-mega.png
546,553,449,Hippopotas,4,Common,,True,Ground,,330,68,72,78,38,42,32,,"[{'is_default': True, 'pokemon': {'name': 'hippopotas', 'url': 'https://pokeapi.co/api/v2/pokemon/449/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/hippopotas.png
547,554,450,Hippowdon,4,Common,Hippopotas,True,Ground,,525,108,112,118,68,72,47,,"[{'is_default': True, 'pokemon': {'name': 'hippowdon', 'url': 'https://pokeapi.co/api/v2/pokemon/450/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/hippowdon.png
548,555,451,Skorupi,4,Common,,False,Poison,Bug,330,40,50,90,30,55,65,,"[{'is_default': True, 'pokemon': {'name': 'skorupi', 'url': 'https://pokeapi.co/api/v2/pokemon/451/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/skorupi.png
549,556,452,Drapion,4,Common,Skorupi,False,Poison,Dark,500,70,90,110,60,75,95,,"[{'is_default': True, 'pokemon': {'name': 'drapion', 'url': 'https://pokeapi.co/api/v2/pokemon/452/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/drapion.png
550,557,453,Croagunk,4,Common,,True,Poison,Fighting,300,48,61,40,61,40,50,,"[{'is_default': True, 'pokemon': {'name': 'croagunk', 'url': 'https://pokeapi.co/api/v2/pokemon/453/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/croagunk.png
551,558,454,Toxicroak,4,Common,Croagunk,True,Poison,Fighting,490,83,106,65,86,65,85,,"[{'is_default': True, 'pokemon': {'name': 'toxicroak', 'url': 'https://pokeapi.co/api/v2/pokemon/454/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/toxicroak.png
552,559,455,Carnivine,4,Common,,False,Grass,,454,74,100,72,90,72,46,,"[{'is_default': True, 'pokemon': {'name': 'carnivine', 'url': 'https://pokeapi.co/api/v2/pokemon/455/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/carnivine.png
553,560,456,Finneon,4,Common,,True,Water,,330,49,49,56,49,61,66,,"[{'is_default': True, 'pokemon': {'name': 'finneon', 'url': 'https://pokeapi.co/api/v2/pokemon/456/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/finneon.png
554,561,457,Lumineon,4,Common,Finneon,True,Water,,460,69,69,76,69,86,91,,"[{'is_default': True, 'pokemon': {'name': 'lumineon', 'url': 'https://pokeapi.co/api/v2/pokemon/457/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lumineon.png
555,562,458,Mantyke,4,Baby,,False,Water,Flying,345,45,20,50,60,120,50,,"[{'is_default': True, 'pokemon': {'name': 'mantyke', 'url': 'https://pokeapi.co/api/v2/pokemon/458/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mantyke.png
556,563,459,Snover,4,Common,,True,Grass,Ice,334,60,62,50,62,60,40,,"[{'is_default': True, 'pokemon': {'name': 'snover', 'url': 'https://pokeapi.co/api/v2/pokemon/459/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/snover.png
557,564,460,Abomasnow,4,Common,Snover,True,Grass,Ice,494,90,92,75,92,85,60,,"[{'is_default': True, 'pokemon': {'name': 'abomasnow', 'url': 'https://pokeapi.co/api/v2/pokemon/460/'}}, {'is_default': False, 'pokemon': {'name': 'abomasnow-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10060/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow.png
558,565,460,Abomasnow,4,Common,Snover,True,Grass,Ice,594,90,132,105,132,105,30,Mega Abomasnow,"[{'is_default': True, 'pokemon': {'name': 'abomasnow', 'url': 'https://pokeapi.co/api/v2/pokemon/460/'}}, {'is_default': False, 'pokemon': {'name': 'abomasnow-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10060/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow-mega.png
559,566,461,Weavile,4,Common,Sneasel,True,Dark,Ice,510,70,120,65,45,85,125,,"[{'is_default': True, 'pokemon': {'name': 'weavile', 'url': 'https://pokeapi.co/api/v2/pokemon/461/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/weavile.png
560,567,462,Magnezone,4,Common,Magneton,False,Electric,Steel,535,70,70,115,130,90,60,,"[{'is_default': True, 'pokemon': {'name': 'magnezone', 'url': 'https://pokeapi.co/api/v2/pokemon/462/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/magnezone.png
561,568,463,Lickilicky,4,Common,Lickitung,False,Normal,,515,110,85,95,80,95,50,,"[{'is_default': True, 'pokemon': {'name': 'lickilicky', 'url': 'https://pokeapi.co/api/v2/pokemon/463/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lickilicky.png
562,569,464,Rhyperior,4,Common,Rhydon,True,Ground,Rock,535,115,140,130,55,55,40,,"[{'is_default': True, 'pokemon': {'name': 'rhyperior', 'url': 'https://pokeapi.co/api/v2/pokemon/464/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/rhyperior.png
563,570,465,Tangrowth,4,Common,Tangela,True,Grass,,535,100,100,125,110,50,50,,"[{'is_default': True, 'pokemon': {'name': 'tangrowth', 'url': 'https://pokeapi.co/api/v2/pokemon/465/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/tangrowth.png
