,index,Name,Generation,Description,Pokemon
152,149,Poison Heal,4,Restores HP if the Pokémon is poisoned.,"[{'is_hidden': False, 'pokemon': {'name': 'shroomish', 'url': 'https://pokeapi.co/api/v2/pokemon/285/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'breloom', 'url': 'https://pokeapi.co/api/v2/pokemon/286/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'gliscor', 'url': 'https://pokeapi.co/api/v2/pokemon/472/'}, 'slot': 3}]"
153,150,Poison Point,3,Contact with the Pokémon may poison the attacker.,"[{'is_hidden': False, 'pokemon': {'name': 'nidoran-f', 'url': 'https://pokeapi.co/api/v2/pokemon/29/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'nidorina', 'url': 'https://pokeapi.co/api/v2/pokemon/30/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'nidoqueen', 'url': 'https://pokeapi.co/api/v2/pokemon/31/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'nidoran-m', 'url': 'https://pokeapi.co/api/v2/pokemon/32/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'nidorino', 'url': 'https://pokeapi.co/api/v2/pokemon/33/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'nidoking', 'url': 'https://pokeapi.co/api/v2/pokemon/34/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'seadra', 'url': 'https://pokeapi.co/api/v2/pokemon/117/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'qwilfish', 'url': 'https://pokeapi.co/api/v2/pokemon/211/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'roselia', 'url': 'https://pokeapi.co/api/v2/pokemon/315/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'budew', 'url': 'https://pokeapi.co/api/v2/pokemon/406/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'roserade', 'url': 'https://pokeapi.co/api/v2/pokemon/407/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'venipede', 'url': 'https://pokeapi.co/api/v2/pokemon/543/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'whirlipede', 'url': 'https://pokeapi.co/api/v2/pokemon/544/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'scolipede', 'url': 'https://pokeapi.co/api/v2/pokemon/545/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'skrelp', 'url': 'https://pokeapi.co/api/v2/pokemon/690/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'dragalge', 'url': 'https://pokeapi.co/api/v2/pokemon/691/'}, 'slot': 1}]"
154,151,Poison Touch,5,May poison targets when a Pokémon makes contact.,"[{'is_hidden': True, 'pokemon': {'name': 'grimer', 'url': 'https://pokeapi.co/api/v2/pokemon/88/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'muk', 'url': 'https://pokeapi.co/api/v2/pokemon/89/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'croagunk', 'url': 'https://pokeapi.co/api/v2/pokemon/453/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'toxicroak', 'url': 'https://pokeapi.co/api/v2/pokemon/454/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'seismitoad', 'url': 'https://pokeapi.co/api/v2/pokemon/537/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'skrelp', 'url': 'https://pokeapi.co/api/v2/pokemon/690/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'dragalge', 'url': 'https://pokeapi.co/api/v2/pokemon/691/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'grimer-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10112/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'muk-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10113/'}, 'slot': 1}]"
155,152,Power Construct,7,Changes form when HP drops below half.,"[{'is_hidden': False, 'pokemon': {'name': 'zygarde-10-power-construct', 'url': 'https://pokeapi.co/api/v2/pokemon/10118/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'zygarde-50-power-construct', 'url': 'https://pokeapi.co/api/v2/pokemon/10119/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'zygarde-complete', 'url': 'https://pokeapi.co/api/v2/pokemon/10120/'}, 'slot': 1}]"
156,153,Power Of Alchemy,7,The Pokémon copies the Ability of a defeated ally.,"[{'is_hidden': True, 'pokemon': {'name': 'grimer-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10112/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'muk-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10113/'}, 'slot': 3}]"
157,154,Power Spot,8,Just being next to the Pokémon powers up moves.,"[{'is_hidden': False, 'pokemon': {'name': 'stonjourner', 'url': 'https://pokeapi.co/api/v2/pokemon/874/'}, 'slot': 1}]"
158,155,Prankster,5,Gives priority to a status move.,"[{'is_hidden': True, 'pokemon': {'name': 'murkrow', 'url': 'https://pokeapi.co/api/v2/pokemon/198/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'sableye', 'url': 'https://pokeapi.co/api/v2/pokemon/302/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'volbeat', 'url': 'https://pokeapi.co/api/v2/pokemon/313/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'illumise', 'url': 'https://pokeapi.co/api/v2/pokemon/314/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'riolu', 'url': 'https://pokeapi.co/api/v2/pokemon/447/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'purrloin', 'url': 'https://pokeapi.co/api/v2/pokemon/509/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'liepard', 'url': 'https://pokeapi.co/api/v2/pokemon/510/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'cottonee', 'url': 'https://pokeapi.co/api/v2/pokemon/546/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'whimsicott', 'url': 'https://pokeapi.co/api/v2/pokemon/547/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'tornadus-incarnate', 'url': 'https://pokeapi.co/api/v2/pokemon/641/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'thundurus-incarnate', 'url': 'https://pokeapi.co/api/v2/pokemon/642/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'meowstic-male', 'url': 'https://pokeapi.co/api/v2/pokemon/678/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'klefki', 'url': 'https://pokeapi.co/api/v2/pokemon/707/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'impidimp', 'url': 'https://pokeapi.co/api/v2/pokemon/859/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'morgrem', 'url': 'https://pokeapi.co/api/v2/pokemon/860/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'grimmsnarl', 'url': 'https://pokeapi.co/api/v2/pokemon/861/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'banette-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10056/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'grimmsnarl-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10222/'}, 'slot': 1}]"
159,156,Pressure,3,The Pokémon raises the foe's PP usage.,"[{'is_hidden': False, 'pokemon': {'name': 'aerodactyl', 'url': 'https://pokeapi.co/api/v2/pokemon/142/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'articuno', 'url': 'https://pokeapi.co/api/v2/pokemon/144/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'zapdos', 'url': 'https://pokeapi.co/api/v2/pokemon/145/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'moltres', 'url': 'https://pokeapi.co/api/v2/pokemon/146/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'mewtwo', 'url': 'https://pokeapi.co/api/v2/pokemon/150/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'raikou', 'url': 'https://pokeapi.co/api/v2/pokemon/243/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'entei', 'url': 'https://pokeapi.co/api/v2/pokemon/244/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'suicune', 'url': 'https://pokeapi.co/api/v2/pokemon/245/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'lugia', 'url': 'https://pokeapi.co/api/v2/pokemon/249/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'ho-oh', 'url': 'https://pokeapi.co/api/v2/pokemon/250/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'wailmer', 'url': 'https://pokeapi.co/api/v2/pokemon/320/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'wailord', 'url': 'https://pokeapi.co/api/v2/pokemon/321/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'dusclops', 'url': 'https://pokeapi.co/api/v2/pokemon/356/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'absol', 'url': 'https://pokeapi.co/api/v2/pokemon/359/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'deoxys-normal', 'url': 'https://pokeapi.co/api/v2/pokemon/386/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'vespiquen', 'url': 'https://pokeapi.co/api/v2/pokemon/416/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'spiritomb', 'url': 'https://pokeapi.co/api/v2/pokemon/442/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'weavile', 'url': 'https://pokeapi.co/api/v2/pokemon/461/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'dusknoir', 'url': 'https://pokeapi.co/api/v2/pokemon/477/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'dialga', 'url': 'https://pokeapi.co/api/v2/pokemon/483/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'palkia', 'url': 'https://pokeapi.co/api/v2/pokemon/484/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'giratina-altered', 'url': 'https://pokeapi.co/api/v2/pokemon/487/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'pawniard', 'url': 'https://pokeapi.co/api/v2/pokemon/624/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'bisharp', 'url': 'https://pokeapi.co/api/v2/pokemon/625/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'kyurem', 'url': 'https://pokeapi.co/api/v2/pokemon/646/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'corviknight', 'url': 'https://pokeapi.co/api/v2/pokemon/823/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'eternatus', 'url': 'https://pokeapi.co/api/v2/pokemon/890/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'deoxys-attack', 'url': 'https://pokeapi.co/api/v2/pokemon/10001/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'deoxys-defense', 'url': 'https://pokeapi.co/api/v2/pokemon/10002/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'deoxys-speed', 'url': 'https://pokeapi.co/api/v2/pokemon/10003/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'eternatus-eternamax', 'url': 'https://pokeapi.co/api/v2/pokemon/10190/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'corviknight-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10212/'}, 'slot': 1}]"
160,157,Primordial Sea,6,Makes it rain heavily when the ability activates.,"[{'is_hidden': False, 'pokemon': {'name': 'kyogre-primal', 'url': 'https://pokeapi.co/api/v2/pokemon/10077/'}, 'slot': 1}]"
161,158,Prism Armor,7,Reduces damage from super-effective attacks.,"[{'is_hidden': False, 'pokemon': {'name': 'necrozma', 'url': 'https://pokeapi.co/api/v2/pokemon/800/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'necrozma-dusk', 'url': 'https://pokeapi.co/api/v2/pokemon/10155/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'necrozma-dawn', 'url': 'https://pokeapi.co/api/v2/pokemon/10156/'}, 'slot': 1}]"
162,159,Propeller Tail,8,Ignores moves and abilities that draw in moves.,"[{'is_hidden': True, 'pokemon': {'name': 'arrokuda', 'url': 'https://pokeapi.co/api/v2/pokemon/846/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'barraskewda', 'url': 'https://pokeapi.co/api/v2/pokemon/847/'}, 'slot': 3}]"
163,160,Protean,6,Changes the Pokémon's type to its last used move.,"[{'is_hidden': True, 'pokemon': {'name': 'kecleon', 'url': 'https://pokeapi.co/api/v2/pokemon/352/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'froakie', 'url': 'https://pokeapi.co/api/v2/pokemon/656/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'frogadier', 'url': 'https://pokeapi.co/api/v2/pokemon/657/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'greninja', 'url': 'https://pokeapi.co/api/v2/pokemon/658/'}, 'slot': 3}]"
164,161,Psychic Surge,7,The Pokémon creates a Psychic Terrain when it enters a battle.,"[{'is_hidden': False, 'pokemon': {'name': 'tapu-lele', 'url': 'https://pokeapi.co/api/v2/pokemon/786/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'indeedee-male', 'url': 'https://pokeapi.co/api/v2/pokemon/876/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'indeedee-female', 'url': 'https://pokeapi.co/api/v2/pokemon/10186/'}, 'slot': 3}]"
165,162,Punk Rock,8,Boosts sound-based moves and halves damage from the same moves.,"[{'is_hidden': False, 'pokemon': {'name': 'toxtricity-amped', 'url': 'https://pokeapi.co/api/v2/pokemon/849/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'toxtricity-low-key', 'url': 'https://pokeapi.co/api/v2/pokemon/10184/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'toxtricity-amped-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10219/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'toxtricity-low-key-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10228/'}, 'slot': 1}]"
166,163,Pure Power,3,Raises the Pokémon's Attack stat.,"[{'is_hidden': False, 'pokemon': {'name': 'meditite', 'url': 'https://pokeapi.co/api/v2/pokemon/307/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'medicham', 'url': 'https://pokeapi.co/api/v2/pokemon/308/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'medicham-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10054/'}, 'slot': 1}]"
167,164,Queenly Majesty,7,Prevents use of priority moves.,"[{'is_hidden': False, 'pokemon': {'name': 'tsareena', 'url': 'https://pokeapi.co/api/v2/pokemon/763/'}, 'slot': 2}]"
168,165,Quick Draw,8,,"[{'is_hidden': False, 'pokemon': {'name': 'slowbro-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10165/'}, 'slot': 1}]"
169,166,Quick Feet,4,Boosts Speed if there is a status problem.,"[{'is_hidden': True, 'pokemon': {'name': 'jolteon', 'url': 'https://pokeapi.co/api/v2/pokemon/135/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'granbull', 'url': 'https://pokeapi.co/api/v2/pokemon/210/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'teddiursa', 'url': 'https://pokeapi.co/api/v2/pokemon/216/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'ursaring', 'url': 'https://pokeapi.co/api/v2/pokemon/217/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'poochyena', 'url': 'https://pokeapi.co/api/v2/pokemon/261/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'mightyena', 'url': 'https://pokeapi.co/api/v2/pokemon/262/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'zigzagoon', 'url': 'https://pokeapi.co/api/v2/pokemon/263/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'linoone', 'url': 'https://pokeapi.co/api/v2/pokemon/264/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'shroomish', 'url': 'https://pokeapi.co/api/v2/pokemon/285/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'zigzagoon-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10174/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'linoone-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10175/'}, 'slot': 3}]"
170,167,Rain Dish,3,The Pokémon gradually regains HP in rain.,"[{'is_hidden': True, 'pokemon': {'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon/7/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon/8/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon/9/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'tentacool', 'url': 'https://pokeapi.co/api/v2/pokemon/72/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'tentacruel', 'url': 'https://pokeapi.co/api/v2/pokemon/73/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'lotad', 'url': 'https://pokeapi.co/api/v2/pokemon/270/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'lombre', 'url': 'https://pokeapi.co/api/v2/pokemon/271/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'ludicolo', 'url': 'https://pokeapi.co/api/v2/pokemon/272/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'wingull', 'url': 'https://pokeapi.co/api/v2/pokemon/278/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'pelipper', 'url': 'https://pokeapi.co/api/v2/pokemon/279/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'surskit', 'url': 'https://pokeapi.co/api/v2/pokemon/283/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'morelull', 'url': 'https://pokeapi.co/api/v2/pokemon/755/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'shiinotic', 'url': 'https://pokeapi.co/api/v2/pokemon/756/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'blastoise-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10197/'}, 'slot': 3}]"
171,168,Rattled,5,"Bug, Ghost or Dark type moves scare it and boost its Speed.","[{'is_hidden': True, 'pokemon': {'name': 'magikarp', 'url': 'https://pokeapi.co/api/v2/pokemon/129/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'ledyba', 'url': 'https://pokeapi.co/api/v2/pokemon/165/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'sudowoodo', 'url': 'https://pokeapi.co/api/v2/pokemon/185/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'dunsparce', 'url': 'https://pokeapi.co/api/v2/pokemon/206/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'snubbull', 'url': 'https://pokeapi.co/api/v2/pokemon/209/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'granbull', 'url': 'https://pokeapi.co/api/v2/pokemon/210/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'poochyena', 'url': 'https://pokeapi.co/api/v2/pokemon/261/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'whismur', 'url': 'https://pokeapi.co/api/v2/pokemon/293/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'clamperl', 'url': 'https://pokeapi.co/api/v2/pokemon/366/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'bonsly', 'url': 'https://pokeapi.co/api/v2/pokemon/438/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'cubchoo', 'url': 'https://pokeapi.co/api/v2/pokemon/613/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'yamper', 'url': 'https://pokeapi.co/api/v2/pokemon/835/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'toxel', 'url': 'https://pokeapi.co/api/v2/pokemon/848/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'meowth-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10107/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'persian-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10108/'}, 'slot': 3}]"
172,169,Receiver,7,Inherits an ally's ability when it faints.,"[{'is_hidden': False, 'pokemon': {'name': 'passimian', 'url': 'https://pokeapi.co/api/v2/pokemon/766/'}, 'slot': 1}]"
173,170,Reckless,4,Powers up moves that have recoil damage.,"[{'is_hidden': False, 'pokemon': {'name': 'hitmonlee', 'url': 'https://pokeapi.co/api/v2/pokemon/106/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'rhyhorn', 'url': 'https://pokeapi.co/api/v2/pokemon/111/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'rhydon', 'url': 'https://pokeapi.co/api/v2/pokemon/112/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'starly', 'url': 'https://pokeapi.co/api/v2/pokemon/396/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'staravia', 'url': 'https://pokeapi.co/api/v2/pokemon/397/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'staraptor', 'url': 'https://pokeapi.co/api/v2/pokemon/398/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'rhyperior', 'url': 'https://pokeapi.co/api/v2/pokemon/464/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'emboar', 'url': 'https://pokeapi.co/api/v2/pokemon/500/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'basculin-red-striped', 'url': 'https://pokeapi.co/api/v2/pokemon/550/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'mienfoo', 'url': 'https://pokeapi.co/api/v2/pokemon/619/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'mienshao', 'url': 'https://pokeapi.co/api/v2/pokemon/620/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'bouffalant', 'url': 'https://pokeapi.co/api/v2/pokemon/626/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'obstagoon', 'url': 'https://pokeapi.co/api/v2/pokemon/862/'}, 'slot': 1}]"
174,171,Refrigerate,6,Turns Normal-type moves into Ice-type moves.,"[{'is_hidden': False, 'pokemon': {'name': 'amaura', 'url': 'https://pokeapi.co/api/v2/pokemon/698/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'aurorus', 'url': 'https://pokeapi.co/api/v2/pokemon/699/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'glalie-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10074/'}, 'slot': 1}]"
175,172,Regenerator,5,Restores a little HP when withdrawn from battle.,"[{'is_hidden': True, 'pokemon': {'name': 'slowpoke', 'url': 'https://pokeapi.co/api/v2/pokemon/79/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'slowbro', 'url': 'https://pokeapi.co/api/v2/pokemon/80/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'tangela', 'url': 'https://pokeapi.co/api/v2/pokemon/114/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'slowking', 'url': 'https://pokeapi.co/api/v2/pokemon/199/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'corsola', 'url': 'https://pokeapi.co/api/v2/pokemon/222/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'ho-oh', 'url': 'https://pokeapi.co/api/v2/pokemon/250/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'tangrowth', 'url': 'https://pokeapi.co/api/v2/pokemon/465/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'audino', 'url': 'https://pokeapi.co/api/v2/pokemon/531/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'solosis', 'url': 'https://pokeapi.co/api/v2/pokemon/577/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'duosion', 'url': 'https://pokeapi.co/api/v2/pokemon/578/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'reuniclus', 'url': 'https://pokeapi.co/api/v2/pokemon/579/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'foongus', 'url': 'https://pokeapi.co/api/v2/pokemon/590/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'amoonguss', 'url': 'https://pokeapi.co/api/v2/pokemon/591/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'alomomola', 'url': 'https://pokeapi.co/api/v2/pokemon/594/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'mienfoo', 'url': 'https://pokeapi.co/api/v2/pokemon/619/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'mienshao', 'url': 'https://pokeapi.co/api/v2/pokemon/620/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'mareanie', 'url': 'https://pokeapi.co/api/v2/pokemon/747/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'toxapex', 'url': 'https://pokeapi.co/api/v2/pokemon/748/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'gossifleur', 'url': 'https://pokeapi.co/api/v2/pokemon/829/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'eldegoss', 'url': 'https://pokeapi.co/api/v2/pokemon/830/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'tornadus-therian', 'url': 'https://pokeapi.co/api/v2/pokemon/10019/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'slowpoke-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10164/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'slowbro-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10165/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'slowking-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10172/'}, 'slot': 3}]"
