,Name,Category,Effect,sprite_url
455,Park Ball,Pokeballs,A special Poké Ball for the Pal Park.,https://img.pokemondb.net/sprites/items/park-ball.png
456,Pass Orb,Hold items,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power.",https://img.pokemondb.net/sprites/items/pass-orb.png
457,Passho Berry,Berries,Weakens a supereffective Water-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/passho-berry.png
458,Pasta,General items,One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry.,https://img.pokemondb.net/s.png
459,Payapa Berry,Berries,Weakens a supereffective Psychic-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/payapa-berry.png
460,Pearl,General items,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.,https://img.pokemondb.net/sprites/items/pearl.png
461,Pearl String,General items,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.,https://img.pokemondb.net/sprites/items/pearl-string.png
462,Peat Block,General items,A block of muddy material that can be used as fuel for burning when it is dried. It’s loved by a certain Pokémon.,https://img.pokemondb.net/s.png
463,Pecha Berry,Berries,"If held by a Pokémon, it recovers from poison.",https://img.pokemondb.net/sprites/items/pecha-berry.png
464,Pep-Up Plant,General items,NA,https://img.pokemondb.net/s.png
465,Permit,General items,A permit that is needed to enter the Nature Preserve. Not many know about it.,https://img.pokemondb.net/sprites/items/permit.png
466,Persim Berry,Berries,"If held by a Pokémon, it recovers from confusion.",https://img.pokemondb.net/sprites/items/persim-berry.png
467,Petaya Berry,Berries,Raises Special Attack when HP is low.,https://img.pokemondb.net/sprites/items/petaya-berry.png
468,Pewter Crunchies,Medicine,Heals all major status conditions.,https://img.pokemondb.net/s.png
469,Pidgeotite,Hold items,Enables Pidgeot to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/pidgeotite.png
470,Pikanium Z,Hold items,"Allows Pikachu to upgrade Volt Tackle to a Z-Move, Catastropika.",https://img.pokemondb.net/sprites/items/pikanium-z.png
471,Pikashunium Z,Hold items,"Allows Pikachu in a cap to upgrade Thunderbolt to a Z-Move, 10,000,000 Volt Thunderbolt.",https://img.pokemondb.net/sprites/items/pikashunium-z.png
472,Pinap Berry,Berries,"A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go.",https://img.pokemondb.net/sprites/items/pinap-berry.png
473,Pink Apricorn,General items,"A pink Apricorn. It has a nice, sweet scent.",https://img.pokemondb.net/sprites/items/pink-apricorn.png
474,Pink Nectar,Hold items,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.,https://img.pokemondb.net/sprites/items/pink-nectar.png
475,Pink Scarf,General items,Raises holder's Cute aspect in a Contest.,https://img.pokemondb.net/sprites/items/pink-scarf.png
476,Pinsirite,Hold items,Enables Pinsir to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/pinsirite.png
477,Pixie Plate,Hold items,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.,https://img.pokemondb.net/sprites/items/pixie-plate.png
478,Plasma Card,Hold items,A card key needed to enter the password inside the Plasma Frigate.,https://img.pokemondb.net/sprites/items/plasma-card.png
479,Plume Fossil,General items,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.,https://img.pokemondb.net/sprites/items/plume-fossil.png
480,Plump Beans,General items,NA,https://img.pokemondb.net/s.png
481,Poison Barb,Hold items,Increases the power of Poison-type moves.,https://img.pokemondb.net/sprites/items/poison-barb.png
482,Poison Gem,Hold items,Increases the power of a Poison-type move only once.,https://img.pokemondb.net/sprites/items/poison-gem.png
483,Poison Memory,Hold items,Changes Silvally and its move Multi-Attack to Poison type.,https://img.pokemondb.net/sprites/items/poison-memory.png
484,Poisonium Z,Hold items,"Allows the use of Acid Downpour, the Poison type Z-Move.",https://img.pokemondb.net/sprites/items/poisonium-z.png
485,Poké Ball,Pokeballs,A device for catching wild Pokémon. It is thrown like a ball at the target. It is designed as a capsule system.,https://img.pokemondb.net/sprites/items/poke-ball.png
486,Poké Doll,General items,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,https://img.pokemondb.net/sprites/items/poke-doll.png
487,Poké Toy,General items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,https://img.pokemondb.net/sprites/items/poke-toy.png
488,Polished Mud Ball,General items,NA,https://img.pokemondb.net/s.png
489,Pomeg Berry,Berries,Increases Friendship but lowers HP EVs.,https://img.pokemondb.net/sprites/items/pomeg-berry.png
490,Pop Pod,General items,NA,https://img.pokemondb.net/s.png
491,Potion,Medicine,Restores 20 HP.,https://img.pokemondb.net/sprites/items/potion.png
492,Power Anklet,Hold items,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.",https://img.pokemondb.net/sprites/items/power-anklet.png
493,Power Band,Hold items,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.",https://img.pokemondb.net/sprites/items/power-band.png
494,Power Belt,Hold items,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.",https://img.pokemondb.net/sprites/items/power-belt.png
495,Power Bracer,Hold items,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.",https://img.pokemondb.net/sprites/items/power-bracer.png
496,Power Herb,Hold items,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.,https://img.pokemondb.net/sprites/items/power-herb.png
497,Power Lens,Hold items,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.",https://img.pokemondb.net/sprites/items/power-lens.png
498,Power Plant Pass,Hold items,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.,https://img.pokemondb.net/sprites/items/power-plant-pass.png
499,Power Weight,Hold items,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.",https://img.pokemondb.net/sprites/items/power-weight.png
500,PP Max,Medicine,It maximally raises the top PP of a selected move that has been learned by the target Pokémon.,https://img.pokemondb.net/sprites/items/pp-max.png
501,PP Up,Medicine,It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.,https://img.pokemondb.net/sprites/items/pp-up.png
502,Precooked Burger,General items,"One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger.",https://img.pokemondb.net/s.png
503,Premier Ball,Pokeballs,A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.,https://img.pokemondb.net/sprites/items/premier-ball.png
504,Pretty Wing,General items,"Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon.",https://img.pokemondb.net/sprites/items/pretty-wing.png
505,Primarium Z,Hold items,"Allows Primarina to upgrade Sparkling Aria to a Z-Move, Oceanic Operetta.",https://img.pokemondb.net/sprites/items/primarium-z.png
506,Prism Scale,General items,Evolves Feebas when traded holding the item.,https://img.pokemondb.net/sprites/items/prism-scale.png
507,Prison Bottle,Hold items,Transforms Hoopa Confined to Hoopa Unbound.,https://img.pokemondb.net/sprites/items/prison-bottle.png
508,Prof's Letter,Hold items,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.,https://img.pokemondb.net/sprites/items/profs-letter.png
509,Protective Pads,Hold items,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.,https://img.pokemondb.net/sprites/items/protective-pads.png
510,Protector,General items,Evolves Rhydon when traded holding the item.,https://img.pokemondb.net/sprites/items/protector.png
511,Protein,Medicine,Increases Attack EVs by 10.,https://img.pokemondb.net/sprites/items/protein.png
512,Psychic Gem,Hold items,Increases the power of a Psychic-type move only once.,https://img.pokemondb.net/sprites/items/psychic-gem.png
513,Psychic Memory,Hold items,Changes Silvally and its move Multi-Attack to Psychic type.,https://img.pokemondb.net/sprites/items/psychic-memory.png
514,Psychic Seed,Hold items,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.,https://img.pokemondb.net/sprites/items/psychic-seed.png
515,Psychium Z,Hold items,"Allows the use of Shattered Psyche, the Psychic type Z-Move.",https://img.pokemondb.net/sprites/items/psychium-z.png
516,Pungent Root,General items,"One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish.",https://img.pokemondb.net/s.png
517,Pure Incense,Hold items,Descreases the likelihood of meeting wild Pokémon. Breeding Chimecho produces Chingling when held.,https://img.pokemondb.net/sprites/items/pure-incense.png
518,Purple Nectar,Hold items,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.,https://img.pokemondb.net/sprites/items/purple-nectar.png
519,Qualot Berry,Berries,Increases Friendship but lowers Defense EVs.,https://img.pokemondb.net/sprites/items/qualot-berry.png
520,Quick Ball,Pokeballs,A somewhat different Poké Ball that provides a better catch rate if it is used at the start of a wild encounter.,https://img.pokemondb.net/sprites/items/quick-ball.png
521,Quick Candy,Medicine,Increases a Pokémon's Speed stat by 1.,https://img.pokemondb.net/sprites/items/quick-candy.png
522,Quick Candy L,Medicine,Increases a Pokémon's Speed stat.,https://img.pokemondb.net/sprites/items/quick-candy-l.png
523,Quick Candy XL,Medicine,Increases a Pokémon's Speed stat.,https://img.pokemondb.net/sprites/items/quick-candy-xl.png
524,Quick Claw,Hold items,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.",https://img.pokemondb.net/sprites/items/quick-claw.png
525,Quick Powder,Hold items,Increases Speed when held by Ditto.,https://img.pokemondb.net/sprites/items/quick-powder.png
526,Quiet Mint,Battle items,Changes the Pokémon's stats to match the Quiet nature.,https://img.pokemondb.net/s.png
527,Rabuta Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/rabuta-berry.png
528,Rage Candy Bar,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/rage-candy-bar.png
529,Rare Bone,General items,A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.,https://img.pokemondb.net/sprites/items/rare-bone.png
530,Rare Candy,Medicine,A candy that is packed with energy. It raises the level of a single Pokémon by one.,https://img.pokemondb.net/sprites/items/rare-candy.png
531,Rash Mint,Battle items,Changes the Pokémon's stats to match the Rash nature.,https://img.pokemondb.net/s.png
532,Rawst Berry,Berries,"If held by a Pokémon, it recovers from a burn.",https://img.pokemondb.net/sprites/items/rawst-berry.png
533,Razor Claw,Hold items,Increases critical-hit ratio. Evolves Sneasel when held at night.,https://img.pokemondb.net/sprites/items/razor-claw.png
534,Razor Fang,Hold items,May cause opponent to flinch. Evolves Gligar when held at night.,https://img.pokemondb.net/sprites/items/razor-fang.png
535,Razz Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/razz-berry.png
536,Reaper Cloth,General items,Evolves Dusclops when traded holding the item.,https://img.pokemondb.net/sprites/items/reaper-cloth.png
537,Red Apricorn,General items,A red Apricorn. It assails your nostrils.,https://img.pokemondb.net/sprites/items/red-apricorn.png
538,Red Card,Hold items,"A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.",https://img.pokemondb.net/sprites/items/red-card.png
539,Red Flute,General items,A toy flute made from red glass. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/red-flute.png
540,Red Nectar,Hold items,A flower nectar obtained at Ula'ula Meadow. It changes the form of certain species of Pokémon.,https://img.pokemondb.net/sprites/items/red-nectar.png
541,Red Scarf,General items,Raises holder's Cool aspect in a Contest.,https://img.pokemondb.net/sprites/items/red-scarf.png
542,Red Shard,General items,A small red shard. It appears to be from some sort of implement made long ago.,https://img.pokemondb.net/sprites/items/red-shard.png
543,Relaxed Mint,Battle items,Changes the Pokémon's stats to match the Relaxed nature.,https://img.pokemondb.net/s.png
544,Relic Band,General items,"A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",https://img.pokemondb.net/sprites/items/relic-band.png
545,Relic Copper,General items,"A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",https://img.pokemondb.net/sprites/items/relic-copper.png
546,Relic Crown,General items,"A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",https://img.pokemondb.net/sprites/items/relic-crown.png
547,Relic Gold,General items,"A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",https://img.pokemondb.net/sprites/items/relic-gold.png
548,Relic Silver,General items,"A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",https://img.pokemondb.net/sprites/items/relic-silver.png
549,Relic Statue,General items,"A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",https://img.pokemondb.net/sprites/items/relic-statue.png
550,Relic Vase,General items,"A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",https://img.pokemondb.net/sprites/items/relic-vase.png
551,Remedy,Medicine,NA,https://img.pokemondb.net/s.png
552,Repeat Ball,Pokeballs,A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught.,https://img.pokemondb.net/sprites/items/repeat-ball.png
553,Repel,General items,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.,https://img.pokemondb.net/sprites/items/repel.png
554,Reset Urge,Battle items,"When used, it restores any stat changes of an ally Pokémon.",https://img.pokemondb.net/sprites/items/reset-urge.png
555,Resist Wing,Medicine,Increases Defense EVs by 1.,https://img.pokemondb.net/sprites/items/resist-wing.png
556,Reveal Glass,General items,A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.,https://img.pokemondb.net/sprites/items/reveal-glass.png
557,Revival Herb,Medicine,"Revives a Pokémon to max HP, but lowers Friendship.",https://img.pokemondb.net/sprites/items/revival-herb.png
558,Revive,Medicine,A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.,https://img.pokemondb.net/sprites/items/revive.png
559,Ribbon Sweet,Hold items,Evolves Milcery into Ribbon Flavor Alcremie.,https://img.pokemondb.net/s.png
560,Rindo Berry,Berries,Weakens a supereffective Grass-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/rindo-berry.png
561,Ring Target,Hold items,Moves that would otherwise have no effect will land on the Pokémon that holds it.,https://img.pokemondb.net/sprites/items/ring-target.png
562,Rock Gem,Hold items,Increases the power of a Rock-type move only once.,https://img.pokemondb.net/sprites/items/rock-gem.png
563,Rock Incense,Hold items,Increases the power of Rock-type moves. Breeding Sudowoodo produces Bonsly when held.,https://img.pokemondb.net/sprites/items/rock-incense.png
564,Rock Memory,Hold items,Changes Silvally and its move Multi-Attack to Rock type.,https://img.pokemondb.net/sprites/items/rock-memory.png
565,Rockium Z,Hold items,"Allows the use of Continental Crush, the Rock type Z-Move.",https://img.pokemondb.net/sprites/items/rockium-z.png
566,Rocky Helmet,Hold items,"If the holder of this item takes damage, the attacker will also be damaged upon contact.",https://img.pokemondb.net/sprites/items/rocky-helmet.png
567,Roller Skates,General items,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.",https://img.pokemondb.net/sprites/items/roller-skates.png
568,Room Service,Hold items,Lowers the Pokémon's speed during Trick Room.,https://img.pokemondb.net/s.png
569,Root Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.,https://img.pokemondb.net/sprites/items/root-fossil.png
570,Rose Incense,Hold items,Increases the power of Grass-type moves. Breeding Roselia or Roserade produces Budew when held.,https://img.pokemondb.net/sprites/items/rose-incense.png
571,Roseli Berry,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack.",https://img.pokemondb.net/sprites/items/roseli-berry.png
572,Roto Bargain,Battle items,Reduces the prices of products at Poké Marts by half.,https://img.pokemondb.net/sprites/items/roto-bargain.png
573,Roto Boost,Battle items,Raises all stats of your battling Pokémon.,https://img.pokemondb.net/sprites/items/roto-boost.png
574,Roto Catch,Battle items,Increases the chance to catch Pokémon a lot.,https://img.pokemondb.net/sprites/items/roto-catch.png
575,Roto Encounter,Battle items,Increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.,https://img.pokemondb.net/sprites/items/roto-encounter.png
576,Roto Exp. Points,Battle items,Increases the Exp. Points your Pokémon receive after battle a little.,https://img.pokemondb.net/sprites/items/roto-exp-points.png
577,Roto Friendship,Battle items,Helps Pokémon in your party grow friendly faster.,https://img.pokemondb.net/sprites/items/roto-friendship.png
578,Roto Hatch,Battle items,Helps Eggs hatch faster.,https://img.pokemondb.net/sprites/items/roto-hatch.png
579,Roto HP Restore,Battle items,Fully restores the HP of your battling Pokémon.,https://img.pokemondb.net/sprites/items/roto-hp-restore.png
580,Roto PP Restore,Battle items,Fully restores the PP of your battling Pokémon.,https://img.pokemondb.net/sprites/items/roto-pp-restore.png
581,Roto Prize Money,Battle items,Triples the prize money you receive after battle.,https://img.pokemondb.net/sprites/items/roto-prize-money.png
582,Roto Stealth,Battle items,Prevents you from encountering wild Pokémon for a certain period of time.,https://img.pokemondb.net/sprites/items/roto-stealth.png
583,Rowap Berry,Berries,"If held by a Pokémon and a special attack lands, the attacker also takes damage.",https://img.pokemondb.net/sprites/items/rowap-berry.png
584,Sablenite,Hold items,Enables Sableye to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/sablenite.png
585,Sachet,General items,Evolves Spritzee when traded holding the item.,https://img.pokemondb.net/sprites/items/sachet.png
586,Sacred Ash,Medicine,"It revives all fainted Pokémon. In doing so, it also fully restores their HP.",https://img.pokemondb.net/sprites/items/sacred-ash.png
587,Safari Ball,Pokeballs,A special Poké Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern.,https://img.pokemondb.net/sprites/items/safari-ball.png
588,Safety Goggles,Hold items,Prevents damage from weather and powder.,https://img.pokemondb.net/sprites/items/safety-goggles.png
589,Salac Berry,Berries,Raises Speed when HP is low.,https://img.pokemondb.net/sprites/items/salac-berry.png
590,Salad Mix,General items,One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy.,https://img.pokemondb.net/s.png
591,Salamencite,Hold items,Enables Salamence to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/salamencite.png
592,Salt Cake,General items,NA,https://img.pokemondb.net/s.png
593,Sand Radish,General items,NA,https://img.pokemondb.net/s.png
594,Sassy Mint,Battle items,Changes the Pokémon's stats to match the Sassy nature.,https://img.pokemondb.net/s.png
595,Sausages,General items,One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating.,https://img.pokemondb.net/s.png
596,Scatter Bang,General items,NA,https://img.pokemondb.net/s.png
597,Sceptilite,Hold items,Enables Sceptile to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/sceptilite.png
598,Scizorite,Hold items,Enables Scizor to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/scizorite.png
599,Scope Lens,Hold items,Increases critical-hit ratio.,https://img.pokemondb.net/sprites/items/scope-lens.png
600,Sea Incense,Hold items,Increases the power of Water-type moves. Breeding Marill or Azumarill produces Azurill when held.,https://img.pokemondb.net/sprites/items/sea-incense.png
601,Seed of Mastery,General items,NA,https://img.pokemondb.net/s.png
602,Serious Mint,Battle items,Changes the Pokémon's stats to match a neutral nature.,https://img.pokemondb.net/s.png
603,Shaderoot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a gloomy field.,https://img.pokemondb.net/s.png
604,Shalour Sable,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/shalour-sable.png
605,Sharp Beak,Hold items,Increases the power of Flying-type moves.,https://img.pokemondb.net/sprites/items/sharp-beak.png
606,Sharpedonite,Hold items,Enables Sharpedo to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/sharpedonite.png
607,Shed Shell,Hold items,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle.",https://img.pokemondb.net/sprites/items/shed-shell.png
608,Shell Bell,Hold items,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.,https://img.pokemondb.net/sprites/items/shell-bell.png
609,Shiny Charm,General items,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.,https://img.pokemondb.net/sprites/items/shiny-charm.png
610,Shiny Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/shiny-stone.png
611,Shoal Salt,General items,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/shoal-salt.png
612,Shoal Shell,General items,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/shoal-shell.png
613,Shock Drive,Hold items,Changes Techno Blast to an Electric-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/shock-drive.png
614,Shuca Berry,Berries,Weakens a supereffective Ground-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/shuca-berry.png
615,Silk Scarf,Hold items,Increases the power of Normal-type moves.,https://img.pokemondb.net/sprites/items/silk-scarf.png
616,Silver Leaf,General items,NA,https://img.pokemondb.net/s.png
617,Silver Nanab Berry,Berries,"Greatly calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",https://img.pokemondb.net/sprites/items/silver-nanab-berry.png
618,Silver Pinap Berry,Berries,"Greatly increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.",https://img.pokemondb.net/sprites/items/silver-pinap-berry.png
619,Silver Powder,Hold items,Increases the power of Bug-type moves.,https://img.pokemondb.net/sprites/items/silver-powder.png
620,Silver Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.,https://img.pokemondb.net/sprites/items/silver-razz-berry.png
621,Sitrus Berry,Berries,"If held by a Pokémon, it heals the user's HP a little.",https://img.pokemondb.net/sprites/items/sitrus-berry.png
622,Skull Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.,https://img.pokemondb.net/sprites/items/skull-fossil.png
623,Sky Plate,Hold items,Increases power of Flying-type moves. Changes Arceus' type to Flying.,https://img.pokemondb.net/sprites/items/sky-plate.png
624,Sky Tumblestone,General items,NA,https://img.pokemondb.net/s.png
625,Slowbronite,Hold items,Enables Slowbro to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/slowbronite.png
626,Small Bouquet,General items,NA,https://img.pokemondb.net/s.png
627,Smart Candy,Medicine,Increases a Pokémon's Special Attack stat by 1.,https://img.pokemondb.net/sprites/items/smart-candy.png
628,Smart Candy L,Medicine,Increases a Pokémon's Special Attack stat.,https://img.pokemondb.net/sprites/items/smart-candy-l.png
629,Smart Candy XL,Medicine,Increases a Pokémon's Special Attack stat.,https://img.pokemondb.net/sprites/items/smart-candy-xl.png
630,Smoke Ball,Hold items,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.,https://img.pokemondb.net/sprites/items/smoke-ball.png
631,Smoke Bomb,General items,NA,https://img.pokemondb.net/s.png
632,Smoke-Poke Tail,General items,"One of the many ingredients that can be used for cooking at your camp. When a Slowpoke’s tail falls off, it grows back quickly.",https://img.pokemondb.net/s.png
633,Smooth Rock,Hold items,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.,https://img.pokemondb.net/sprites/items/smooth-rock.png
634,Snorlium Z,Hold items,"Allows Snorlax to upgrade Giga Impact to a Z-Move, Pulverizing Pancake.",https://img.pokemondb.net/sprites/items/snorlium-z.png
635,Snowball,Hold items,Raises Attack if hit by an Ice-type move.,https://img.pokemondb.net/sprites/items/snowball.png
636,Soda Pop,Medicine,Restores 50 HP.,https://img.pokemondb.net/sprites/items/soda-pop.png
637,Soft Sand,Hold items,Increases the power of Ground-type moves.,https://img.pokemondb.net/sprites/items/soft-sand.png
638,Solganium Z,Hold items,"Allows Solgaleo to upgrade Sunsteel Strike to a Z-Move, Searing Sunraze Smash.",https://img.pokemondb.net/sprites/items/solganium-z.png
639,Sootfoot Root,General items,NA,https://img.pokemondb.net/s.png
640,Soothe Bell,Hold items,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.,https://img.pokemondb.net/sprites/items/soothe-bell.png
641,Soul Dew,Hold items,Increases the power of Psychic- and Dragon-type moves when held by Latios or Latias. Increases Sp.Atk/Sp.Def prior to Gen 7.,https://img.pokemondb.net/sprites/items/soul-dew.png
642,Spell Tag,Hold items,Increases the power of Ghost-type moves.,https://img.pokemondb.net/sprites/items/spell-tag.png
643,Spelon Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/spelon-berry.png
644,Spice Mix,General items,One of the many ingredients that can be used for cooking at your camp. There are over fifty spices contained within this ingredient’s hot flavor.,https://img.pokemondb.net/s.png
645,Splash Plate,Hold items,Increases power of Water-type moves. Changes Arceus' type to Water.,https://img.pokemondb.net/sprites/items/splash-plate.png
646,Spoiled Apricorn,General items,NA,https://img.pokemondb.net/s.png
647,Spooky Plate,Hold items,Increases power of Ghost-type moves. Changes Arceus' type to Ghost.,https://img.pokemondb.net/sprites/items/spooky-plate.png
648,Sport Ball,Pokeballs,A special Poké Ball for the Bug-Catching Contest.,https://img.pokemondb.net/sprites/items/sport-ball.png
649,Springy Mushroom,General items,NA,https://img.pokemondb.net/s.png
650,Sprinklotad,General items,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil.",https://img.pokemondb.net/sprites/items/sprinklotad.png
651,Stable Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/stable-mulch.png
652,Star Piece,General items,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.,https://img.pokemondb.net/sprites/items/star-piece.png
653,Star Sweet,Hold items,Evolves Milcery into Star Flavor Alcremie.,https://img.pokemondb.net/s.png
654,Stardust,General items,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.",https://img.pokemondb.net/sprites/items/stardust.png
655,Starf Berry,Berries,Sharply raises a random stat when HP is low.,https://img.pokemondb.net/sprites/items/starf-berry.png
656,Stealth Spray,General items,NA,https://img.pokemondb.net/s.png
657,Steel Gem,Hold items,Increases the power of a Steel-type move only once.,https://img.pokemondb.net/sprites/items/steel-gem.png
658,Steel Memory,Hold items,Changes Silvally and its move Multi-Attack to Steel type.,https://img.pokemondb.net/sprites/items/steel-memory.png
659,Steelium Z,Hold items,"Allows the use of Corkscrew Crash, the Steel type Z-Move.",https://img.pokemondb.net/sprites/items/steelium-z.png
660,Steelixite,Hold items,Enables Steelix to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/steelixite.png
661,Sticky Barb,Hold items,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.,https://img.pokemondb.net/sprites/items/sticky-barb.png
662,Sticky Glob,General items,NA,https://img.pokemondb.net/s.png
663,Stone Plate,Hold items,Increases power of Rock-type moves. Changes Arceus' type to Rock.,https://img.pokemondb.net/sprites/items/stone-plate.png
664,Strange Ball,Pokeballs,NA,https://img.pokemondb.net/s.png
665,Strange Souvenir,General items,An ornament depicting a Pokémon that is venerated as a protector in some region far from Kalos.,https://img.pokemondb.net/sprites/items/strange-souvenir.png
666,Strawberry Sweet,Hold items,Evolves Milcery into Strawberry Flavor Alcremie.,https://img.pokemondb.net/s.png
667,Stretchy Spring,General items,NA,https://img.pokemondb.net/s.png
668,Sun Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/sun-stone.png
669,Super Lure,General items,Attracts Pokémon in the wild.,https://img.pokemondb.net/s.png
670,Super Potion,Medicine,Restores 60 HP.,https://img.pokemondb.net/sprites/items/super-potion.png
671,Super Repel,General items,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.,https://img.pokemondb.net/sprites/items/super-repel.png
672,Swampertite,Hold items,Enables Swampert to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/swampertite.png
673,Swap Snack,General items,NA,https://img.pokemondb.net/s.png
674,Sweet Apple,Hold items,Evolves Applin into Appletun.,https://img.pokemondb.net/s.png
