,#,Name,Type1,Type2,Variant,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,sprite_url
411,337,Lunatone,Rock,Psychic,NA,460,90,55,65,95,85,70,https://img.pokemondb.net/sprites/sword-shield/icon/lunatone.png
412,338,Solrock,Rock,Psychic,NA,460,90,95,85,55,65,70,https://img.pokemondb.net/sprites/sword-shield/icon/solrock.png
413,339,Barboach,Water,Ground,NA,288,50,48,43,46,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/barboach.png
414,340,Whiscash,Water,Ground,NA,468,110,78,73,76,71,60,https://img.pokemondb.net/sprites/sword-shield/icon/whiscash.png
415,341,Corphish,Water,NA,NA,308,43,80,65,50,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/corphish.png
416,342,Crawdaunt,Water,Dark,NA,468,63,120,85,90,55,55,https://img.pokemondb.net/sprites/sword-shield/icon/crawdaunt.png
417,343,Baltoy,Ground,Psychic,NA,300,40,40,55,40,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/baltoy.png
418,344,Claydol,Ground,Psychic,NA,500,60,70,105,70,120,75,https://img.pokemondb.net/sprites/sword-shield/icon/claydol.png
419,345,Lileep,Rock,Grass,NA,355,66,41,77,61,87,23,https://img.pokemondb.net/sprites/sword-shield/icon/lileep.png
420,346,Cradily,Rock,Grass,NA,495,86,81,97,81,107,43,https://img.pokemondb.net/sprites/sword-shield/icon/cradily.png
421,347,Anorith,Rock,Bug,NA,355,45,95,50,40,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/anorith.png
422,348,Armaldo,Rock,Bug,NA,495,75,125,100,70,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/armaldo.png
423,349,Feebas,Water,NA,NA,200,20,15,20,10,55,80,https://img.pokemondb.net/sprites/sword-shield/icon/feebas.png
424,350,Milotic,Water,NA,NA,540,95,60,79,100,125,81,https://img.pokemondb.net/sprites/sword-shield/icon/milotic.png
425,351,Castform,Normal,NA,NA,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform.png
426,351,Castform,Fire,NA,Sunny Form,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-sunny.png
427,351,Castform,Water,NA,Rainy Form,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-rainy.png
428,351,Castform,Ice,NA,Snowy Form,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-snowy.png
429,352,Kecleon,Normal,NA,NA,440,60,90,70,60,120,40,https://img.pokemondb.net/sprites/sword-shield/icon/kecleon.png
430,353,Shuppet,Ghost,NA,NA,295,44,75,35,63,33,45,https://img.pokemondb.net/sprites/sword-shield/icon/shuppet.png
431,354,Banette,Ghost,NA,NA,455,64,115,65,83,63,65,https://img.pokemondb.net/sprites/sword-shield/icon/banette.png
432,354,Banette,Ghost,NA,Mega Banette,555,64,165,75,93,83,75,https://img.pokemondb.net/sprites/sword-shield/icon/banette-mega.png
433,355,Duskull,Ghost,NA,NA,295,20,40,90,30,90,25,https://img.pokemondb.net/sprites/sword-shield/icon/duskull.png
434,356,Dusclops,Ghost,NA,NA,455,40,70,130,60,130,25,https://img.pokemondb.net/sprites/sword-shield/icon/dusclops.png
435,357,Tropius,Grass,Flying,NA,460,99,68,83,72,87,51,https://img.pokemondb.net/sprites/sword-shield/icon/tropius.png
436,358,Chimecho,Psychic,NA,NA,455,75,50,80,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/chimecho.png
437,359,Absol,Dark,NA,NA,465,65,130,60,75,60,75,https://img.pokemondb.net/sprites/sword-shield/icon/absol.png
438,359,Absol,Dark,NA,Mega Absol,565,65,150,60,115,60,115,https://img.pokemondb.net/sprites/sword-shield/icon/absol-mega.png
439,360,Wynaut,Psychic,NA,NA,260,95,23,48,23,48,23,https://img.pokemondb.net/sprites/sword-shield/icon/wynaut.png
440,361,Snorunt,Ice,NA,NA,300,50,50,50,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/snorunt.png
441,362,Glalie,Ice,NA,NA,480,80,80,80,80,80,80,https://img.pokemondb.net/sprites/sword-shield/icon/glalie.png
442,362,Glalie,Ice,NA,Mega Glalie,580,80,120,80,120,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/glalie-mega.png
443,363,Spheal,Ice,Water,NA,290,70,40,50,55,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/spheal.png
444,364,Sealeo,Ice,Water,NA,410,90,60,70,75,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/sealeo.png
445,365,Walrein,Ice,Water,NA,530,110,80,90,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/walrein.png
446,366,Clamperl,Water,NA,NA,345,35,64,85,74,55,32,https://img.pokemondb.net/sprites/sword-shield/icon/clamperl.png
447,367,Huntail,Water,NA,NA,485,55,104,105,94,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/huntail.png
448,368,Gorebyss,Water,NA,NA,485,55,84,105,114,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/gorebyss.png
449,369,Relicanth,Water,Rock,NA,485,100,90,130,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/relicanth.png
450,370,Luvdisc,Water,NA,NA,330,43,30,55,40,65,97,https://img.pokemondb.net/sprites/sword-shield/icon/luvdisc.png
451,371,Bagon,Dragon,NA,NA,300,45,75,60,40,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/bagon.png
452,372,Shelgon,Dragon,NA,NA,420,65,95,100,60,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/shelgon.png
453,373,Salamence,Dragon,Flying,NA,600,95,135,80,110,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/salamence.png
454,373,Salamence,Dragon,Flying,Mega Salamence,700,95,145,130,120,90,120,https://img.pokemondb.net/sprites/sword-shield/icon/salamence-mega.png
455,374,Beldum,Steel,Psychic,NA,300,40,55,80,35,60,30,https://img.pokemondb.net/sprites/sword-shield/icon/beldum.png
456,375,Metang,Steel,Psychic,NA,420,60,75,100,55,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/metang.png
457,376,Metagross,Steel,Psychic,NA,600,80,135,130,95,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/metagross.png
458,376,Metagross,Steel,Psychic,Mega Metagross,700,80,145,150,105,110,110,https://img.pokemondb.net/sprites/sword-shield/icon/metagross-mega.png
459,377,Regirock,Rock,NA,NA,580,80,100,200,50,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/regirock.png
460,378,Regice,Ice,NA,NA,580,80,50,100,100,200,50,https://img.pokemondb.net/sprites/sword-shield/icon/regice.png
461,379,Registeel,Steel,NA,NA,580,80,75,150,75,150,50,https://img.pokemondb.net/sprites/sword-shield/icon/registeel.png
462,380,Latias,Dragon,Psychic,NA,600,80,80,90,110,130,110,https://img.pokemondb.net/sprites/sword-shield/icon/latias.png
463,380,Latias,Dragon,Psychic,Mega Latias,700,80,100,120,140,150,110,https://img.pokemondb.net/sprites/sword-shield/icon/latias-mega.png
464,381,Latios,Dragon,Psychic,NA,600,80,90,80,130,110,110,https://img.pokemondb.net/sprites/sword-shield/icon/latios.png
465,381,Latios,Dragon,Psychic,Mega Latios,700,80,130,100,160,120,110,https://img.pokemondb.net/sprites/sword-shield/icon/latios-mega.png
466,382,Kyogre,Water,NA,NA,670,100,100,90,150,140,90,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre.png
467,382,Kyogre,Water,NA,Primal Kyogre,770,100,150,90,180,160,90,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre-primal.png
468,383,Groudon,Ground,NA,NA,670,100,150,140,100,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/groudon.png
469,383,Groudon,Ground,Fire,Primal Groudon,770,100,180,160,150,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/groudon-primal.png
470,384,Rayquaza,Dragon,Flying,NA,680,105,150,90,150,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza.png
471,384,Rayquaza,Dragon,Flying,Mega Rayquaza,780,105,180,100,180,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza-mega.png
472,385,Jirachi,Steel,Psychic,NA,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/jirachi.png
473,386,Deoxys,Psychic,NA,Normal Forme,600,50,150,50,150,50,150,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-normal.png
474,386,Deoxys,Psychic,NA,Attack Forme,600,50,180,20,180,20,150,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-attack.png
475,386,Deoxys,Psychic,NA,Defense Forme,600,50,70,160,70,160,90,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-defense.png
476,386,Deoxys,Psychic,NA,Speed Forme,600,50,95,90,95,90,180,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-speed.png
477,387,Turtwig,Grass,NA,NA,318,55,68,64,45,55,31,https://img.pokemondb.net/sprites/sword-shield/icon/turtwig.png
478,388,Grotle,Grass,NA,NA,405,75,89,85,55,65,36,https://img.pokemondb.net/sprites/sword-shield/icon/grotle.png
479,389,Torterra,Grass,Ground,NA,525,95,109,105,75,85,56,https://img.pokemondb.net/sprites/sword-shield/icon/torterra.png
480,390,Chimchar,Fire,NA,NA,309,44,58,44,58,44,61,https://img.pokemondb.net/sprites/sword-shield/icon/chimchar.png
481,391,Monferno,Fire,Fighting,NA,405,64,78,52,78,52,81,https://img.pokemondb.net/sprites/sword-shield/icon/monferno.png
482,392,Infernape,Fire,Fighting,NA,534,76,104,71,104,71,108,https://img.pokemondb.net/sprites/sword-shield/icon/infernape.png
483,393,Piplup,Water,NA,NA,314,53,51,53,61,56,40,https://img.pokemondb.net/sprites/sword-shield/icon/piplup.png
484,394,Prinplup,Water,NA,NA,405,64,66,68,81,76,50,https://img.pokemondb.net/sprites/sword-shield/icon/prinplup.png
485,395,Empoleon,Water,Steel,NA,530,84,86,88,111,101,60,https://img.pokemondb.net/sprites/sword-shield/icon/empoleon.png
486,396,Starly,Normal,Flying,NA,245,40,55,30,30,30,60,https://img.pokemondb.net/sprites/sword-shield/icon/starly.png
487,397,Staravia,Normal,Flying,NA,340,55,75,50,40,40,80,https://img.pokemondb.net/sprites/sword-shield/icon/staravia.png
488,398,Staraptor,Normal,Flying,NA,485,85,120,70,50,60,100,https://img.pokemondb.net/sprites/sword-shield/icon/staraptor.png
489,399,Bidoof,Normal,NA,NA,250,59,45,40,35,40,31,https://img.pokemondb.net/sprites/sword-shield/icon/bidoof.png
490,400,Bibarel,Normal,Water,NA,410,79,85,60,55,60,71,https://img.pokemondb.net/sprites/sword-shield/icon/bibarel.png
491,401,Kricketot,Bug,NA,NA,194,37,25,41,25,41,25,https://img.pokemondb.net/sprites/sword-shield/icon/kricketot.png
492,402,Kricketune,Bug,NA,NA,384,77,85,51,55,51,65,https://img.pokemondb.net/sprites/sword-shield/icon/kricketune.png
493,403,Shinx,Electric,NA,NA,263,45,65,34,40,34,45,https://img.pokemondb.net/sprites/sword-shield/icon/shinx.png
494,404,Luxio,Electric,NA,NA,363,60,85,49,60,49,60,https://img.pokemondb.net/sprites/sword-shield/icon/luxio.png
495,405,Luxray,Electric,NA,NA,523,80,120,79,95,79,70,https://img.pokemondb.net/sprites/sword-shield/icon/luxray.png
496,406,Budew,Grass,Poison,NA,280,40,30,35,50,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/budew.png
497,407,Roserade,Grass,Poison,NA,515,60,70,65,125,105,90,https://img.pokemondb.net/sprites/sword-shield/icon/roserade.png
498,408,Cranidos,Rock,NA,NA,350,67,125,40,30,30,58,https://img.pokemondb.net/sprites/sword-shield/icon/cranidos.png
499,409,Rampardos,Rock,NA,NA,495,97,165,60,65,50,58,https://img.pokemondb.net/sprites/sword-shield/icon/rampardos.png
500,410,Shieldon,Rock,Steel,NA,350,30,42,118,42,88,30,https://img.pokemondb.net/sprites/sword-shield/icon/shieldon.png
501,411,Bastiodon,Rock,Steel,NA,495,60,52,168,47,138,30,https://img.pokemondb.net/sprites/sword-shield/icon/bastiodon.png
502,412,Burmy,Bug,NA,Plant Cloak,224,40,29,45,29,45,36,https://img.pokemondb.net/sprites/sword-shield/icon/burmy-plant.png
503,412,Burmy,Bug,NA,Sandy Cloak,224,40,29,45,29,45,36,https://img.pokemondb.net/sprites/sword-shield/icon/burmy-sandy.png
504,412,Burmy,Bug,NA,Trash Cloak,224,40,29,45,29,45,36,https://img.pokemondb.net/sprites/sword-shield/icon/burmy-trash.png
505,413,Wormadam,Bug,Grass,Plant Cloak,424,60,59,85,79,105,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-plant.png
506,413,Wormadam,Bug,Ground,Sandy Cloak,424,60,79,105,59,85,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-sandy.png
507,413,Wormadam,Bug,Steel,Trash Cloak,424,60,69,95,69,95,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-trash.png
508,414,Mothim,Bug,Flying,NA,424,70,94,50,94,50,66,https://img.pokemondb.net/sprites/sword-shield/icon/mothim.png
509,415,Combee,Bug,Flying,NA,244,30,30,42,30,42,70,https://img.pokemondb.net/sprites/sword-shield/icon/combee.png
510,416,Vespiquen,Bug,Flying,NA,474,70,80,102,80,102,40,https://img.pokemondb.net/sprites/sword-shield/icon/vespiquen.png
511,417,Pachirisu,Electric,NA,NA,405,60,45,70,45,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/pachirisu.png
512,418,Buizel,Water,NA,NA,330,55,65,35,60,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/buizel.png
513,419,Floatzel,Water,NA,NA,495,85,105,55,85,50,115,https://img.pokemondb.net/sprites/sword-shield/icon/floatzel.png
514,420,Cherubi,Grass,NA,NA,275,45,35,45,62,53,35,https://img.pokemondb.net/sprites/sword-shield/icon/cherubi.png
515,421,Cherrim,Grass,NA,NA,450,70,60,70,87,78,85,https://img.pokemondb.net/sprites/sword-shield/icon/cherrim.png
516,422,Shellos,Water,NA,NA,325,76,48,48,57,62,34,https://img.pokemondb.net/sprites/sword-shield/icon/shellos.png
517,423,Gastrodon,Water,Ground,NA,475,111,83,68,92,82,39,https://img.pokemondb.net/sprites/sword-shield/icon/gastrodon.png
518,424,Ambipom,Normal,NA,NA,482,75,100,66,60,66,115,https://img.pokemondb.net/sprites/sword-shield/icon/ambipom.png
519,425,Drifloon,Ghost,Flying,NA,348,90,50,34,60,44,70,https://img.pokemondb.net/sprites/sword-shield/icon/drifloon.png
520,426,Drifblim,Ghost,Flying,NA,498,150,80,44,90,54,80,https://img.pokemondb.net/sprites/sword-shield/icon/drifblim.png
521,427,Buneary,Normal,NA,NA,350,55,66,44,44,56,85,https://img.pokemondb.net/sprites/sword-shield/icon/buneary.png
522,428,Lopunny,Normal,NA,NA,480,65,76,84,54,96,105,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny.png
523,428,Lopunny,Normal,Fighting,Mega Lopunny,580,65,136,94,54,96,135,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny-mega.png
524,429,Mismagius,Ghost,NA,NA,495,60,60,60,105,105,105,https://img.pokemondb.net/sprites/sword-shield/icon/mismagius.png
525,430,Honchkrow,Dark,Flying,NA,505,100,125,52,105,52,71,https://img.pokemondb.net/sprites/sword-shield/icon/honchkrow.png
526,431,Glameow,Normal,NA,NA,310,49,55,42,42,37,85,https://img.pokemondb.net/sprites/sword-shield/icon/glameow.png
527,432,Purugly,Normal,NA,NA,452,71,82,64,64,59,112,https://img.pokemondb.net/sprites/sword-shield/icon/purugly.png
528,433,Chingling,Psychic,NA,NA,285,45,30,50,65,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/chingling.png
529,434,Stunky,Poison,Dark,NA,329,63,63,47,41,41,74,https://img.pokemondb.net/sprites/sword-shield/icon/stunky.png
530,435,Skuntank,Poison,Dark,NA,479,103,93,67,71,61,84,https://img.pokemondb.net/sprites/sword-shield/icon/skuntank.png
531,436,Bronzor,Steel,Psychic,NA,300,57,24,86,24,86,23,https://img.pokemondb.net/sprites/sword-shield/icon/bronzor.png
532,437,Bronzong,Steel,Psychic,NA,500,67,89,116,79,116,33,https://img.pokemondb.net/sprites/sword-shield/icon/bronzong.png
533,438,Bonsly,Rock,NA,NA,290,50,80,95,10,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/bonsly.png
534,439,Mime,Psychic,Fairy,Jr.,310,20,25,45,70,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/mime-jr.png
535,440,Happiny,Normal,NA,NA,220,100,5,5,15,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/happiny.png
536,441,Chatot,Normal,Flying,NA,411,76,65,45,92,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/chatot.png
537,442,Spiritomb,Ghost,Dark,NA,485,50,92,108,92,108,35,https://img.pokemondb.net/sprites/sword-shield/icon/spiritomb.png
538,443,Gible,Dragon,Ground,NA,300,58,70,45,40,45,42,https://img.pokemondb.net/sprites/sword-shield/icon/gible.png
539,444,Gabite,Dragon,Ground,NA,410,68,90,65,50,55,82,https://img.pokemondb.net/sprites/sword-shield/icon/gabite.png
540,445,Garchomp,Dragon,Ground,NA,600,108,130,95,80,85,102,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp.png
541,445,Garchomp,Dragon,Ground,Mega Garchomp,700,108,170,115,120,95,92,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp-mega.png
542,446,Munchlax,Normal,NA,NA,390,135,85,40,40,85,5,https://img.pokemondb.net/sprites/sword-shield/icon/munchlax.png
543,447,Riolu,Fighting,NA,NA,285,40,70,40,35,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/riolu.png
544,448,Lucario,Fighting,Steel,NA,525,70,110,70,115,70,90,https://img.pokemondb.net/sprites/sword-shield/icon/lucario.png
545,448,Lucario,Fighting,Steel,Mega Lucario,625,70,145,88,140,70,112,https://img.pokemondb.net/sprites/sword-shield/icon/lucario-mega.png
546,449,Hippopotas,Ground,NA,NA,330,68,72,78,38,42,32,https://img.pokemondb.net/sprites/sword-shield/icon/hippopotas.png
547,450,Hippowdon,Ground,NA,NA,525,108,112,118,68,72,47,https://img.pokemondb.net/sprites/sword-shield/icon/hippowdon.png
548,451,Skorupi,Poison,Bug,NA,330,40,50,90,30,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/skorupi.png
549,452,Drapion,Poison,Dark,NA,500,70,90,110,60,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/drapion.png
550,453,Croagunk,Poison,Fighting,NA,300,48,61,40,61,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/croagunk.png
551,454,Toxicroak,Poison,Fighting,NA,490,83,106,65,86,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/toxicroak.png
552,455,Carnivine,Grass,NA,NA,454,74,100,72,90,72,46,https://img.pokemondb.net/sprites/sword-shield/icon/carnivine.png
553,456,Finneon,Water,NA,NA,330,49,49,56,49,61,66,https://img.pokemondb.net/sprites/sword-shield/icon/finneon.png
554,457,Lumineon,Water,NA,NA,460,69,69,76,69,86,91,https://img.pokemondb.net/sprites/sword-shield/icon/lumineon.png
555,458,Mantyke,Water,Flying,NA,345,45,20,50,60,120,50,https://img.pokemondb.net/sprites/sword-shield/icon/mantyke.png
556,459,Snover,Grass,Ice,NA,334,60,62,50,62,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/snover.png
557,460,Abomasnow,Grass,Ice,NA,494,90,92,75,92,85,60,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow.png
558,460,Abomasnow,Grass,Ice,Mega Abomasnow,594,90,132,105,132,105,30,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow-mega.png
559,461,Weavile,Dark,Ice,NA,510,70,120,65,45,85,125,https://img.pokemondb.net/sprites/sword-shield/icon/weavile.png
560,462,Magnezone,Electric,Steel,NA,535,70,70,115,130,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/magnezone.png
561,463,Lickilicky,Normal,NA,NA,515,110,85,95,80,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/lickilicky.png
562,464,Rhyperior,Ground,Rock,NA,535,115,140,130,55,55,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhyperior.png
563,465,Tangrowth,Grass,NA,NA,535,100,100,125,110,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/tangrowth.png
564,466,Electivire,Electric,NA,NA,540,75,123,67,95,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/electivire.png
565,467,Magmortar,Fire,NA,NA,540,75,95,67,125,95,83,https://img.pokemondb.net/sprites/sword-shield/icon/magmortar.png
566,468,Togekiss,Fairy,Flying,NA,545,85,50,95,120,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/togekiss.png
567,469,Yanmega,Bug,Flying,NA,515,86,76,86,116,56,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanmega.png
568,470,Leafeon,Grass,NA,NA,525,65,110,130,60,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/leafeon.png
569,471,Glaceon,Ice,NA,NA,525,65,60,110,130,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/glaceon.png
570,472,Gliscor,Ground,Flying,NA,510,75,95,125,45,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/gliscor.png
571,473,Mamoswine,Ice,Ground,NA,530,110,130,80,70,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/mamoswine.png
572,474,Porygon-Z,Normal,NA,NA,535,85,80,70,135,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/porygon-z.png
573,475,Gallade,Psychic,Fighting,NA,518,68,125,65,65,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gallade.png
574,475,Gallade,Psychic,Fighting,Mega Gallade,618,68,165,95,65,115,110,https://img.pokemondb.net/sprites/sword-shield/icon/gallade-mega.png
575,476,Probopass,Rock,Steel,NA,525,60,55,145,75,150,40,https://img.pokemondb.net/sprites/sword-shield/icon/probopass.png
576,477,Dusknoir,Ghost,NA,NA,525,45,100,135,65,135,45,https://img.pokemondb.net/sprites/sword-shield/icon/dusknoir.png
577,478,Froslass,Ice,Ghost,NA,480,70,80,70,80,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/froslass.png
578,479,Rotom,Electric,Ghost,NA,440,50,50,77,95,77,91,https://img.pokemondb.net/sprites/sword-shield/icon/rotom.png
579,479,Rotom,Electric,Fire,Heat Rotom,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-heat.png
580,479,Rotom,Electric,Water,Wash Rotom,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-wash.png
581,479,Rotom,Electric,Ice,Frost Rotom,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-frost.png
582,479,Rotom,Electric,Flying,Fan Rotom,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-fan.png
583,479,Rotom,Electric,Grass,Mow Rotom,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-mow.png
584,480,Uxie,Psychic,NA,NA,580,75,75,130,75,130,95,https://img.pokemondb.net/sprites/sword-shield/icon/uxie.png
585,481,Mesprit,Psychic,NA,NA,580,80,105,105,105,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/mesprit.png
586,482,Azelf,Psychic,NA,NA,580,75,125,70,125,70,115,https://img.pokemondb.net/sprites/sword-shield/icon/azelf.png
587,483,Dialga,Steel,Dragon,NA,680,100,120,120,150,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/dialga.png
588,483,Dialga,Steel,Dragon,Origin Forme,680,100,100,120,150,120,90,https://img.pokemondb.net/s.png
589,484,Palkia,Water,Dragon,NA,680,90,120,100,150,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/palkia.png
590,484,Palkia,Water,Dragon,Origin Forme,680,90,100,100,150,120,120,https://img.pokemondb.net/s.png
591,485,Heatran,Fire,Steel,NA,600,91,90,106,130,106,77,https://img.pokemondb.net/sprites/sword-shield/icon/heatran.png
592,486,Regigigas,Normal,NA,NA,670,110,160,110,80,110,100,https://img.pokemondb.net/sprites/sword-shield/icon/regigigas.png
593,487,Giratina,Ghost,Dragon,Altered Forme,680,150,100,120,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-altered.png
594,487,Giratina,Ghost,Dragon,Origin Forme,680,150,120,100,120,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-origin.png
595,488,Cresselia,Psychic,NA,NA,600,120,70,120,75,130,85,https://img.pokemondb.net/sprites/sword-shield/icon/cresselia.png
596,489,Phione,Water,NA,NA,480,80,80,80,80,80,80,https://img.pokemondb.net/sprites/sword-shield/icon/phione.png
597,490,Manaphy,Water,NA,NA,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/manaphy.png
598,491,Darkrai,Dark,NA,NA,600,70,90,90,135,90,125,https://img.pokemondb.net/sprites/sword-shield/icon/darkrai.png
599,492,Shaymin,Grass,NA,Land Forme,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-land.png
600,492,Shaymin,Grass,Flying,Sky Forme,600,100,103,75,120,75,127,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-sky.png
601,493,Arceus,Normal,NA,NA,720,120,120,120,120,120,120,https://img.pokemondb.net/sprites/sword-shield/icon/arceus.png
602,494,Victini,Psychic,Fire,NA,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/victini.png
603,495,Snivy,Grass,NA,NA,308,45,45,55,45,55,63,https://img.pokemondb.net/sprites/sword-shield/icon/snivy.png
604,496,Servine,Grass,NA,NA,413,60,60,75,60,75,83,https://img.pokemondb.net/sprites/sword-shield/icon/servine.png
605,497,Serperior,Grass,NA,NA,528,75,75,95,75,95,113,https://img.pokemondb.net/sprites/sword-shield/icon/serperior.png
606,498,Tepig,Fire,NA,NA,308,65,63,45,45,45,45,https://img.pokemondb.net/sprites/sword-shield/icon/tepig.png
607,499,Pignite,Fire,Fighting,NA,418,90,93,55,70,55,55,https://img.pokemondb.net/sprites/sword-shield/icon/pignite.png
608,500,Emboar,Fire,Fighting,NA,528,110,123,65,100,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/emboar.png
609,501,Oshawott,Water,NA,NA,308,55,55,45,63,45,45,https://img.pokemondb.net/sprites/sword-shield/icon/oshawott.png
610,502,Dewott,Water,NA,NA,413,75,75,60,83,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/dewott.png
611,503,Samurott,Water,NA,NA,528,95,100,85,108,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/samurott.png
612,503,Samurott,Water,Dark,Hisuian Samurott,528,90,108,80,100,65,85,https://img.pokemondb.net/s.png
613,504,Patrat,Normal,NA,NA,255,45,55,39,35,39,42,https://img.pokemondb.net/sprites/sword-shield/icon/patrat.png
614,505,Watchog,Normal,NA,NA,420,60,85,69,60,69,77,https://img.pokemondb.net/sprites/sword-shield/icon/watchog.png
615,506,Lillipup,Normal,NA,NA,275,45,60,45,25,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/lillipup.png
616,507,Herdier,Normal,NA,NA,370,65,80,65,35,65,60,https://img.pokemondb.net/sprites/sword-shield/icon/herdier.png
617,508,Stoutland,Normal,NA,NA,500,85,110,90,45,90,80,https://img.pokemondb.net/sprites/sword-shield/icon/stoutland.png
618,509,Purrloin,Dark,NA,NA,281,41,50,37,50,37,66,https://img.pokemondb.net/sprites/sword-shield/icon/purrloin.png
