,Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
638,Sappy Seed,Grass,NA,90,100,15,NA,Drains HP from opponent each turn.,100
639,Savage Spin-Out,Bug,—,—,—,1,NA,Bug type Z-Move.,—
640,Scald,Water,NA,80,100,15,NA,May burn opponent.,30
641,Scale Shot,Dragon,NA,25,90,20,NA,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,—
642,Scary Face,Normal,NA,—,100,10,NA,Sharply lowers opponent's Speed.,—
643,Scorching Sands,Ground,NA,70,100,10,NA,May burn the target.,—
644,Scratch,Normal,NA,40,100,35,NA,NA,—
645,Screech,Normal,NA,—,85,40,NA,Sharply lowers opponent's Defense.,—
646,Searing Shot,Fire,NA,100,100,5,NA,May burn opponent.,30
647,Searing Sunraze Smash,Steel,NA,200,—,1,NA,Solgaleo-exclusive Z-Move.,—
648,Secret Power,Normal,NA,70,100,20,NA,Effects of the attack vary with the location.,30
649,Secret Sword,Fighting,NA,85,100,10,NA,"Inflicts damage based on the target's Defense, not Special Defense.",—
650,Seed Bomb,Grass,NA,80,100,15,NA,NA,—
651,Seed Flare,Grass,NA,120,85,5,NA,May lower opponent's Special Defense.,40
652,Seismic Toss,Fighting,NA,—,100,20,NA,Inflicts damage equal to user's level.,—
653,Self-Destruct,Normal,NA,200,100,5,NA,User faints.,—
654,Shadow Ball,Ghost,NA,80,100,15,NA,May lower opponent's Special Defense.,20
655,Shadow Bone,Ghost,NA,85,100,10,NA,May lower opponent's Defense.,20
656,Shadow Claw,Ghost,NA,70,100,15,NA,High critical hit ratio.,—
657,Shadow Force,Ghost,NA,120,100,5,NA,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
658,Shadow Punch,Ghost,NA,60,∞,20,NA,Ignores Accuracy and Evasiveness.,—
659,Shadow Sneak,Ghost,NA,40,100,30,NA,User attacks first.,—
660,Sharpen,Normal,NA,—,—,30,NA,Raises user's Attack.,—
661,Shattered Psyche,Psychic,—,—,—,1,NA,Psychic type Z-Move.,—
662,Sheer Cold,Ice,NA,—,30,5,NA,"One-Hit-KO, if it hits.",—
663,Shell Side Arm,Poison,NA,90,100,10,NA,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",—
664,Shell Smash,Normal,NA,—,—,15,NA,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",—
665,Shell Trap,Fire,NA,150,100,5,NA,Deals more damage to opponent if hit by a Physical move.,—
666,Shelter,Steel,NA,—,∞,10,NA,NA,—
667,Shift Gear,Steel,NA,—,—,10,NA,Raises user's Attack and sharply raises Speed.,—
668,Shock Wave,Electric,NA,60,∞,20,NA,Ignores Accuracy and Evasiveness.,—
669,Shore Up,Ground,NA,—,—,10,NA,The user regains up to half of its max HP. It restores more HP in a sandstorm.,—
670,Signal Beam,Bug,NA,75,100,15,NA,May confuse opponent.,10
671,Silver Wind,Bug,NA,60,100,5,NA,May raise all stats of user at once.,10
672,Simple Beam,Normal,NA,—,100,15,NA,Changes target's ability to Simple.,—
673,Sing,Normal,NA,—,55,15,NA,Puts opponent to sleep.,—
674,Sinister Arrow Raid,Ghost,NA,180,—,1,NA,Decidueye-exclusive Z-Move.,—
675,Sizzly Slide,Fire,NA,90,100,15,NA,Burns the opponent.,100
676,Sketch,Normal,NA,—,—,1,NA,Permanently copies the opponent's last move.,—
677,Skill Swap,Psychic,NA,—,—,10,NA,The user swaps Abilities with the opponent.,—
678,Skitter Smack,Bug,NA,70,90,10,NA,Lowers opponent's Sp. Attack.,—
679,Skull Bash,Normal,NA,130,100,10,NA,"Raises Defense on first turn, attacks on second.",100
680,Sky Attack,Flying,NA,140,90,5,NA,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30
681,Sky Drop,Flying,NA,60,100,10,NA,"Takes opponent into the air on first turn, drops them on second turn.",—
682,Sky Uppercut,Fighting,NA,85,90,15,NA,"Hits the opponent, even during Fly.",—
683,Slack Off,Normal,NA,—,—,10,NA,User recovers half its max HP.,—
684,Slam,Normal,NA,80,75,20,NA,NA,—
685,Slash,Normal,NA,70,100,20,NA,High critical hit ratio.,—
686,Sleep Powder,Grass,NA,—,75,15,NA,Puts opponent to sleep.,—
687,Sleep Talk,Normal,NA,—,—,10,NA,User performs one of its own moves while sleeping.,—
688,Sludge,Poison,NA,65,100,20,NA,May poison opponent.,30
689,Sludge Bomb,Poison,NA,90,100,10,NA,May poison opponent.,30
690,Sludge Wave,Poison,NA,95,100,10,NA,May poison opponent.,10
691,Smack Down,Rock,NA,50,100,15,NA,Makes Flying-type Pokémon vulnerable to Ground moves.,100
692,Smart Strike,Steel,NA,70,—,10,NA,The user stabs the target with a sharp horn. This attack never misses.,—
693,Smelling Salts,Normal,NA,70,100,10,NA,"Power doubles if opponent is paralyzed, but cures it.",—
694,Smog,Poison,NA,30,70,20,NA,May poison opponent.,40
695,Smokescreen,Normal,NA,—,100,20,NA,Lowers opponent's Accuracy.,—
696,Snap Trap,Grass,NA,35,100,15,NA,"Traps opponent, damaging them for 4-5 turns.",100
697,Snarl,Dark,NA,55,95,15,NA,Lowers opponent's Special Attack.,100
698,Snatch,Dark,NA,—,—,10,NA,Steals the effects of the opponent's next move.,—
699,Snipe Shot,Water,NA,80,100,15,NA,Ignores moves and abilities that draw in moves. High critical hit ratio.,—
700,Snore,Normal,NA,50,100,15,NA,Can only be used if asleep. May cause flinching.,30
701,Soak,Water,NA,—,100,20,NA,Changes the target's type to water.,—
702,Soft-Boiled,Normal,NA,—,—,10,NA,User recovers half its max HP.,—
703,Solar Beam,Grass,NA,120,100,10,NA,"Charges on first turn, attacks on second.",—
704,Solar Blade,Grass,NA,125,100,10,NA,"Charges on first turn, attacks on second.",—
705,Sonic Boom,Normal,NA,—,90,20,NA,Always inflicts 20 HP.,—
706,Soul-Stealing 7-Star Strike,Ghost,NA,195,—,1,NA,Marshadow-exclusive Z-Move.,—
707,Spacial Rend,Dragon,NA,100,95,5,NA,High critical hit ratio.,—
708,Spark,Electric,NA,65,100,20,NA,May paralyze opponent.,30
709,Sparkling Aria,Water,NA,90,100,10,NA,Heals the burns of its target.,—
710,Sparkly Swirl,Fairy,NA,90,100,15,NA,Cures all status problems in the party Pokémon.,—
711,Spectral Thief,Ghost,NA,90,100,10,NA,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",—
712,Speed Swap,Psychic,NA,—,—,10,NA,The user exchanges Speed stats with the target.,—
713,Spider Web,Bug,NA,—,—,10,NA,Opponent cannot escape/switch.,—
714,Spike Cannon,Normal,NA,20,100,15,NA,Hits 2-5 times in one turn.,—
715,Spikes,Ground,NA,—,—,20,NA,Hurts opponents when they switch into battle.,—
716,Spiky Shield,Grass,NA,—,—,10,NA,Protects the user and inflicts damage on contact.,—
717,Spirit Break,Fairy,NA,75,100,15,NA,Lowers opponent's Special Attack.,100
718,Spirit Shackle,Ghost,NA,80,100,10,NA,Prevents the opponent from switching out.,—
719,Spit Up,Normal,NA,—,100,10,NA,Power depends on how many times the user performed Stockpile.,—
720,Spite,Ghost,NA,—,100,10,NA,The opponent's last move loses 2-5 PP.,—
721,Splash,Normal,NA,—,—,40,NA,Doesn't do ANYTHING.,—
722,Splintered Stormshards,Rock,NA,190,—,1,NA,Lycanroc-exclusive Z-Move.,—
723,Splishy Splash,Water,NA,90,100,15,NA,May paralyze opponent.,30
724,Spore,Grass,NA,—,100,15,NA,Puts opponent to sleep.,—
725,Spotlight,Normal,NA,—,—,15,NA,The user shines a spotlight on the target so that only the target will be attacked during the turn.,—
726,Springtide Storm,Fairy,NA,95,80,5,NA,NA,—
727,Stealth Rock,Rock,NA,—,—,20,NA,Damages opponent switching into battle.,—
728,Steam Eruption,Water,NA,110,95,5,NA,May burn opponent.,30
729,Steamroller,Bug,NA,65,100,20,NA,May cause flinching.,30
730,Steel Beam,Steel,NA,140,95,5,NA,User loses 50% of its HP.,—
731,Steel Roller,Steel,NA,130,100,5,NA,Fails if no Terrain in effect.,—
732,Steel Wing,Steel,NA,70,90,25,NA,May raise user's Defense.,10
733,Sticky Web,Bug,NA,—,—,20,NA,Lowers opponent's Speed when switching into battle.,—
734,Stockpile,Normal,NA,—,—,20,NA,Stores energy for use with Spit Up and Swallow.,—
735,Stoked Sparksurfer,Electric,NA,175,—,1,NA,Alolan Raichu-exclusive Electric type Z-Move.,100
736,Stomp,Normal,NA,65,100,20,NA,May cause flinching.,30
737,Stomping Tantrum,Ground,NA,75,100,10,NA,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",—
738,Stone Axe,Rock,NA,65,90,15,NA,NA,—
739,Stone Edge,Rock,NA,100,80,5,NA,High critical hit ratio.,—
740,Stored Power,Psychic,NA,20,100,10,NA,Power increases when user's stats have been raised.,—
741,Storm Throw,Fighting,NA,60,100,10,NA,Always results in a critical hit.,100
742,Strange Steam,Fairy,NA,90,95,10,NA,May confuse opponent.,20
743,Strength,Normal,NA,80,100,15,NA,NA,—
744,Strength Sap,Grass,NA,—,100,10,NA,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100
745,String Shot,Bug,NA,—,95,40,NA,Sharply lowers opponent's Speed.,—
746,Struggle,Normal,NA,50,—,—,NA,Only usable when all PP are gone. Hurts the user.,—
747,Struggle Bug,Bug,NA,50,100,20,NA,Lowers opponent's Special Attack.,100
748,Stuff Cheeks,Normal,NA,—,—,10,NA,"The user eats its held Berry, then sharply raises its Defense stat.",100
749,Stun Spore,Grass,NA,—,75,30,NA,Paralyzes opponent.,—
750,Submission,Fighting,NA,80,80,20,NA,User receives recoil damage.,—
751,Substitute,Normal,NA,—,—,10,NA,Uses HP to creates a decoy that takes hits.,—
752,Subzero Slammer,Ice,—,—,—,1,NA,Ice type Z-Move.,—
753,Sucker Punch,Dark,NA,70,100,5,NA,"User attacks first, but only works if opponent is readying an attack.",—
754,Sunny Day,Fire,NA,—,—,5,NA,Makes it sunny for 5 turns.,—
755,Sunsteel Strike,Steel,NA,100,100,5,NA,Ignores the target's ability.,—
756,Super Fang,Normal,NA,—,90,10,NA,Always takes off half of the opponent's HP.,—
757,Superpower,Fighting,NA,120,100,5,NA,Lowers user's Attack and Defense.,100
758,Supersonic,Normal,NA,—,55,20,NA,Confuses opponent.,—
759,Supersonic Skystrike,Flying,—,—,—,1,NA,Flying type Z-Move.,—
760,Surf,Water,NA,90,100,15,NA,Hits all adjacent Pokémon.,—
761,Surging Strikes,Water,NA,25,100,5,NA,Always results in a critical hit and ignores stat changes.,—
762,Swagger,Normal,NA,—,85,15,NA,"Confuses opponent, but sharply raises its Attack.",—
763,Swallow,Normal,NA,—,—,10,NA,"The more times the user has performed Stockpile, the more HP is recovered.",—
764,Sweet Kiss,Fairy,NA,—,75,10,NA,Confuses opponent.,—
765,Sweet Scent,Normal,NA,—,100,20,NA,Lowers opponent's Evasiveness.,—
766,Swift,Normal,NA,60,∞,20,NA,Ignores Accuracy and Evasiveness.,—
767,Switcheroo,Dark,NA,—,100,10,NA,Swaps held items with the opponent.,—
768,Swords Dance,Normal,NA,—,—,20,NA,Sharply raises user's Attack.,—
769,Synchronoise,Psychic,NA,120,100,10,NA,Hits any Pokémon that shares a type with the user.,—
770,Synthesis,Grass,NA,—,—,5,NA,User recovers HP. Amount varies with the weather.,—
771,Tackle,Normal,NA,40,100,35,NA,NA,—
772,Tail Glow,Bug,NA,—,—,20,NA,Drastically raises user's Special Attack.,—
773,Tail Slap,Normal,NA,25,85,10,NA,Hits 2-5 times in one turn.,—
774,Tail Whip,Normal,NA,—,100,30,NA,Lowers opponent's Defense.,—
775,Tailwind,Flying,NA,—,—,15,NA,Doubles Speed for 4 turns.,—
776,Take Down,Normal,NA,90,85,20,NA,User receives recoil damage.,—
777,Take Heart,NA,NA,—,∞,10,NA,NA,—
778,Tar Shot,Rock,NA,—,100,15,NA,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100
779,Taunt,Dark,NA,—,100,20,NA,Opponent can only use moves that attack.,—
780,Tearful Look,Normal,NA,—,—,20,NA,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100
781,Teatime,Normal,NA,—,—,10,NA,Forces all Pokémon on the field to eat their berries.,—
782,Techno Blast,Normal,NA,120,100,5,NA,Type depends on the Drive being held.,—
783,Tectonic Rage,Ground,—,—,—,1,NA,Ground type Z-Move.,—
784,Teeter Dance,Normal,NA,—,100,20,NA,Confuses all Pokémon.,—
785,Telekinesis,Psychic,NA,—,—,15,NA,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",—
786,Teleport,Psychic,NA,—,—,20,NA,Allows user to flee wild battles; also warps player to last PokéCenter.,—
787,Terrain Pulse,Normal,NA,50,100,10,NA,Type and power change depending on the Terrain in effect.,—
788,Thief,Dark,NA,60,100,25,NA,Also steals opponent's held item.,—
789,Thousand Arrows,Ground,NA,90,100,10,NA,Makes Flying-type Pokémon vulnerable to Ground moves.,—
790,Thousand Waves,Ground,NA,90,100,10,NA,Opponent cannot flee or switch.,—
791,Thrash,Normal,NA,120,100,10,NA,User attacks for 2-3 turns but then becomes confused.,—
792,Throat Chop,Dark,NA,80,100,15,NA,Prevents use of sound moves for two turns.,100
793,Thunder,Electric,NA,110,70,10,NA,May paralyze opponent.,30
794,Thunder Cage,Electric,NA,80,90,15,NA,"Deals damage and traps opponent, damaging them for 4-5 turns.",—
795,Thunder Fang,Electric,NA,65,95,15,NA,May cause flinching and/or paralyze opponent.,10
796,Thunder Punch,Electric,NA,75,100,15,NA,May paralyze opponent.,10
797,Thunder Shock,Electric,NA,40,100,30,NA,May paralyze opponent.,10
798,Thunder Wave,Electric,NA,—,90,20,NA,Paralyzes opponent.,—
799,Thunderbolt,Electric,NA,90,100,15,NA,May paralyze opponent.,10
800,Thunderous Kick,Fighting,NA,90,100,10,NA,Lowers opponent's Defense.,100
801,Tickle,Normal,NA,—,100,20,NA,Lowers opponent's Attack and Defense.,—
802,Topsy-Turvy,Dark,NA,—,—,20,NA,Reverses stat changes of opponent.,—
803,Torment,Dark,NA,—,100,15,NA,Opponent cannot use the same move in a row.,—
804,Toxic,Poison,NA,—,90,10,NA,Badly poisons opponent.,—
805,Toxic Spikes,Poison,NA,—,—,20,NA,Poisons opponents when they switch into battle.,—
806,Toxic Thread,Poison,NA,—,100,20,NA,Lowers target's Speed.,100
807,Transform,Normal,NA,—,—,10,NA,User takes on the form and attacks of the opponent.,—
808,Tri Attack,Normal,NA,80,100,10,NA,"May paralyze, burn or freeze opponent.",20
809,Trick,Psychic,NA,—,100,10,NA,Swaps held items with the opponent.,—
810,Trick Room,Psychic,NA,—,—,5,NA,Slower Pokémon move first in the turn for 5 turns.,—
811,Trick-or-Treat,Ghost,NA,—,100,20,NA,Adds Ghost type to opponent.,—
812,Triple Arrows,Fighting,NA,50,100,15,NA,NA,—
813,Triple Axel,Ice,NA,20,90,10,NA,Attacks thrice with more power each time.,—
814,Triple Kick,Fighting,NA,10,90,10,NA,Hits thrice in one turn at increasing power.,—
815,Trop Kick,Grass,NA,70,100,15,NA,Lowers opponent's Attack.,100
816,Trump Card,Normal,NA,—,∞,5,NA,"The lower the PP, the higher the power.",—
817,Twineedle,Bug,NA,25,100,20,NA,Hits twice in one turn. May poison opponent.,20
818,Twinkle Tackle,Fairy,—,—,—,1,NA,Fairy type Z-Move.,—
819,Twister,Dragon,NA,40,100,20,NA,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
820,U-turn,Bug,NA,70,100,20,NA,User switches out immediately after attacking.,—
821,Uproar,Normal,NA,90,100,10,NA,User attacks for 3 turns and prevents sleep.,—
822,V-create,Fire,NA,180,95,5,NA,"Lowers user's Defense, Special Defense and Speed.",100
823,Vacuum Wave,Fighting,NA,40,100,30,NA,User attacks first.,—
824,Veevee Volley,Normal,NA,—,∞,20,NA,Power increases when player's bond is stronger.,—
825,Venom Drench,Poison,NA,—,100,20,NA,Lowers poisoned opponent's Special Attack and Speed.,100
826,Venoshock,Poison,NA,65,100,10,NA,Inflicts double damage if the target is poisoned.,—
827,Victory Dance,NA,NA,—,∞,10,NA,NA,—
828,Vine Whip,Grass,NA,45,100,25,NA,NA,—
829,Vise Grip,Normal,NA,55,100,30,NA,NA,—
830,Vital Throw,Fighting,NA,70,∞,10,NA,"User attacks last, but ignores Accuracy and Evasiveness.",—
831,Volt Switch,Electric,NA,70,100,20,NA,User must switch out after attacking.,—
832,Volt Tackle,Electric,NA,120,100,15,NA,User receives recoil damage. May paralyze opponent.,10
833,Wake-Up Slap,Fighting,NA,70,100,10,NA,"Power doubles if opponent is asleep, but wakes it up.",—
834,Water Gun,Water,NA,40,100,25,NA,NA,—
835,Water Pledge,Water,NA,80,100,10,NA,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,—
836,Water Pulse,Water,NA,60,100,20,NA,May confuse opponent.,20
837,Water Shuriken,Water,NA,15,100,20,NA,Hits 2-5 times in one turn.,—
838,Water Sport,Water,NA,—,—,15,NA,Weakens the power of Fire-type moves.,—
839,Water Spout,Water,NA,150,100,5,NA,"The higher the user's HP, the higher the damage caused.",—
840,Waterfall,Water,NA,80,100,15,NA,May cause flinching.,20
841,Wave Crash,Water,NA,75,100,10,NA,NA,—
842,Weather Ball,Normal,NA,50,100,10,NA,Move's power and type changes with the weather.,—
843,Whirlpool,Water,NA,35,85,15,NA,"Traps opponent, damaging them for 4-5 turns.",100
844,Whirlwind,Normal,NA,—,—,20,NA,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
845,Wicked Blow,Dark,NA,80,100,5,NA,Always results in a critical hit and ignores stat changes.,—
846,Wide Guard,Rock,NA,—,—,10,NA,Protects the user's team from multi-target attacks.,—
847,Wild Charge,Electric,NA,90,100,15,NA,User receives recoil damage.,—
848,Wildbolt Storm,Electric,NA,95,80,5,NA,NA,—
849,Will-O-Wisp,Fire,NA,—,85,15,NA,Burns opponent.,—
850,Wing Attack,Flying,NA,60,100,35,NA,NA,—
851,Wish,Normal,NA,—,—,10,NA,The user recovers HP in the following turn.,—
852,Withdraw,Water,NA,—,—,40,NA,Raises user's Defense.,—
853,Wonder Room,Psychic,NA,—,—,10,NA,Swaps every Pokémon's Defense and Special Defense for 5 turns.,—
854,Wood Hammer,Grass,NA,120,100,15,NA,User receives recoil damage.,—
855,Work Up,Normal,NA,—,—,30,NA,Raises user's Attack and Special Attack.,—
856,Worry Seed,Grass,NA,—,100,10,NA,Changes the opponent's Ability to Insomnia.,—
857,Wrap,Normal,NA,15,90,20,NA,"Traps opponent, damaging them for 4-5 turns.",100
858,Wring Out,Normal,NA,—,100,5,NA,"The higher the opponent's HP, the higher the damage.",—
859,X-Scissor,Bug,NA,80,100,15,NA,NA,—
860,Yawn,Normal,NA,—,—,10,NA,Puts opponent to sleep in the next turn.,—
861,Zap Cannon,Electric,NA,120,50,5,NA,Paralyzes opponent.,100
862,Zen Headbutt,Psychic,NA,80,90,15,NA,May cause flinching.,20
863,Zing Zap,Electric,NA,80,100,10,NA,May cause flinching.,30
864,Zippy Zap,Electric,NA,50,100,15,NA,Always results in a critical hit.,100
