Name,Introducted_in,Type,Power,Acc.,PP,Damage_class,Effect,Prob. (%)
Terrain Pulse,8,Normal,50,100,10,Special,Type and power change depending on the Terrain in effect.,
Thief,2,Dark,60,100,25,Physical,Also steals opponent's held item.,
Thousand Arrows,6,Ground,90,100,10,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,
Thousand Waves,6,Ground,90,100,10,Physical,Opponent cannot flee or switch.,
Thrash,1,Normal,120,100,10,Physical,User attacks for 2-3 turns but then becomes confused.,
Throat Chop,7,Dark,80,100,15,Physical,Prevents use of sound moves for two turns.,100
Thunder,1,Electric,110,70,10,Special,May paralyze opponent.,30
Thunder Cage,8,Electric,80,90,15,Special,"Deals damage and traps opponent, damaging them for 4-5 turns.",
Thunder Fang,4,Electric,65,95,15,Physical,May cause flinching and/or paralyze opponent.,10
Thunder Punch,1,Electric,75,100,15,Physical,May paralyze opponent.,10
Thunder Shock,1,Electric,40,100,30,Special,May paralyze opponent.,10
Thunder Wave,1,Electric,,90,20,Status,Paralyzes opponent.,
Thunderbolt,1,Electric,90,100,15,Special,May paralyze opponent.,10
Thunderous Kick,8,Fighting,90,100,10,Physical,Lowers opponent's Defense.,100
Tickle,3,Normal,,100,20,Status,Lowers opponent's Attack and Defense.,
Topsy Turvy,6,Dark,,,20,Status,Reverses stat changes of opponent.,
Torment,3,Dark,,100,15,Status,Opponent cannot use the same move in a row.,
Toxic,1,Poison,,90,10,Status,Badly poisons opponent.,
Toxic Spikes,4,Poison,,,20,Status,Poisons opponents when they switch into battle.,
Toxic Thread,7,Poison,,100,20,Status,Lowers target's Speed.,100
Transform,1,Normal,,,10,Status,User takes on the form and attacks of the opponent.,
Tri Attack,1,Normal,80,100,10,Special,"May paralyze, burn or freeze opponent.",20
Trick,3,Psychic,,100,10,Status,Swaps held items with the opponent.,
Trick Or Treat,6,Ghost,,100,20,Status,Adds Ghost type to opponent.,
Trick Room,4,Psychic,,,5,Status,Slower Pokémon move first in the turn for 5 turns.,
Triple Axel,8,Ice,20,90,10,Physical,Attacks thrice with more power each time.,
Triple Kick,2,Fighting,10,90,10,Physical,Hits thrice in one turn at increasing power.,
Trop Kick,7,Grass,70,100,15,Physical,Lowers opponent's Attack.,100
Trump Card,4,Normal,,∞,5,Special,"The lower the PP, the higher the power.",
Twineedle,1,Bug,25,100,20,Physical,Hits twice in one turn. May poison opponent.,20
Twister,2,Dragon,40,100,20,Special,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
U Turn,4,Bug,70,100,20,Physical,User switches out immediately after attacking.,
Uproar,3,Normal,90,100,10,Special,User attacks for 3 turns and prevents sleep.,
V Create,5,Fire,180,95,5,Physical,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,4,Fighting,40,100,30,Special,User attacks first.,
Veevee Volley,7,Normal,,∞,20,Physical,Power increases when player's bond is stronger.,
Venom Drench,6,Poison,,100,20,Status,Lowers poisoned opponent's Special Attack and Speed.,100
Venoshock,5,Poison,65,100,10,Special,Inflicts double damage if the target is poisoned.,
Vine Whip,1,Grass,45,100,25,Physical,,
Vise Grip,1,Normal,55,100,30,Physical,,
Vital Throw,2,Fighting,70,∞,10,Physical,"User attacks last, but ignores Accuracy and Evasiveness.",
Volt Switch,5,Electric,70,100,20,Special,User must switch out after attacking.,
Volt Tackle,3,Electric,120,100,15,Physical,User receives recoil damage. May paralyze opponent.,10
Wake Up Slap,4,Fighting,70,100,10,Physical,"Power doubles if opponent is asleep, but wakes it up.",
Water Gun,1,Water,40,100,25,Special,,
Water Pledge,5,Water,80,100,10,Special,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,
Water Pulse,3,Water,60,100,20,Special,May confuse opponent.,20
Water Shuriken,6,Water,15,100,20,Special,Hits 2-5 times in one turn.,
Water Sport,3,Water,,,15,Status,Weakens the power of Fire-type moves.,
Water Spout,3,Water,150,100,5,Special,"The higher the user's HP, the higher the damage caused.",
Waterfall,1,Water,80,100,15,Physical,May cause flinching.,20
Weather Ball,3,Normal,50,100,10,Special,Move's power and type changes with the weather.,
Whirlpool,2,Water,35,85,15,Special,"Traps opponent, damaging them for 4-5 turns.",100
Whirlwind,1,Normal,,,20,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",
Wicked Blow,8,Dark,80,100,5,Physical,Always results in a critical hit and ignores stat changes.,
Wide Guard,5,Rock,,,10,Status,Protects the user's team from multi-target attacks.,
Wild Charge,5,Electric,90,100,15,Physical,User receives recoil damage.,
Will O Wisp,3,Fire,,85,15,Status,Burns opponent.,
Wing Attack,1,Flying,60,100,35,Physical,,
Wish,3,Normal,,,10,Status,The user recovers HP in the following turn.,
Withdraw,1,Water,,,40,Status,Raises user's Defense.,
Wonder Room,5,Psychic,,,10,Status,Swaps every Pokémon's Defense and Special Defense for 5 turns.,
Wood Hammer,4,Grass,120,100,15,Physical,User receives recoil damage.,
Work Up,5,Normal,,,30,Status,Raises user's Attack and Special Attack.,
Worry Seed,4,Grass,,100,10,Status,Changes the opponent's Ability to Insomnia.,
Wrap,1,Normal,15,90,20,Physical,"Traps opponent, damaging them for 4-5 turns.",100
Wring Out,4,Normal,,100,5,Special,"The higher the opponent's HP, the higher the damage.",
X Scissor,4,Bug,80,100,15,Physical,,
Yawn,3,Normal,,,10,Status,Puts opponent to sleep in the next turn.,
Zap Cannon,2,Electric,120,50,5,Special,Paralyzes opponent.,100
Zen Headbutt,4,Psychic,80,90,15,Physical,May cause flinching.,20
Zing Zap,7,Electric,80,100,10,Physical,May cause flinching.,30
Zippy Zap,7,Electric,50,100,15,Physical,Always results in a critical hit.,100
G-Max Vine Lash,8,Grass,,∞,10,,Inflicts damage for four turns on non-Grass-type opponents,
G-Max Wildfire,8,Fire,,∞,10,,Inflicts damage for four turns on non-Fire-type opponents,100
G-Max Cannonade,8,Water,,∞,10,,Inflicts damage for four turns on non-Water-type opponents,
G-Max Befuddle,8,Bug,,∞,5,,"Inflicts poison, paralysis, or sleep on all opponents",100
G-Max Volt Crash,8,Electric,,∞,10,,Paralyzes all opponents,100
G-Max Gold Rush,8,Normal,,∞,5,,Scatters coins on the ground that are picked up afterwards and confuses all opponents Value is equal to 100 × the user's level (200 × user's level with an Amulet Coin),100
G-Max Chi Strike,8,Fighting,,∞,5,,"Pumps up the user and its allies, raising the chance of critical hits by one stage. Stacks with itself and moves like Focus Energy, unlike other critical hit sources",
G-Max Terror,8,Ghost,,∞,10,,Prevents the opponent from escaping or being recalled Same effect as Mean Look,
G-Max Foam Burst,8,Water,,∞,5,,Lowers the Speed of all opponents by two stages,100
G-Max Resonance,8,Ice,,∞,5,,"Lowers damage from both Physical and Special moves for five turns Same effect as Aurora Veil, though it does not require hail.",
G-Max Cuddle,8,Normal,,∞,5,,Opponents of the opposite gender of the user become infatuated,100
G-Max Replenish,8,Normal,,∞,5,,50% chance of restoring user or ally's used Berries Similar effect to Recycle when it works,
G-Max Malodor,8,Poison,,∞,5,,Poisons all opponents,100
G-Max Meltdown,8,Steel,,∞,5,,Makes opponents incapable of using the same move twice in a row Same effect as Torment,
G-Max Drum Solo,8,Grass,,∞,5,,"Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker",
G-Max Fireball,8,Fire,,∞,5,,"Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker",
G-Max Hydrosnipe,8,Water,,∞,5,,"Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker",
G-Max Wind Rage,8,Flying,,∞,10,,"Removes the effects of moves like Reflect, Light Screen, Spikes, and terrain from the opponents' side of the field. Works like Defog, but does not lower evasiveness.",
G-Max Gravitas,8,Psychic,,∞,5,,Intensifies gravity for five turns Same effect as Gravity,
G-Max Stonesurge,8,Water,,∞,5,,Creates Stealth Rock on the opponents' side of the field,
G-Max Volcalith,8,Rock,,∞,10,,Inflicts damage for four turns on non-Rock-type opponents,100
G-Max Tartness,8,Grass,,∞,10,,Lowers the evasiveness of all opponents by one stage,100
G-Max Sweetness,8,Grass,,∞,10,,Cures the user and its allies of their status conditions Only affects allies on the field,
G-Max Sandblast,8,Ground,,∞,5,,Traps the target in Sand Tomb for four to five turns,100
G-Max Stun Shock,8,Electric,,∞,10,,Inflicts poison or paralysis on all opponents,100
G-Max Centiferno,8,Fire,,∞,5,,Traps the target in Fire Spin for four to five turns,100
G-Max Smite,8,Fairy,,∞,5,,Inflicts confusion on all opponents,100
G-Max Snooze,8,Dark,,∞,5,,"50% chance of making the target drowsy, causing it to fall asleep at the end of the next turn Same effect as Yawn when it works.",
G-Max Finale,8,Fairy,,∞,5,,Heals the user and its allies by 1/6 their maximum HP,
G-Max Steelsurge,8,Steel,,∞,5,,"Scatters sharp spikes around the field Works like Stealth Rock, though it checks the effectiveness of Steel against the target instead of Rock",
G-Max Depletion,8,Dragon,,∞,5,,Takes away 2 PP from the last move the target used Less potent version of Spite's effect.,
G-Max One Blow,8,Dark,,∞,5,,"Hits the target even if it is protected by a protection move, including Max Guard Works like Feint",
G-Max Rapid Flow,8,Water,,∞,5,,"Hits the target even if it is protected by a protection move, including Max Guard. Works like Feint",
