index;Name;IntroductedIn;Type;Power;Acc;PP;DamageClass;Effect;ProbPercentage;id;Label
511;Prismatic Laser;7;Psychic;160.0;100;10.0;Special;The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.;;Prismatic Laser;Move
512;Protect;2;Normal;;;10.0;Status;Protects the user, but may fail if used consecutively.;;Protect;Move
513;Psybeam;1;Psychic;65.0;100;20.0;Special;May confuse opponent.;10.0;Psybeam;Move
514;Psych Up;2;Normal;;;10.0;Status;Copies the opponent's stat changes.;;Psych Up;Move
515;Psychic;1;Psychic;90.0;100;10.0;Special;May lower opponent's Special Defense.;10.0;Psychic;Move
516;Psychic Fangs;7;Psychic;85.0;100;10.0;Physical;The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.;;Psychic Fangs;Move
517;Psychic Terrain;7;Psychic;;;10.0;Status;Prevents priority moves from being used for 5 turns.;;Psychic Terrain;Move
518;Psycho Boost;3;Psychic;140.0;90;5.0;Special;Sharply lowers user's Special Attack.;100.0;Psycho Boost;Move
519;Psycho Cut;4;Psychic;70.0;100;20.0;Physical;High critical hit ratio.;;Psycho Cut;Move
520;Psycho Shift;4;Psychic;;100;10.0;Status;Transfers user's status condition to the opponent.;;Psycho Shift;Move
521;Psyshock;5;Psychic;80.0;100;10.0;Special;Inflicts damage based on the target's Defense, not Special Defense.;;Psyshock;Move
522;Psystrike;5;Psychic;100.0;100;10.0;Special;Inflicts damage based on the target's Defense, not Special Defense.;;Psystrike;Move
523;Psywave;1;Psychic;;100;15.0;Special;Inflicts damage 50-150% of user's level.;;Psywave;Move
524;Pulverizing Pancake;7;Normal;210.0;;1.0;Physical;Snorlax-exclusive Normal type Z-Move.;;Pulverizing Pancake;Move
525;Punishment;4;Dark;;100;5.0;Physical;Power increases when opponent's stats have been raised.;;Punishment;Move
526;Purify;7;Poison;;;20.0;Status;The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.;;Purify;Move
527;Pursuit;2;Dark;40.0;100;20.0;Physical;Double power if the opponent is switching out.;;Pursuit;Move
528;Pyro Ball;8;Fire;120.0;90;5.0;Physical;May burn opponent.;10.0;Pyro Ball;Move
529;Quash;5;Dark;;100;15.0;Status;Makes the target act last this turn.;;Quash;Move
530;Quick Attack;1;Normal;40.0;100;30.0;Physical;User attacks first.;;Quick Attack;Move
531;Quick Guard;5;Fighting;;;15.0;Status;Protects the user's team from high-priority moves.;;Quick Guard;Move
532;Quiver Dance;5;Bug;;;20.0;Status;Raises user's Special Attack, Special Defense and Speed.;;Quiver Dance;Move
533;Rage;1;Normal;20.0;100;20.0;Physical;Raises user's Attack when hit.;;Rage;Move
534;Rage Powder;5;Bug;;;20.0;Status;Forces attacks to hit user, not team-mates.;;Rage Powder;Move
535;Rain Dance;2;Water;;;5.0;Status;Makes it rain for 5 turns.;;Rain Dance;Move
536;Rapid Spin;2;Normal;50.0;100;40.0;Physical;Raises user's Speed and removes entry hazards and trap move effects.;100.0;Rapid Spin;Move
537;Razor Leaf;1;Grass;55.0;95;25.0;Physical;High critical hit ratio.;;Razor Leaf;Move
538;Razor Shell;5;Water;75.0;95;10.0;Physical;May lower opponent's Defense.;50.0;Razor Shell;Move
539;Razor Wind;1;Normal;80.0;100;10.0;Special;Charges on first turn, attacks on second. High critical hit ratio.;;Razor Wind;Move
540;Recover;1;Normal;;;10.0;Status;User recovers half its max HP.;;Recover;Move
541;Recycle;3;Normal;;;10.0;Status;User's used hold item is restored.;;Recycle;Move
542;Reflect;1;Psychic;;;20.0;Status;Halves damage from Physical attacks for 5 turns.;;Reflect;Move
543;Reflect Type;5;Normal;;;15.0;Status;User becomes the target's type.;;Reflect Type;Move
544;Refresh;3;Normal;;;20.0;Status;Cures paralysis, poison, and burns.;;Refresh;Move
545;Relic Song;5;Normal;75.0;100;10.0;Special;May put the target to sleep.;10.0;Relic Song;Move
546;Rest;1;Psychic;;;10.0;Status;User sleeps for 2 turns, but user is fully healed.;;Rest;Move
547;Retaliate;5;Normal;70.0;100;5.0;Physical;Inflicts double damage if a teammate fainted on the last turn.;;Retaliate;Move
548;Return;2;Normal;;100;20.0;Physical;Power increases with higher Friendship.;;Return;Move
549;Revelation Dance;7;Normal;90.0;100;15.0;Special;Type changes based on Oricorio's form.;;Revelation Dance;Move
550;Revenge;3;Fighting;60.0;100;10.0;Physical;Power increases if user was hit first.;;Revenge;Move
551;Reversal;2;Fighting;;100;15.0;Physical;The lower the user's HP, the higher the power.;;Reversal;Move
552;Rising Voltage;8;Electric;70.0;100;20.0;Special;Power doubles on Electric Terrain.;;Rising Voltage;Move
553;Roar;1;Normal;;;20.0;Status;In battles, the opponent switches. In the wild, the Pokémon runs.;;Roar;Move
554;Roar Of Time;4;Dragon;150.0;90;5.0;Special;User must recharge next turn.;;Roar Of Time;Move
555;Rock Blast;3;Rock;25.0;90;10.0;Physical;Hits 2-5 times in one turn.;;Rock Blast;Move
556;Rock Climb;4;Normal;90.0;85;20.0;Physical;May confuse opponent.;20.0;Rock Climb;Move
557;Rock Polish;4;Rock;;;20.0;Status;Sharply raises user's Speed.;;Rock Polish;Move
558;Rock Slide;1;Rock;75.0;90;10.0;Physical;May cause flinching.;30.0;Rock Slide;Move
559;Rock Smash;2;Fighting;40.0;100;15.0;Physical;May lower opponent's Defense.;50.0;Rock Smash;Move
560;Rock Throw;1;Rock;50.0;90;15.0;Physical;;;Rock Throw;Move
561;Rock Tomb;3;Rock;60.0;95;15.0;Physical;Lowers opponent's Speed.;100.0;Rock Tomb;Move
562;Rock Wrecker;4;Rock;150.0;90;5.0;Physical;User must recharge next turn.;;Rock Wrecker;Move
563;Role Play;3;Psychic;;;10.0;Status;User copies the opponent's Ability.;;Role Play;Move
564;Rolling Kick;1;Fighting;60.0;85;15.0;Physical;May cause flinching.;30.0;Rolling Kick;Move
565;Rollout;2;Rock;30.0;90;20.0;Physical;Doubles in power each turn for 5 turns.;;Rollout;Move
566;Roost;4;Flying;;;10.0;Status;User recovers half of its max HP and loses the Flying type temporarily.;;Roost;Move
567;Rototiller;6;Ground;;;10.0;Status;Raises Attack and Special Attack of Grass-types.;100.0;Rototiller;Move
568;Round;5;Normal;60.0;100;15.0;Special;Power increases if teammates use it in the same turn.;;Round;Move
569;Sacred Fire;2;Fire;100.0;95;5.0;Physical;May burn opponent.;50.0;Sacred Fire;Move
570;Sacred Sword;5;Fighting;90.0;100;15.0;Physical;Ignores opponent's stat changes.;;Sacred Sword;Move
571;Safeguard;2;Normal;;;25.0;Status;The user's party is protected from status conditions.;;Safeguard;Move
572;Sand Attack;1;Ground;;100;15.0;Status;Lowers opponent's Accuracy.;;Sand Attack;Move
573;Sand Tomb;3;Ground;35.0;85;15.0;Physical;Traps opponent, damaging them for 4-5 turns.;100.0;Sand Tomb;Move
574;Sandstorm;2;Rock;;;10.0;Status;Creates a sandstorm for 5 turns.;;Sandstorm;Move
575;Sappy Seed;7;Grass;90.0;100;15.0;Physical;Drains HP from opponent each turn.;100.0;Sappy Seed;Move
576;Scald;5;Water;80.0;100;15.0;Special;May burn opponent.;30.0;Scald;Move
577;Scale Shot;8;Dragon;25.0;90;20.0;Physical;Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.;;Scale Shot;Move
578;Scary Face;2;Normal;;100;10.0;Status;Sharply lowers opponent's Speed.;;Scary Face;Move
579;Scorching Sands;8;Ground;70.0;100;10.0;Special;May burn the target.;;Scorching Sands;Move
580;Scratch;1;Normal;40.0;100;35.0;Physical;;;Scratch;Move
581;Screech;1;Normal;;85;40.0;Status;Sharply lowers opponent's Defense.;;Screech;Move
582;Searing Shot;5;Fire;100.0;100;5.0;Special;May burn opponent.;30.0;Searing Shot;Move
583;Searing Sunraze Smash;7;Steel;200.0;;1.0;Physical;Solgaleo-exclusive Z-Move.;;Searing Sunraze Smash;Move
584;Secret Power;3;Normal;70.0;100;20.0;Physical;Effects of the attack vary with the location.;30.0;Secret Power;Move
585;Secret Sword;5;Fighting;85.0;100;10.0;Special;Inflicts damage based on the target's Defense, not Special Defense.;;Secret Sword;Move
586;Seed Bomb;4;Grass;80.0;100;15.0;Physical;;;Seed Bomb;Move
587;Seed Flare;4;Grass;120.0;85;5.0;Special;May lower opponent's Special Defense.;40.0;Seed Flare;Move
588;Seismic Toss;1;Fighting;;100;20.0;Physical;Inflicts damage equal to user's level.;;Seismic Toss;Move
589;Self Destruct;1;Normal;200.0;100;5.0;Physical;User faints.;;Self Destruct;Move
590;Shadow Ball;2;Ghost;80.0;100;15.0;Special;May lower opponent's Special Defense.;20.0;Shadow Ball;Move
591;Shadow Bone;7;Ghost;85.0;100;10.0;Physical;May lower opponent's Defense.;20.0;Shadow Bone;Move
592;Shadow Claw;4;Ghost;70.0;100;15.0;Physical;High critical hit ratio.;;Shadow Claw;Move
593;Shadow Force;4;Ghost;120.0;100;5.0;Physical;Disappears on first turn, attacks on second. Can strike through Protect/Detect.;;Shadow Force;Move
594;Shadow Punch;3;Ghost;60.0;∞;20.0;Physical;Ignores Accuracy and Evasiveness.;;Shadow Punch;Move
595;Shadow Sneak;4;Ghost;40.0;100;30.0;Physical;User attacks first.;;Shadow Sneak;Move
596;Sharpen;1;Normal;;;30.0;Status;Raises user's Attack.;;Sharpen;Move
597;Sheer Cold;3;Ice;;30;5.0;Special;One-Hit-KO, if it hits.;;Sheer Cold;Move
598;Shell Side Arm;8;Poison;90.0;100;10.0;Special;May poison opponent. Inflicts either Special or Physical damage, whichever is better.;;Shell Side Arm;Move
599;Shell Smash;5;Normal;;;15.0;Status;Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.;;Shell Smash;Move
600;Shell Trap;7;Fire;150.0;100;5.0;Special;Deals more damage to opponent if hit by a Physical move.;;Shell Trap;Move
601;Shift Gear;5;Steel;;;10.0;Status;Raises user's Attack and sharply raises Speed.;;Shift Gear;Move
602;Shock Wave;3;Electric;60.0;∞;20.0;Special;Ignores Accuracy and Evasiveness.;;Shock Wave;Move
603;Shore Up;7;Ground;;;10.0;Status;The user regains up to half of its max HP. It restores more HP in a sandstorm.;;Shore Up;Move
604;Signal Beam;3;Bug;75.0;100;15.0;Special;May confuse opponent.;10.0;Signal Beam;Move
605;Silver Wind;3;Bug;60.0;100;5.0;Special;May raise all stats of user at once.;10.0;Silver Wind;Move
606;Simple Beam;5;Normal;;100;15.0;Status;Changes target's ability to Simple.;;Simple Beam;Move
607;Sing;1;Normal;;55;15.0;Status;Puts opponent to sleep.;;Sing;Move
608;Sinister Arrow Raid;7;Ghost;180.0;;1.0;Physical;Decidueye-exclusive Z-Move.;;Sinister Arrow Raid;Move
609;Sizzly Slide;7;Fire;90.0;100;15.0;Physical;Burns the opponent.;100.0;Sizzly Slide;Move
610;Sketch;2;Normal;;;1.0;Status;Permanently copies the opponent's last move.;;Sketch;Move
611;Skill Swap;3;Psychic;;;10.0;Status;The user swaps Abilities with the opponent.;;Skill Swap;Move
612;Skitter Smack;8;Bug;70.0;90;10.0;Physical;Lowers opponent's Sp. Attack.;;Skitter Smack;Move
613;Skull Bash;1;Normal;130.0;100;10.0;Physical;Raises Defense on first turn, attacks on second.;100.0;Skull Bash;Move
614;Sky Attack;1;Flying;140.0;90;5.0;Physical;Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.;30.0;Sky Attack;Move
615;Sky Drop;5;Flying;60.0;100;10.0;Physical;Takes opponent into the air on first turn, drops them on second turn.;;Sky Drop;Move
616;Sky Uppercut;3;Fighting;85.0;90;15.0;Physical;Hits the opponent, even during Fly.;;Sky Uppercut;Move
617;Slack Off;3;Normal;;;10.0;Status;User recovers half its max HP.;;Slack Off;Move
618;Slam;1;Normal;80.0;75;20.0;Physical;;;Slam;Move
619;Slash;1;Normal;70.0;100;20.0;Physical;High critical hit ratio.;;Slash;Move
620;Sleep Powder;1;Grass;;75;15.0;Status;Puts opponent to sleep.;;Sleep Powder;Move
621;Sleep Talk;2;Normal;;;10.0;Status;User performs one of its own moves while sleeping.;;Sleep Talk;Move
622;Sludge;1;Poison;65.0;100;20.0;Special;May poison opponent.;30.0;Sludge;Move
623;Sludge Bomb;2;Poison;90.0;100;10.0;Special;May poison opponent.;30.0;Sludge Bomb;Move
624;Sludge Wave;5;Poison;95.0;100;10.0;Special;May poison opponent.;10.0;Sludge Wave;Move
625;Smack Down;5;Rock;50.0;100;15.0;Physical;Makes Flying-type Pokémon vulnerable to Ground moves.;100.0;Smack Down;Move
626;Smart Strike;7;Steel;70.0;;10.0;Physical;The user stabs the target with a sharp horn. This attack never misses.;;Smart Strike;Move
627;Smelling Salts;3;Normal;70.0;100;10.0;Physical;Power doubles if opponent is paralyzed, but cures it.;;Smelling Salts;Move
628;Smog;1;Poison;30.0;70;20.0;Special;May poison opponent.;40.0;Smog;Move
629;Smokescreen;1;Normal;;100;20.0;Status;Lowers opponent's Accuracy.;;Smokescreen;Move
630;Snap Trap;8;Grass;35.0;100;15.0;Physical;Traps opponent, damaging them for 4-5 turns.;100.0;Snap Trap;Move
631;Snarl;5;Dark;55.0;95;15.0;Special;Lowers opponent's Special Attack.;100.0;Snarl;Move
632;Snatch;3;Dark;;;10.0;Status;Steals the effects of the opponent's next move.;;Snatch;Move
633;Snipe Shot;8;Water;80.0;100;15.0;Special;Ignores moves and abilities that draw in moves. High critical hit ratio.;;Snipe Shot;Move
634;Snore;2;Normal;50.0;100;15.0;Special;Can only be used if asleep. May cause flinching.;30.0;Snore;Move
635;Soak;5;Water;;100;20.0;Status;Changes the target's type to water.;;Soak;Move
636;Soft Boiled;1;Normal;;;10.0;Status;User recovers half its max HP.;;Soft Boiled;Move
637;Solar Beam;1;Grass;120.0;100;10.0;Special;Charges on first turn, attacks on second.;;Solar Beam;Move
638;Solar Blade;7;Grass;125.0;100;10.0;Physical;Charges on first turn, attacks on second.;;Solar Blade;Move
639;Sonic Boom;1;Normal;;90;20.0;Special;Always inflicts 20 HP.;;Sonic Boom;Move
640;Soul Stealing 7 Star Strike;7;Ghost;195.0;;1.0;Physical;Marshadow-exclusive Z-Move.;;Soul Stealing 7 Star Strike;Move
641;Spacial Rend;4;Dragon;100.0;95;5.0;Special;High critical hit ratio.;;Spacial Rend;Move
642;Spark;2;Electric;65.0;100;20.0;Physical;May paralyze opponent.;30.0;Spark;Move
643;Sparkling Aria;7;Water;90.0;100;10.0;Special;Heals the burns of its target.;;Sparkling Aria;Move
644;Sparkly Swirl;7;Fairy;90.0;100;15.0;Special;Cures all status problems in the party Pokémon.;;Sparkly Swirl;Move
645;Spectral Thief;7;Ghost;90.0;100;10.0;Physical;The user hides in the target's shadow, steals the target's stat boosts, and then attacks.;;Spectral Thief;Move
646;Speed Swap;7;Psychic;;;10.0;Status;The user exchanges Speed stats with the target.;;Speed Swap;Move
647;Spider Web;2;Bug;;;10.0;Status;Opponent cannot escape/switch.;;Spider Web;Move
648;Spike Cannon;1;Normal;20.0;100;15.0;Physical;Hits 2-5 times in one turn.;;Spike Cannon;Move
649;Spikes;2;Ground;;;20.0;Status;Hurts opponents when they switch into battle.;;Spikes;Move
650;Spiky Shield;6;Grass;;;10.0;Status;Protects the user and inflicts damage on contact.;;Spiky Shield;Move
651;Spirit Break;8;Fairy;75.0;100;15.0;Physical;Lowers opponent's Special Attack.;100.0;Spirit Break;Move
652;Spirit Shackle;7;Ghost;80.0;100;10.0;Physical;Prevents the opponent from switching out.;;Spirit Shackle;Move
653;Spit Up;3;Normal;;100;10.0;Special;Power depends on how many times the user performed Stockpile.;;Spit Up;Move
654;Spite;2;Ghost;;100;10.0;Status;The opponent's last move loses 2-5 PP.;;Spite;Move
655;Splash;1;Normal;;;40.0;Status;Doesn't do ANYTHING.;;Splash;Move
656;Splintered Stormshards;7;Rock;190.0;;1.0;Physical;Lycanroc-exclusive Z-Move.;;Splintered Stormshards;Move
657;Splishy Splash;7;Water;90.0;100;15.0;Special;May paralyze opponent.;30.0;Splishy Splash;Move
658;Spore;1;Grass;;100;15.0;Status;Puts opponent to sleep.;;Spore;Move
659;Spotlight;7;Normal;;;15.0;Status;The user shines a spotlight on the target so that only the target will be attacked during the turn.;;Spotlight;Move
660;Stealth Rock;4;Rock;;;20.0;Status;Damages opponent switching into battle.;;Stealth Rock;Move
661;Steam Eruption;6;Water;110.0;95;5.0;Special;May burn opponent.;30.0;Steam Eruption;Move
662;Steamroller;5;Bug;65.0;100;20.0;Physical;May cause flinching.;30.0;Steamroller;Move
663;Steel Beam;8;Steel;140.0;95;5.0;Special;User loses 50% of its HP.;;Steel Beam;Move
664;Steel Roller;8;Steel;130.0;100;5.0;Physical;Fails if no Terrain in effect.;;Steel Roller;Move
665;Steel Wing;2;Steel;70.0;90;25.0;Physical;May raise user's Defense.;10.0;Steel Wing;Move
666;Sticky Web;6;Bug;;;20.0;Status;Lowers opponent's Speed when switching into battle.;;Sticky Web;Move
667;Stockpile;3;Normal;;;20.0;Status;Stores energy for use with Spit Up and Swallow.;;Stockpile;Move
668;Stoked Sparksurfer;7;Electric;175.0;;1.0;Special;Alolan Raichu-exclusive Electric type Z-Move.;100.0;Stoked Sparksurfer;Move
669;Stomp;1;Normal;65.0;100;20.0;Physical;May cause flinching.;30.0;Stomp;Move
670;Stomping Tantrum;7;Ground;75.0;100;10.0;Physical;Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.;;Stomping Tantrum;Move
671;Stone Edge;4;Rock;100.0;80;5.0;Physical;High critical hit ratio.;;Stone Edge;Move
672;Stored Power;5;Psychic;20.0;100;10.0;Special;Power increases when user's stats have been raised.;;Stored Power;Move
673;Storm Throw;5;Fighting;60.0;100;10.0;Physical;Always results in a critical hit.;100.0;Storm Throw;Move
674;Strange Steam;8;Fairy;90.0;95;10.0;Special;May confuse opponent.;20.0;Strange Steam;Move
675;Strength;1;Normal;80.0;100;15.0;Physical;;;Strength;Move
676;Strength Sap;7;Grass;;100;10.0;Status;The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.;100.0;Strength Sap;Move
677;String Shot;1;Bug;;95;40.0;Status;Sharply lowers opponent's Speed.;;String Shot;Move
678;Struggle;1;Normal;50.0;;;Physical;Only usable when all PP are gone. Hurts the user.;;Struggle;Move
679;Struggle Bug;5;Bug;50.0;100;20.0;Special;Lowers opponent's Special Attack.;100.0;Struggle Bug;Move
680;Stuff Cheeks;8;Normal;;;10.0;Status;The user eats its held Berry, then sharply raises its Defense stat.;100.0;Stuff Cheeks;Move
681;Stun Spore;1;Grass;;75;30.0;Status;Paralyzes opponent.;;Stun Spore;Move
682;Submission;1;Fighting;80.0;80;20.0;Physical;User receives recoil damage.;;Submission;Move
683;Substitute;1;Normal;;;10.0;Status;Uses HP to creates a decoy that takes hits.;;Substitute;Move
684;Sucker Punch;4;Dark;70.0;100;5.0;Physical;User attacks first, but only works if opponent is readying an attack.;;Sucker Punch;Move
685;Sunny Day;2;Fire;;;5.0;Status;Makes it sunny for 5 turns.;;Sunny Day;Move
686;Sunsteel Strike;7;Steel;100.0;100;5.0;Physical;Ignores the target's ability.;;Sunsteel Strike;Move
687;Super Fang;1;Normal;;90;10.0;Physical;Always takes off half of the opponent's HP.;;Super Fang;Move
688;Superpower;3;Fighting;120.0;100;5.0;Physical;Lowers user's Attack and Defense.;100.0;Superpower;Move
689;Supersonic;1;Normal;;55;20.0;Status;Confuses opponent.;;Supersonic;Move
690;Surf;1;Water;90.0;100;15.0;Special;Hits all adjacent Pokémon.;;Surf;Move
691;Surging Strikes;8;Water;25.0;100;5.0;Physical;Always results in a critical hit and ignores stat changes.;;Surging Strikes;Move
692;Swagger;2;Normal;;85;15.0;Status;Confuses opponent, but sharply raises its Attack.;;Swagger;Move
693;Swallow;3;Normal;;;10.0;Status;The more times the user has performed Stockpile, the more HP is recovered.;;Swallow;Move
694;Sweet Kiss;2;Fairy;;75;10.0;Status;Confuses opponent.;;Sweet Kiss;Move
695;Sweet Scent;2;Normal;;100;20.0;Status;Lowers opponent's Evasiveness.;;Sweet Scent;Move
696;Swift;1;Normal;60.0;∞;20.0;Special;Ignores Accuracy and Evasiveness.;;Swift;Move
697;Switcheroo;4;Dark;;100;10.0;Status;Swaps held items with the opponent.;;Switcheroo;Move
698;Swords Dance;1;Normal;;;20.0;Status;Sharply raises user's Attack.;;Swords Dance;Move
699;Synchronoise;5;Psychic;120.0;100;10.0;Special;Hits any Pokémon that shares a type with the user.;;Synchronoise;Move
700;Synthesis;2;Grass;;;5.0;Status;User recovers HP. Amount varies with the weather.;;Synthesis;Move
701;Tackle;1;Normal;40.0;100;35.0;Physical;;;Tackle;Move
702;Tail Glow;3;Bug;;;20.0;Status;Drastically raises user's Special Attack.;;Tail Glow;Move
703;Tail Slap;5;Normal;25.0;85;10.0;Physical;Hits 2-5 times in one turn.;;Tail Slap;Move
704;Tail Whip;1;Normal;;100;30.0;Status;Lowers opponent's Defense.;;Tail Whip;Move
705;Tailwind;4;Flying;;;15.0;Status;Doubles Speed for 4 turns.;;Tailwind;Move
706;Take Down;1;Normal;90.0;85;20.0;Physical;User receives recoil damage.;;Take Down;Move
707;Tar Shot;8;Rock;;100;15.0;Status;Lowers the opponent's Speed and makes them weaker to Fire-type moves.;100.0;Tar Shot;Move
708;Taunt;3;Dark;;100;20.0;Status;Opponent can only use moves that attack.;;Taunt;Move
709;Tearful Look;7;Normal;;;20.0;Status;The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.;100.0;Tearful Look;Move
710;Teatime;8;Normal;;;10.0;Status;Forces all Pokémon on the field to eat their berries.;;Teatime;Move
711;Techno Blast;5;Normal;120.0;100;5.0;Special;Type depends on the Drive being held.;;Techno Blast;Move
712;Teeter Dance;3;Normal;;100;20.0;Status;Confuses all Pokémon.;;Teeter Dance;Move
713;Telekinesis;5;Psychic;;;15.0;Status;Ignores opponent's Evasiveness for three turns, add Ground immunity.;;Telekinesis;Move
714;Teleport;1;Psychic;;;20.0;Status;"Allows user to flee wild battles; also warps player to last PokéCenter.";;Teleport;Move
715;Terrain Pulse;8;Normal;50.0;100;10.0;Special;Type and power change depending on the Terrain in effect.;;Terrain Pulse;Move
716;Thief;2;Dark;60.0;100;25.0;Physical;Also steals opponent's held item.;;Thief;Move
717;Thousand Arrows;6;Ground;90.0;100;10.0;Physical;Makes Flying-type Pokémon vulnerable to Ground moves.;;Thousand Arrows;Move
718;Thousand Waves;6;Ground;90.0;100;10.0;Physical;Opponent cannot flee or switch.;;Thousand Waves;Move
719;Thrash;1;Normal;120.0;100;10.0;Physical;User attacks for 2-3 turns but then becomes confused.;;Thrash;Move
720;Throat Chop;7;Dark;80.0;100;15.0;Physical;Prevents use of sound moves for two turns.;100.0;Throat Chop;Move
721;Thunder;1;Electric;110.0;70;10.0;Special;May paralyze opponent.;30.0;Thunder;Move
722;Thunder Cage;8;Electric;80.0;90;15.0;Special;Deals damage and traps opponent, damaging them for 4-5 turns.;;Thunder Cage;Move
723;Thunder Fang;4;Electric;65.0;95;15.0;Physical;May cause flinching and/or paralyze opponent.;10.0;Thunder Fang;Move
724;Thunder Punch;1;Electric;75.0;100;15.0;Physical;May paralyze opponent.;10.0;Thunder Punch;Move
725;Thunder Shock;1;Electric;40.0;100;30.0;Special;May paralyze opponent.;10.0;Thunder Shock;Move
726;Thunder Wave;1;Electric;;90;20.0;Status;Paralyzes opponent.;;Thunder Wave;Move
727;Thunderbolt;1;Electric;90.0;100;15.0;Special;May paralyze opponent.;10.0;Thunderbolt;Move
728;Thunderous Kick;8;Fighting;90.0;100;10.0;Physical;Lowers opponent's Defense.;100.0;Thunderous Kick;Move
729;Tickle;3;Normal;;100;20.0;Status;Lowers opponent's Attack and Defense.;;Tickle;Move
730;Topsy Turvy;6;Dark;;;20.0;Status;Reverses stat changes of opponent.;;Topsy Turvy;Move
731;Torment;3;Dark;;100;15.0;Status;Opponent cannot use the same move in a row.;;Torment;Move
732;Toxic;1;Poison;;90;10.0;Status;Badly poisons opponent.;;Toxic;Move
733;Toxic Spikes;4;Poison;;;20.0;Status;Poisons opponents when they switch into battle.;;Toxic Spikes;Move
734;Toxic Thread;7;Poison;;100;20.0;Status;Lowers target's Speed.;100.0;Toxic Thread;Move
735;Transform;1;Normal;;;10.0;Status;User takes on the form and attacks of the opponent.;;Transform;Move
736;Tri Attack;1;Normal;80.0;100;10.0;Special;May paralyze, burn or freeze opponent.;20.0;Tri Attack;Move
737;Trick;3;Psychic;;100;10.0;Status;Swaps held items with the opponent.;;Trick;Move
738;Trick Or Treat;6;Ghost;;100;20.0;Status;Adds Ghost type to opponent.;;Trick Or Treat;Move
739;Trick Room;4;Psychic;;;5.0;Status;Slower Pokémon move first in the turn for 5 turns.;;Trick Room;Move
740;Triple Axel;8;Ice;20.0;90;10.0;Physical;Attacks thrice with more power each time.;;Triple Axel;Move
741;Triple Kick;2;Fighting;10.0;90;10.0;Physical;Hits thrice in one turn at increasing power.;;Triple Kick;Move
742;Trop Kick;7;Grass;70.0;100;15.0;Physical;Lowers opponent's Attack.;100.0;Trop Kick;Move
743;Trump Card;4;Normal;;∞;5.0;Special;The lower the PP, the higher the power.;;Trump Card;Move
744;Twineedle;1;Bug;25.0;100;20.0;Physical;Hits twice in one turn. May poison opponent.;20.0;Twineedle;Move
745;Twister;2;Dragon;40.0;100;20.0;Special;May cause flinching. Hits Pokémon using Fly/Bounce with double power.;20.0;Twister;Move
746;U Turn;4;Bug;70.0;100;20.0;Physical;User switches out immediately after attacking.;;U Turn;Move
747;Uproar;3;Normal;90.0;100;10.0;Special;User attacks for 3 turns and prevents sleep.;;Uproar;Move
748;V Create;5;Fire;180.0;95;5.0;Physical;Lowers user's Defense, Special Defense and Speed.;100.0;V Create;Move
749;Vacuum Wave;4;Fighting;40.0;100;30.0;Special;User attacks first.;;Vacuum Wave;Move
750;Veevee Volley;7;Normal;;∞;20.0;Physical;Power increases when player's bond is stronger.;;Veevee Volley;Move
751;Venom Drench;6;Poison;;100;20.0;Status;Lowers poisoned opponent's Special Attack and Speed.;100.0;Venom Drench;Move
752;Venoshock;5;Poison;65.0;100;10.0;Special;Inflicts double damage if the target is poisoned.;;Venoshock;Move
753;Vine Whip;1;Grass;45.0;100;25.0;Physical;;;Vine Whip;Move
754;Vise Grip;1;Normal;55.0;100;30.0;Physical;;;Vise Grip;Move
755;Vital Throw;2;Fighting;70.0;∞;10.0;Physical;User attacks last, but ignores Accuracy and Evasiveness.;;Vital Throw;Move
756;Volt Switch;5;Electric;70.0;100;20.0;Special;User must switch out after attacking.;;Volt Switch;Move
757;Volt Tackle;3;Electric;120.0;100;15.0;Physical;User receives recoil damage. May paralyze opponent.;10.0;Volt Tackle;Move
758;Wake Up Slap;4;Fighting;70.0;100;10.0;Physical;Power doubles if opponent is asleep, but wakes it up.;;Wake Up Slap;Move
759;Water Gun;1;Water;40.0;100;25.0;Special;;;Water Gun;Move
760;Water Pledge;5;Water;80.0;100;10.0;Special;Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.;;Water Pledge;Move
761;Water Pulse;3;Water;60.0;100;20.0;Special;May confuse opponent.;20.0;Water Pulse;Move
762;Water Shuriken;6;Water;15.0;100;20.0;Special;Hits 2-5 times in one turn.;;Water Shuriken;Move
763;Water Sport;3;Water;;;15.0;Status;Weakens the power of Fire-type moves.;;Water Sport;Move
764;Water Spout;3;Water;150.0;100;5.0;Special;The higher the user's HP, the higher the damage caused.;;Water Spout;Move
765;Waterfall;1;Water;80.0;100;15.0;Physical;May cause flinching.;20.0;Waterfall;Move
766;Weather Ball;3;Normal;50.0;100;10.0;Special;Move's power and type changes with the weather.;;Weather Ball;Move
767;Whirlpool;2;Water;35.0;85;15.0;Special;Traps opponent, damaging them for 4-5 turns.;100.0;Whirlpool;Move
