index;Name;AlternativeEffect;Effect;UsageAttributes;SpecificCategory;GeneralCategory;image_url;id;Label
385;Pecha Berry;Held: Consumed when poisoned to cure poison.;If held by a Pokémon, it recovers from poison.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/pecha-berry.png;Pecha Berry;Item
386;Permit;Grants access to the Nature Preserve.;A permit that is needed to enter the Nature Preserve. Not many know about it.;;Gameplay;General items;https://img.pokemondb.net/sprites/items/permit.png;Permit;Item
387;Persim Berry;Held: Consumed when confused to cure confusion.;If held by a Pokémon, it recovers from confusion.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/persim-berry.png;Persim Berry;Item
388;Petaya Berry;Held: Consumed at 1/4 max HP to boost Special Attack.;Raises Special Attack when HP is low.;holdable-active;In A Pinch;Berries;https://img.pokemondb.net/sprites/items/petaya-berry.png;Petaya Berry;Item
389;Pewter Crunchies;;Heals all major status conditions.;;Status Cures;Medicine;https://img.pokemondb.net/s.png;Pewter Crunchies;Item
390;Pidgeotite;Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.;Enables Pidgeot to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/pidgeotite.png;Pidgeotite;Item
391;Pinap Berry;Used for creating PokéBlocks and Poffins.;A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go.;;Baking Only;Berries;https://img.pokemondb.net/sprites/items/pinap-berry.png;Pinap Berry;Item
392;Pink Apricorn;Used to make a Love Ball.;A pink Apricorn. It has a nice, sweet scent.;;Apricorn Box;General items;https://img.pokemondb.net/sprites/items/pink-apricorn.png;Pink Apricorn;Item
393;Pink Nectar;Changes Oricorio to Pa’u Style.;The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.;;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/pink-nectar.png;Pink Nectar;Item
394;Pink Scarf;Raises the holder's Cuteness while in a contest.;Raises holder's Cute aspect in a Contest.;holdable-active;Scarves;General items;https://img.pokemondb.net/sprites/items/pink-scarf.png;Pink Scarf;Item
395;Pinsirite;Held: Allows Pinsir to Mega Evolve into Mega Pinsir.;Enables Pinsir to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/pinsirite.png;Pinsirite;Item
396;Pixie Plate;Held: Fairy-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fairy.;Increases power of Fairy-type moves. Changes Arceus' type to Fairy.;;Plates;Hold items;https://img.pokemondb.net/sprites/items/pixie-plate.png;Pixie Plate;Item
397;Plasma Card;Required to progress in the Plasma Frigate.;A card key needed to enter the password inside the Plasma Frigate.;;Plot Advancement;Hold items;https://img.pokemondb.net/sprites/items/plasma-card.png;Plasma Card;Item
398;Plume Fossil;Can be revived into a archen.;A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.;;Dex Completion;General items;https://img.pokemondb.net/sprites/items/plume-fossil.png;Plume Fossil;Item
399;Poison Barb;Held: Poison-Type moves from holder do 20% more damage.;Increases the power of Poison-type moves.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/poison-barb.png;Poison Barb;Item
400;Poison Gem;Held: When the holder uses a damaging poison-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Poison-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/poison-gem.png;Poison Gem;Item
401;Poison Memory;Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.;Changes Silvally and its move Multi-Attack to Poison type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/poison-memory.png;Poison Memory;Item
402;Polished Mud Ball;;;;Loot;General items;https://img.pokemondb.net/s.png;Polished Mud Ball;Item
403;Pomeg Berry;Drops HP Effort Values by 10 and raises happiness.;Increases Friendship but lowers HP EVs.;;Effort Drop;Berries;https://img.pokemondb.net/sprites/items/pomeg-berry.png;Pomeg Berry;Item
404;Potion;Restores 20 HP.;Restores 20 HP.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Healing;Medicine;https://img.pokemondb.net/sprites/items/potion.png;Potion;Item
405;Power Anklet;Held: Holder gains 4 Speed effort values, but has halved Speed in battle.;A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.;"holdable; holdable-active";Effort Training;Hold items;https://img.pokemondb.net/sprites/items/power-anklet.png;Power Anklet;Item
406;Power Band;Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle.;A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.;"holdable; holdable-active";Effort Training;Hold items;https://img.pokemondb.net/sprites/items/power-band.png;Power Band;Item
407;Power Belt;Held: Holder gains 4 Defense effort values, but has halved Speed in battle.;A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.;"holdable; holdable-active";Effort Training;Hold items;https://img.pokemondb.net/sprites/items/power-belt.png;Power Belt;Item
408;Power Bracer;Held: Holder gains 4 Attack effort values, but has halved Speed in battle.;A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.;"holdable; holdable-active";Effort Training;Hold items;https://img.pokemondb.net/sprites/items/power-bracer.png;Power Bracer;Item
409;Power Herb;Held: Both turns of a two-turn charge move happen at once. Consumed upon use.;A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/power-herb.png;Power Herb;Item
410;Power Lens;Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle.;A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.;"holdable; holdable-active";Effort Training;Hold items;https://img.pokemondb.net/sprites/items/power-lens.png;Power Lens;Item
411;Power Plant Pass;Permits entry to the Kalos Power Plant.;This pass serves as an ID card for gaining access to the power plant that lies along Route 13.;;Plot Advancement;Hold items;https://img.pokemondb.net/sprites/items/power-plant-pass.png;Power Plant Pass;Item
412;Power Weight;Held: Holder gains 4 HP effort values, but has halved Speed in battle.;A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.;"holdable; holdable-active";Effort Training;Hold items;https://img.pokemondb.net/sprites/items/power-weight.png;Power Weight;Item
413;Pp Max;Raises a move's max PP by 60%.;It maximally raises the top PP of a selected move that has been learned by the target Pokémon.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/pp-max.png;Pp Max;Item
414;Pp Up;Raises a move's max PP by 20%.;It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/pp-up.png;Pp Up;Item
415;Precooked Burger;;One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Precooked Burger;Item
416;Premier Ball;Tries to catch a wild Pokémon.;A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.;"countable; consumable; usable-in-battle; holdable";Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/premier-ball.png;Premier Ball;Item
417;Pretty Wing;Sell for 100 Pokédollars.;Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon.;;Loot;General items;https://img.pokemondb.net/sprites/items/pretty-wing.png;Pretty Wing;Item
418;Prism Scale;Traded on a Feebas: Holder evolves into Milotic.;Evolves Feebas when traded holding the item.;;Evolution;General items;https://img.pokemondb.net/sprites/items/prism-scale.png;Prism Scale;Item
419;Prison Bottle;Transforms Hoopa into its Unbound form for up to three days.;Transforms Hoopa Confined to Hoopa Unbound.;;Gameplay;Hold items;https://img.pokemondb.net/sprites/items/prison-bottle.png;Prison Bottle;Item
420;Protective Pads;Held: Prevents side effects of contact moves used on the holder.;An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/protective-pads.png;Protective Pads;Item
421;Protector;Traded on a Rhydon: Holder evolves into Rhyperior.;Evolves Rhydon when traded holding the item.;;Evolution;General items;https://img.pokemondb.net/sprites/items/protector.png;Protector;Item
422;Protein;Raises Attack effort and happiness.;Increases Attack EVs by 10.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/protein.png;Protein;Item
423;Psychic Gem;Held: When the holder uses a damaging psychic-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Psychic-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/psychic-gem.png;Psychic Gem;Item
424;Psychic Memory;Held: Changes Silvally to its Psychic form.  Changes Multi-Attack's type to Psychic.;Changes Silvally and its move Multi-Attack to Psychic type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/psychic-memory.png;Psychic Memory;Item
425;Psychic Seed;Held: Consumed on Psychic Terrain and raises the holder's Special Defense by one stage.;An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/psychic-seed.png;Psychic Seed;Item
426;Pungent Root;;One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Pungent Root;Item
427;Pure Incense;Prevents wild encounters of level lower than your party's lead Pokémon. Breeding: Chimecho begets a Chingling Egg.;Descreases the likelihood of meeting wild Pokémon. Breeding Chimecho produces Chingling when held.;holdable;Training;Hold items;https://img.pokemondb.net/sprites/items/pure-incense.png;Pure Incense;Item
428;Purple Nectar;Changes Oricorio to Sensu Style.;A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.;;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/purple-nectar.png;Purple Nectar;Item
429;Qualot Berry;Drops Defense Effort Values by 10 and raises happiness.;Increases Friendship but lowers Defense EVs.;;Effort Drop;Berries;https://img.pokemondb.net/sprites/items/qualot-berry.png;Qualot Berry;Item
430;Quick Ball;Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.;A somewhat different Poké Ball that provides a better catch rate if it is used at the start of a wild encounter.;"countable; consumable; usable-in-battle; holdable";Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/quick-ball.png;Quick Ball;Item
431;Quick Candy;;Increases a Pokémon's Speed stat by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/quick-candy.png;Quick Candy;Item
432;Quick Candy L;;Increases a Pokémon's Speed stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/quick-candy-l.png;Quick Candy L;Item
433;Quick Candy Xl;;Increases a Pokémon's Speed stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/quick-candy-xl.png;Quick Candy Xl;Item
434;Quick Claw;Held: Holder has a 3/16 (18.75%) chance to move first.;An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/quick-claw.png;Quick Claw;Item
435;Quick Powder;Doubles Ditto's Speed when held. The boost is lost after transforming.;Increases Speed when held by Ditto.;holdable;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/quick-powder.png;Quick Powder;Item
436;Quiet Mint;;Changes the Pokémon's stats to match the Quiet nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Quiet Mint;Item
437;Rabuta Berry;Used for creating PokéBlocks and Poffins.;A Berry which is very rare in the Unova region. A maniac will buy it for a high price.;;Baking Only;Berries;https://img.pokemondb.net/sprites/items/rabuta-berry.png;Rabuta Berry;Item
438;Rage Candy Bar;HS: Traded for TM64. Gen II & Gen V: Acts as a Potion.;Heals all major status conditions.;;Gameplay;Medicine;https://img.pokemondb.net/sprites/items/rage-candy-bar.png;Rage Candy Bar;Item
439;Rare Bone;Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars.;A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.;underground;Loot;General items;https://img.pokemondb.net/sprites/items/rare-bone.png;Rare Bone;Item
440;Rare Candy;Causes a level-up and raises happiness.;A candy that is packed with energy. It raises the level of a single Pokémon by one.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/rare-candy.png;Rare Candy;Item
441;Rash Mint;;Changes the Pokémon's stats to match the Rash nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Rash Mint;Item
442;Rawst Berry;Held: Consumed when burned to cure a burn.;If held by a Pokémon, it recovers from a burn.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/rawst-berry.png;Rawst Berry;Item
443;Razor Claw;Held: Raises the holder's critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.;Increases critical-hit ratio. Evolves Sneasel when held at night.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/razor-claw.png;Razor Claw;Item
444;Razor Fang;Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.;May cause opponent to flinch. Evolves Gligar when held at night.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/razor-fang.png;Razor Fang;Item
445;Razz Berry;Used for creating PokéBlocks and Poffins.;A Berry which is very rare in the Unova region. A maniac will buy it for a high price.;;Baking Only;Berries;https://img.pokemondb.net/sprites/items/razz-berry.png;Razz Berry;Item
446;Reaper Cloth;Traded on a Dusclops: Holder evolves into Dusknoir.;Evolves Dusclops when traded holding the item.;;Evolution;General items;https://img.pokemondb.net/sprites/items/reaper-cloth.png;Reaper Cloth;Item
447;Red Apricorn;Used to make a Level Ball.;A red Apricorn. It assails your nostrils.;;Apricorn Box;General items;https://img.pokemondb.net/sprites/items/red-apricorn.png;Red Apricorn;Item
448;Red Card;Held: When the holder takes damage from a move, the opponent switches out for another random party Pokémon. Consumed after use.;A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/red-card.png;Red Card;Item
449;Red Flute;Cures attraction.;A toy flute made from red glass. A maniac will buy it for a high price.;"countable; consumable; usable-in-battle; holdable";Flutes;General items;https://img.pokemondb.net/sprites/items/red-flute.png;Red Flute;Item
450;Red Nectar;Changes Oricorio to Baile Style.;A flower nectar obtained at Ula'ula Meadow. It changes the form of certain species of Pokémon.;;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/red-nectar.png;Red Nectar;Item
451;Red Scarf;Raises the holder's Coolness while in a contest.;Raises holder's Cool aspect in a Contest.;holdable-active;Scarves;General items;https://img.pokemondb.net/sprites/items/red-scarf.png;Red Scarf;Item
452;Red Shard;No effect. Can be traded for items or moves.;A small red shard. It appears to be from some sort of implement made long ago.;underground;Collectibles;General items;https://img.pokemondb.net/sprites/items/red-shard.png;Red Shard;Item
453;Relaxed Mint;;Changes the Pokémon's stats to match the Relaxed nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Relaxed Mint;Item
454;Relic Band;Sell to Villa Owner for 100000 Pokédollars.;A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/relic-band.png;Relic Band;Item
455;Relic Copper;Sell to Villa Owner for 1000 Pokédollars.;A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/relic-copper.png;Relic Copper;Item
456;Relic Crown;Sell to Villa Owner for 300000 Pokédollars.;A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/relic-crown.png;Relic Crown;Item
457;Relic Gold;Sell to Villa Owner 10000 Pokédollars.;A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/relic-gold.png;Relic Gold;Item
458;Relic Silver;Sell to Villa Owner 5000 Pokédollars.;A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/relic-silver.png;Relic Silver;Item
459;Relic Statue;Sell to Villa Owner 200000 Pokédollars.;A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/relic-statue.png;Relic Statue;Item
460;Relic Vase;Sell to Villa Owner 50000 Pokédollars.;A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/relic-vase.png;Relic Vase;Item
461;Repeat Ball;Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.;A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught.;"countable; consumable; usable-in-battle; holdable";Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/repeat-ball.png;Repeat Ball;Item
462;Repel;For 100 steps, prevents wild encounters of level lower than your party's lead Pokémon.;An item that prevents weak wild Pokémon from appearing for 100 steps after its use.;;Spelunking;General items;https://img.pokemondb.net/sprites/items/repel.png;Repel;Item
463;Reset Urge;Resets a friendly Pokémon's stat changes.;When used, it restores any stat changes of an ally Pokémon.;;Miracle Shooter;Battle items;https://img.pokemondb.net/sprites/items/reset-urge.png;Reset Urge;Item
464;Resist Wing;Increases Defense effort by 1.;Increases Defense EVs by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/resist-wing.png;Resist Wing;Item
465;Reveal Glass;Switches Tornadus, Thundurus, and Landorus between Incarnate and Therian Forme.;A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.;;Gameplay;General items;https://img.pokemondb.net/sprites/items/reveal-glass.png;Reveal Glass;Item
466;Revival Herb;Revives with full HP, but lowers happiness.;Revives a Pokémon to max HP, but lowers Friendship.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Revival;Medicine;https://img.pokemondb.net/sprites/items/revival-herb.png;Revival Herb;Item
467;Revive;Revives with half HP.;A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.;"countable; consumable; usable-overworld; usable-in-battle; holdable; underground";Revival;Medicine;https://img.pokemondb.net/sprites/items/revive.png;Revive;Item
468;Ribbon Sweet;;Evolves Milcery into Ribbon Flavor Alcremie.;;Evolution;Hold items;https://img.pokemondb.net/s.png;Ribbon Sweet;Item
469;Rindo Berry;Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.;Weakens a supereffective Grass-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/rindo-berry.png;Rindo Berry;Item
470;Ring Target;Held: Negates the holder's type immunities. Ability immunities are not removed.;Moves that would otherwise have no effect will land on the Pokémon that holds it.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/ring-target.png;Ring Target;Item
471;Rock Gem;Held: When the holder uses a damaging rock-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Rock-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/rock-gem.png;Rock Gem;Item
472;Rock Incense;Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.;Increases the power of Rock-type moves. Breeding Sudowoodo produces Bonsly when held.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/rock-incense.png;Rock Incense;Item
473;Rock Memory;Held: Changes Silvally to its Rock form.  Changes Multi-Attack's type to Rock.;Changes Silvally and its move Multi-Attack to Rock type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/rock-memory.png;Rock Memory;Item
474;Rocky Helmet;Held: When the holder is hit by a contact move, the attacking Pokémon takes 1/6 its max HP in damage.;If the holder of this item takes damage, the attacker will also be damaged upon contact.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/rocky-helmet.png;Rocky Helmet;Item
475;Roller Skates;Allows the player to move quickly and off the grid.;Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.;;Gameplay;General items;https://img.pokemondb.net/sprites/items/roller-skates.png;Roller Skates;Item
476;Room Service;;Lowers the Pokémon's speed during Trick Room.;;Held Items;Hold items;https://img.pokemondb.net/s.png;Room Service;Item
477;Root Fossil;Can be revived into a Lileep.;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.;underground;Dex Completion;General items;https://img.pokemondb.net/sprites/items/root-fossil.png;Root Fossil;Item
478;Rose Incense;Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.;Increases the power of Grass-type moves. Breeding Roselia or Roserade produces Budew when held.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/rose-incense.png;Rose Incense;Item
479;Roseli Berry;Held: Consumed when struck by a super-effective Fairy-type attack to halve the damage.;If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack.;;Type Protection;Berries;https://img.pokemondb.net/sprites/items/roseli-berry.png;Roseli Berry;Item
480;Roto Bargain;XXX new effect for roto-bargain;Reduces the prices of products at Poké Marts by half.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-bargain.png;Roto Bargain;Item
481;Roto Boost;XXX new effect for roto-boost;Raises all stats of your battling Pokémon.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-boost.png;Roto Boost;Item
482;Roto Catch;XXX new effect for roto-catch;Increases the chance to catch Pokémon a lot.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-catch.png;Roto Catch;Item
483;Roto Encounter;XXX new effect for roto-encounter;Increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-encounter.png;Roto Encounter;Item
484;Roto Exp. Points;XXX new effect for roto-exp-points;Increases the Exp. Points your Pokémon receive after battle a little.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-exp-points.png;Roto Exp. Points;Item
485;Roto Friendship;XXX new effect for roto-friendship;Helps Pokémon in your party grow friendly faster.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-friendship.png;Roto Friendship;Item
486;Roto Hatch;XXX new effect for roto-hatch;Helps Eggs hatch faster.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-hatch.png;Roto Hatch;Item
487;Roto Hp Restore;XXX new effect for roto-hp-restore;Fully restores the HP of your battling Pokémon.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-hp-restore.png;Roto Hp Restore;Item
488;Roto Pp Restore;XXX new effect for roto-pp-restore;Fully restores the PP of your battling Pokémon.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-pp-restore.png;Roto Pp Restore;Item
489;Roto Prize Money;XXX new effect for roto-prize-money;Triples the prize money you receive after battle.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-prize-money.png;Roto Prize Money;Item
490;Roto Stealth;XXX new effect for roto-stealth;Prevents you from encountering wild Pokémon for a certain period of time.;;Unused;Battle items;https://img.pokemondb.net/sprites/items/roto-stealth.png;Roto Stealth;Item
491;Rowap Berry;Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a special attack.;If held by a Pokémon and a special attack lands, the attacker also takes damage.;holdable-active;Other;Berries;https://img.pokemondb.net/sprites/items/rowap-berry.png;Rowap Berry;Item
492;Sablenite;Held: Allows Sableye to Mega Evolve into Mega Sableye.;Enables Sableye to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/sablenite.png;Sablenite;Item
493;Sachet;Traded on a Spritzee: Holder evolves into Aromatisse.;Evolves Spritzee when traded holding the item.;;Evolution;General items;https://img.pokemondb.net/sprites/items/sachet.png;Sachet;Item
494;Sacred Ash;Revives all fainted Pokémon with full HP.;It revives all fainted Pokémon. In doing so, it also fully restores their HP.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Revival;Medicine;https://img.pokemondb.net/sprites/items/sacred-ash.png;Sacred Ash;Item
495;Safari Ball;Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.;A special Poké Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern.;"countable; consumable; usable-in-battle; holdable";Standard Balls;Pokeballs;https://img.pokemondb.net/sprites/items/safari-ball.png;Safari Ball;Item
496;Safety Goggles;Held: Prevents damage from powder moves and the damage from Hail and Sandstorm.;Prevents damage from weather and powder.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/safety-goggles.png;Safety Goggles;Item
497;Salac Berry;Held: Consumed at 1/4 max HP to boost Speed.;Raises Speed when HP is low.;holdable-active;In A Pinch;Berries;https://img.pokemondb.net/sprites/items/salac-berry.png;Salac Berry;Item
498;Salad Mix;;One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Salad Mix;Item
499;Salamencite;Held: Allows Salamence to Mega Evolve into Mega Salamence.;Enables Salamence to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/salamencite.png;Salamencite;Item
500;Sassy Mint;;Changes the Pokémon's stats to match the Sassy nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Sassy Mint;Item
501;Sausages;;One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Sausages;Item
502;Sceptilite;Held: Allows Sceptile to Mega Evolve into Mega Sceptile.;Enables Sceptile to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/sceptilite.png;Sceptilite;Item
503;Scizorite;Held: Allows Scizor to Mega Evolve into Mega Scizor.;Enables Scizor to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/scizorite.png;Scizorite;Item
504;Scope Lens;Held: Raises the holder's critical hit ratio by one stage.;Increases critical-hit ratio.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/scope-lens.png;Scope Lens;Item
505;Sea Incense;Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.;Increases the power of Water-type moves. Breeding Marill or Azumarill produces Azurill when held.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/sea-incense.png;Sea Incense;Item
506;Serious Mint;;Changes the Pokémon's stats to match a neutral nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Serious Mint;Item
507;Shaderoot Carrot;;Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a gloomy field.;;Plot Advancement;General items;https://img.pokemondb.net/s.png;Shaderoot Carrot;Item
508;Shalour Sable;Cures any major status ailment and confusion.;Heals all major status conditions.;;Status Cures;Medicine;https://img.pokemondb.net/sprites/items/shalour-sable.png;Shalour Sable;Item
509;Sharp Beak;Held: Flying-Type moves from holder do 20% more damage.;Increases the power of Flying-type moves.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/sharp-beak.png;Sharp Beak;Item
510;Sharpedonite;Held: Allows Sharpedo to Mega Evolve into Mega Sharpedo.;Enables Sharpedo to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/sharpedonite.png;Sharpedonite;Item
511;Shed Shell;Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.;A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/shed-shell.png;Shed Shell;Item
512;Shell Bell;Held: Holder receives 1/8 of the damage it deals when attacking.;An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/shell-bell.png;Shell Bell;Item
