Name,Effect (alt.),Effect,Usage Attributes,Specific Category,General Category,image_url
Lax Incense,Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/lax-incense.png
Lax Mint,,Changes the Pokémon's stats to match the Lax nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Leaf Stone,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.",Evolves certain species of Pokémon.,['underground'],Evolution,General items,https://img.pokemondb.net/sprites/items/leaf-stone.png
Leftovers,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/leftovers.png
Lemonade,Restores 80 HP.,Restores 70 HP.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Healing,Medicine,https://img.pokemondb.net/sprites/items/lemonade.png
Leppa Berry,Held: Consumed when a move runs out of PP to restore its PP by 10.,"If held by a Pokémon, it restores a move's PP by 10.",['holdable-active'],Medicine,Berries,https://img.pokemondb.net/sprites/items/leppa-berry.png
Level Ball,Success rate based off of fraction target Pokémon is of user's Pokémon. Made from Red Apricorn.,A Poké Ball for catching Pokémon that are a lower level than your own.,,Apricorn Balls,Pokeballs,https://img.pokemondb.net/sprites/items/level-ball.png
Liechi Berry,Held: Consumed at 1/4 max HP to boost Attack.,Raises Attack when HP is low.,['holdable-active'],In A Pinch,Berries,https://img.pokemondb.net/sprites/items/liechi-berry.png
Life Orb,"Held: Holder's moves inflict 30% extra damage, but cost 10% max HP.","Increases the power of moves, but loses HP each turn.","['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/life-orb.png
Light Ball,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.,['holdable'],Species Specific,Hold items,https://img.pokemondb.net/sprites/items/light-ball.png
Light Clay,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,"['holdable', 'holdable-active', 'underground']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/light-clay.png
Lone Earring,,,,Loot,General items,https://img.pokemondb.net/s.png
Lonely Mint,,Changes the Pokémon's stats to match the Lonely nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Looker Ticket,Advances the Looker postgame plot.,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/looker-ticket.png
Lopunnite,Held: Allows Lopunny to Mega Evolve into Mega Lopunny.,Enables Lopunny to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/lopunnite.png
Love Ball,"8× effectiveness on opposite sex, same species targets of the Active Pokémon. Made from Pnk Apricorn.",Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.,,Apricorn Balls,Pokeballs,https://img.pokemondb.net/sprites/items/love-ball.png
Love Sweet,,Evolves Milcery into Heart Flavor Alcremie.,,Evolution,Hold items,https://img.pokemondb.net/s.png
Lucarionite,Held: Allows Lucario to Mega Evolve into Mega Lucario.,Enables Lucario to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/lucarionite.png
Luck Incense,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.,"['holdable', 'holdable-active']",Training,Hold items,https://img.pokemondb.net/sprites/items/luck-incense.png
Lucky Egg,Held: Increases EXP earned in battle by 50%.,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.,"['holdable', 'holdable-active']",Training,Hold items,https://img.pokemondb.net/sprites/items/lucky-egg.png
Lucky Punch,Raises Chansey's critical hit ratio by two stages.,Increases critical-hit ratio when held by Chansey.,['holdable'],Species Specific,Hold items,https://img.pokemondb.net/sprites/items/lucky-punch.png
Lum Berry,Held: Consumed to cure any status condition or confusion.,"If held by a Pokémon, it recovers from any status problem.",['holdable-active'],Medicine,Berries,https://img.pokemondb.net/sprites/items/lum-berry.png
Luminous Moss,"Held: If the holder is hit by a damaging Water move, raises its Special Defense by one stage.",Raises Special Defense if hit by a Water-type move.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/luminous-moss.png
Lumiose Galette,Cures all major status ailments and confusion.,Heals all major status conditions.,,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/lumiose-galette.png
Lure,,Attracts Pokémon in the wild.,,Spelunking,General items,https://img.pokemondb.net/s.png
Lure Ball,3× effectiveness while fishing. Made from Blu Apricorn.,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,,Apricorn Balls,Pokeballs,https://img.pokemondb.net/sprites/items/lure-ball.png
Lustrous Orb,Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.,Increases the power of Dragon- and Water-type moves when held by Palkia.,['holdable'],Species Specific,Hold items,https://img.pokemondb.net/sprites/items/lustrous-orb.png
Luxury Ball,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.,A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/luxury-ball.png
Macho Brace,"Held: Holder gains double effort values from battles, but has halved Speed in battle.",An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.,"['holdable', 'holdable-active']",Effort Training,Hold items,https://img.pokemondb.net/sprites/items/macho-brace.png
Magmarizer,Traded on a Magmar: Holder evolves into Magmortar.,Evolves Magmar when traded holding the item.,,Evolution,General items,https://img.pokemondb.net/sprites/items/magmarizer.png
Magnet,Held: Electric-Type moves from holder do 20% more damage.,Increases the power of Electric-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/magnet.png
Mago Berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.,"Restores HP if it's low, but may cause confusion.",['holdable-active'],Picky Healing,Berries,https://img.pokemondb.net/sprites/items/mago-berry.png
Magost Berry,Used for creating PokéBlocks and Poffins.,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,,Baking Only,Berries,https://img.pokemondb.net/sprites/items/magost-berry.png
Manectite,Held: Allows Manectric to Mega Evolve into Mega Manectric.,Enables Manectric to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/manectite.png
Maranga Berry,"Held: When the holder is hit by a special move, increases its Special Defense by one stage.","If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move.",,Other,Berries,https://img.pokemondb.net/sprites/items/maranga-berry.png
Marble,,,,Loot,General items,https://img.pokemondb.net/s.png
Master Ball,Catches a wild Pokémon every time.,The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Standard Balls,Pokeballs,https://img.pokemondb.net/sprites/items/master-ball.png
Mawilite,Held: Allows Mawile to Mega Evolve into Mega Mawile.,Enables Mawile to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/mawilite.png
Max Elixir,Restores PP to full for each move.,It fully restores the PP of all the moves learned by the targeted Pokémon.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Pp Recovery,Medicine,https://img.pokemondb.net/sprites/items/max-elixir.png
Max Ether,Restores PP to full for one move.,It fully restores the PP of a single selected move that has been learned by the target Pokémon.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Pp Recovery,Medicine,https://img.pokemondb.net/sprites/items/max-ether.png
Max Honey,,,,Revival,General items,https://img.pokemondb.net/s.png
Max Lure,,Attracts Pokémon in the wild.,,Spelunking,General items,https://img.pokemondb.net/s.png
Max Mushrooms,,,,Stat Boosts,General items,https://img.pokemondb.net/s.png
Max Potion,Restores HP to full.,Fully restores HP.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Healing,Medicine,https://img.pokemondb.net/sprites/items/max-potion.png
Max Repel,"For 250 steps, prevents wild encounters of level lower than your party's lead Pokémon.",An item that prevents weak wild Pokémon from appearing for 250 steps after its use.,,Spelunking,General items,https://img.pokemondb.net/sprites/items/max-repel.png
Max Revive,Revives with full HP.,A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable', 'underground']",Revival,Medicine,https://img.pokemondb.net/sprites/items/max-revive.png
Meadow Plate,Held: Grass-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Grass.,Increases power of Grass-type moves. Changes Arceus' type to Grass.,"['holdable', 'holdable-active', 'underground']",Plates,Hold items,https://img.pokemondb.net/sprites/items/meadow-plate.png
Medichamite,Held: Allows Medicham to Mega Evolve into Mega Medicham.,Enables Medicham to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/medichamite.png
Mental Herb,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body.",An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/mental-herb.png
Metagrossite,Held: Allows Metagross to Mega Evolve into Mega Metagross.,Enables Metagross to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/metagrossite.png
Metal Coat,Held: Steel-Type moves from holder do 20% more damage.,Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/metal-coat.png
Metal Powder,Raises Ditto's Defense and Special Defense by 50%. The boost is lost after transforming.,Increases Defense when held by Ditto.,['holdable'],Species Specific,Hold items,https://img.pokemondb.net/sprites/items/metal-powder.png
Metronome,Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.,Increases the power of moves used consecutively.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/metronome.png
Mewtwonite X,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo X.,Enables Mewtwo to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/mewtwonite-x.png
Mewtwonite Y,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo Y.,Enables Mewtwo to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/mewtwonite-y.png
Micle Berry,Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy),Increases a move's accuracy when HP is low.,['holdable-active'],In A Pinch,Berries,https://img.pokemondb.net/sprites/items/micle-berry.png
Mighty Candy,,Increases a Pokémon's Attack stat by 1.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/mighty-candy.png
Mighty Candy L,,Increases a Pokémon's Attack stat.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/mighty-candy-l.png
Mighty Candy Xl,,Increases a Pokémon's Attack stat.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/mighty-candy-xl.png
Mild Mint,,Changes the Pokémon's stats to match the Mild nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Mind Plate,Held: Psychic-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Psychic.,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.,"['holdable', 'holdable-active', 'underground']",Plates,Hold items,https://img.pokemondb.net/sprites/items/mind-plate.png
Miracle Seed,Held: Grass-Type moves from holder do 20% more damage.,Increases the power of Grass-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/miracle-seed.png
Misty Seed,Held: Consumed on Misty Terrain and raises the holder's Special Defense by one stage.,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/misty-seed.png
Mixed Mushrooms,,One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they’re added to.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Modest Mint,,Changes the Pokémon's stats to match the Modest nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Moomoo Cheese,,One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Moomoo Milk,Restores 100 HP.,Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Healing,Medicine,https://img.pokemondb.net/sprites/items/moomoo-milk.png
Moon Ball,4× effectiveness on familes of Pokémon with a Moon Stone evolution. Made from Ylw Apricorn.,A Poké Ball for catching Pokémon that evolve using the Moon Stone.,,Apricorn Balls,Pokeballs,https://img.pokemondb.net/sprites/items/moon-ball.png
Moon Stone,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty.",Evolves certain species of Pokémon.,['underground'],Evolution,General items,https://img.pokemondb.net/sprites/items/moon-stone.png
Muscle Band,Held: Boosts the damage of physical moves used by the holder by 10%.,Increases the power of Physical-category moves.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/muscle-band.png
Muscle Wing,Increases Attack effort by 1.,Increases Attack EVs by 1.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/muscle-wing.png
Mystic Water,Held: Water-Type moves from holder do 20% more damage.,Increases the power of Water-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/mystic-water.png
Naive Mint,,Changes the Pokémon's stats to match the Naive nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Nanab Berry,Used for creating PokéBlocks and Poffins.,"A Berry to be used in cooking. Calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",,Baking Only,Berries,https://img.pokemondb.net/sprites/items/nanab-berry.png
Naughty Mint,,Changes the Pokémon's stats to match the Naughty nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Nest Ball,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.",A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/nest-ball.png
Net Ball,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.,A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/net-ball.png
Never Melt Ice,Held: Ice-Type moves from holder do 20% more damage.,Increases the power of Ice-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/never-melt-ice.png
Nomel Berry,Used for creating PokéBlocks and Poffins.,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,,Baking Only,Berries,https://img.pokemondb.net/sprites/items/nomel-berry.png
Normal Gem,"Held: When the holder uses a damaging normal-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Normal-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/normal-gem.png
Nugget,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars.",A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.,,Loot,General items,https://img.pokemondb.net/sprites/items/nugget.png
Occa Berry,Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.,Weakens a supereffective Fire-type attack against the holding Pokémon.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/occa-berry.png
Odd Incense,Held: Psychic-Type moves from holder do 20% more damage. Breeding: Mr. Mime begets a Mime Jr. Egg.,Increases the power of Psychic-type moves. Breeding Mr. Mime produces Mime Jr. when held.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/odd-incense.png
Odd Keystone,Use on the tower on Route 209 to encounter Spiritomb if you have at least 32 Underground greetings.,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.,['underground'],Dex Completion,General items,https://img.pokemondb.net/sprites/items/odd-keystone.png
Old Amber,Can be revived into an Aerodactyl.,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.,['underground'],Dex Completion,General items,https://img.pokemondb.net/sprites/items/old-amber.png
Old Gateau,Cures any status ailment and confusion.,Heals all major status conditions.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Medicine,https://img.pokemondb.net/sprites/items/old-gateau.png
Oran Berry,Held: Consumed at 1/2 max HP to recover 10 HP.,"If held by a Pokémon, it heals the user by just 10 HP.",['holdable-active'],Medicine,Berries,https://img.pokemondb.net/sprites/items/oran-berry.png
Oval Charm,Doubles the chance of two Pokémon producing an egg at the daycare every 255 steps.,An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.,,Gameplay,General items,https://img.pokemondb.net/sprites/items/oval-charm.png
Oval Stone,Level-up during Day on a Happiny: Holder evolves into Chansey.,Evolves Happiny when held.,['underground'],Evolution,General items,https://img.pokemondb.net/sprites/items/oval-stone.png
Pack Of Potatoes,,"One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild.",,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Packaged Curry,,One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Pamtre Berry,Used for creating PokéBlocks and Poffins.,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,,Baking Only,Berries,https://img.pokemondb.net/sprites/items/pamtre-berry.png
Paralyze Heal,Cures paralysis.,A spray-type medicine. It eliminates paralysis from a single Pokémon.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Medicine,https://img.pokemondb.net/sprites/items/paralyze-heal.png
Park Ball,Catches Pokémon in the Pal Park every time.,A special Poké Ball for the Pal Park.,,Standard Balls,Pokeballs,https://img.pokemondb.net/sprites/items/park-ball.png
Pass Orb,Activates Pass Powers.,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power.",,Held Items,Hold items,https://img.pokemondb.net/sprites/items/pass-orb.png
Passho Berry,Held: Consumed when struck by a super-effective Water-type attack to halve the damage.,Weakens a supereffective Water-type attack against the holding Pokémon.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/passho-berry.png
Pasta,,One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Payapa Berry,Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.,Weakens a supereffective Psychic-type attack against the holding Pokémon.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/payapa-berry.png
Pearl,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars.",A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.,,Loot,General items,https://img.pokemondb.net/sprites/items/pearl.png
Pearl String,Sell to Ore Collector for 25000 Pokédollars.,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.,,Loot,General items,https://img.pokemondb.net/sprites/items/pearl-string.png
Pecha Berry,Held: Consumed when poisoned to cure poison.,"If held by a Pokémon, it recovers from poison.",['holdable-active'],Medicine,Berries,https://img.pokemondb.net/sprites/items/pecha-berry.png
Permit,Grants access to the Nature Preserve.,A permit that is needed to enter the Nature Preserve. Not many know about it.,,Gameplay,General items,https://img.pokemondb.net/sprites/items/permit.png
Persim Berry,Held: Consumed when confused to cure confusion.,"If held by a Pokémon, it recovers from confusion.",['holdable-active'],Medicine,Berries,https://img.pokemondb.net/sprites/items/persim-berry.png
Petaya Berry,Held: Consumed at 1/4 max HP to boost Special Attack.,Raises Special Attack when HP is low.,['holdable-active'],In A Pinch,Berries,https://img.pokemondb.net/sprites/items/petaya-berry.png
Pewter Crunchies,,Heals all major status conditions.,,Status Cures,Medicine,https://img.pokemondb.net/s.png
Pidgeotite,Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.,Enables Pidgeot to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/pidgeotite.png
Pinap Berry,Used for creating PokéBlocks and Poffins.,"A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go.",,Baking Only,Berries,https://img.pokemondb.net/sprites/items/pinap-berry.png
Pink Apricorn,Used to make a Love Ball.,"A pink Apricorn. It has a nice, sweet scent.",,Apricorn Box,General items,https://img.pokemondb.net/sprites/items/pink-apricorn.png
Pink Nectar,Changes Oricorio to Pa’u Style.,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.,,Species Specific,Hold items,https://img.pokemondb.net/sprites/items/pink-nectar.png
Pink Scarf,Raises the holder's Cuteness while in a contest.,Raises holder's Cute aspect in a Contest.,['holdable-active'],Scarves,General items,https://img.pokemondb.net/sprites/items/pink-scarf.png
Pinsirite,Held: Allows Pinsir to Mega Evolve into Mega Pinsir.,Enables Pinsir to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/pinsirite.png
Pixie Plate,Held: Fairy-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fairy.,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.,,Plates,Hold items,https://img.pokemondb.net/sprites/items/pixie-plate.png
Plasma Card,Required to progress in the Plasma Frigate.,A card key needed to enter the password inside the Plasma Frigate.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/plasma-card.png
Plume Fossil,Can be revived into a archen.,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.,,Dex Completion,General items,https://img.pokemondb.net/sprites/items/plume-fossil.png
Poison Barb,Held: Poison-Type moves from holder do 20% more damage.,Increases the power of Poison-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/poison-barb.png
Poison Gem,"Held: When the holder uses a damaging poison-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Poison-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/poison-gem.png
Poison Memory,Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.,Changes Silvally and its move Multi-Attack to Poison type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/poison-memory.png
Polished Mud Ball,,,,Loot,General items,https://img.pokemondb.net/s.png
Pomeg Berry,Drops HP Effort Values by 10 and raises happiness.,Increases Friendship but lowers HP EVs.,,Effort Drop,Berries,https://img.pokemondb.net/sprites/items/pomeg-berry.png
Potion,Restores 20 HP.,Restores 20 HP.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Healing,Medicine,https://img.pokemondb.net/sprites/items/potion.png
Power Anklet,"Held: Holder gains 4 Speed effort values, but has halved Speed in battle.","A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.","['holdable', 'holdable-active']",Effort Training,Hold items,https://img.pokemondb.net/sprites/items/power-anklet.png
Power Band,"Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle.","A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.","['holdable', 'holdable-active']",Effort Training,Hold items,https://img.pokemondb.net/sprites/items/power-band.png
Power Belt,"Held: Holder gains 4 Defense effort values, but has halved Speed in battle.","A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.","['holdable', 'holdable-active']",Effort Training,Hold items,https://img.pokemondb.net/sprites/items/power-belt.png
Power Bracer,"Held: Holder gains 4 Attack effort values, but has halved Speed in battle.","A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.","['holdable', 'holdable-active']",Effort Training,Hold items,https://img.pokemondb.net/sprites/items/power-bracer.png
Power Herb,Held: Both turns of a two-turn charge move happen at once. Consumed upon use.,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/power-herb.png
Power Lens,"Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle.","A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.","['holdable', 'holdable-active']",Effort Training,Hold items,https://img.pokemondb.net/sprites/items/power-lens.png
Power Plant Pass,Permits entry to the Kalos Power Plant.,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/power-plant-pass.png
Power Weight,"Held: Holder gains 4 HP effort values, but has halved Speed in battle.","A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.","['holdable', 'holdable-active']",Effort Training,Hold items,https://img.pokemondb.net/sprites/items/power-weight.png
Pp Max,Raises a move's max PP by 60%.,It maximally raises the top PP of a selected move that has been learned by the target Pokémon.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Medicine,https://img.pokemondb.net/sprites/items/pp-max.png
Pp Up,Raises a move's max PP by 20%.,It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Medicine,https://img.pokemondb.net/sprites/items/pp-up.png
Precooked Burger,,"One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger.",,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Premier Ball,Tries to catch a wild Pokémon.,A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/premier-ball.png
Pretty Wing,Sell for 100 Pokédollars.,"Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon.",,Loot,General items,https://img.pokemondb.net/sprites/items/pretty-wing.png
Prism Scale,Traded on a Feebas: Holder evolves into Milotic.,Evolves Feebas when traded holding the item.,,Evolution,General items,https://img.pokemondb.net/sprites/items/prism-scale.png
Prison Bottle,Transforms Hoopa into its Unbound form for up to three days.,Transforms Hoopa Confined to Hoopa Unbound.,,Gameplay,Hold items,https://img.pokemondb.net/sprites/items/prison-bottle.png
Protective Pads,Held: Prevents side effects of contact moves used on the holder.,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/protective-pads.png
Protector,Traded on a Rhydon: Holder evolves into Rhyperior.,Evolves Rhydon when traded holding the item.,,Evolution,General items,https://img.pokemondb.net/sprites/items/protector.png
Protein,Raises Attack effort and happiness.,Increases Attack EVs by 10.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Medicine,https://img.pokemondb.net/sprites/items/protein.png
Psychic Gem,"Held: When the holder uses a damaging psychic-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Psychic-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/psychic-gem.png
