Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%),Pokemon
Adamant,92/252/76/0/0/84,0.239%,Lucario
Adamant,4/252/0/0/0/252,0.225%,Lucario
Hardy,252/0/4/0/0/252,0.112%,Lucario
Adamant,0/240/12/0/0/252,0.103%,Lucario
Jolly,0/252/4/0/0/252,0.073%,Lucario
Modest,180/0/0/252/0/76,0.061%,Lucario
Hardy,4/252/0/0/0/252,0.055%,Lucario
Sassy,252/0/4/0/252/0,0.031%,Lucario
Jolly,0/252/0/0/4/156,0.028%,Lucario
Hasty,0/252/0/4/0/252,0.022%,Lucario
Brave,204/132/0/0/172/0,38.922%,Mudsdale
Brave,252/220/0/0/36/0,33.184%,Mudsdale
Sassy,252/0/4/0/252/0,14.976%,Mudsdale
Adamant,252/252/0/0/4/0,4.735%,Mudsdale
Brave,252/176/76/0/0/0,3.450%,Mudsdale
Brave,204/244/0/0/60/0,1.467%,Mudsdale
Brave,188/204/0/0/116/0,1.027%,Mudsdale
Adamant,252/4/252/0/0/0,0.951%,Mudsdale
Relaxed,252/4/252/0/0/0,0.438%,Mudsdale
Careful,100/128/148/0/128/0,0.358%,Mudsdale
Relaxed,140/252/28/0/84/0,0.305%,Mudsdale
Careful,196/132/0/0/180/0,0.062%,Mudsdale
Sassy,0/188/68/0/252/0,0.044%,Mudsdale
Hardy,252/252/0/0/4/0,0.018%,Mudsdale
Brave,252/252/0/0/4/0,0.015%,Mudsdale
Sassy,68/88/156/0/196/0,0.015%,Mudsdale
Careful,36/248/60/0/164/0,0.014%,Mudsdale
Sassy,0/4/252/0/252/0,0.006%,Mudsdale
Impish,252/4/252/0/0/0,0.003%,Mudsdale
Adamant,252/148/0/0/108/0,0.003%,Mudsdale
Timid,252/4/0/0/0/252,24.900%,Cherrim
Modest,76/0/4/252/4/172,23.219%,Cherrim
Timid,252/0/0/4/0/252,9.929%,Cherrim
Hasty,0/252/0/4/0/252,9.274%,Cherrim
Jolly,4/252/0/0/0/252,4.609%,Cherrim
Jolly,0/252/0/0/4/252,4.594%,Cherrim
Adamant,0/200/100/0/100/108,4.292%,Cherrim
Timid,252/0/4/4/44/204,3.550%,Cherrim
Hasty,252/4/0/0/0/252,3.074%,Cherrim
Impish,252/0/252/0/4/0,2.216%,Cherrim
Hardy,252/164/0/0/92/0,1.820%,Cherrim
Quiet,252/0/4/252/0/0,1.160%,Cherrim
Brave,252/252/4/0/0/0,0.925%,Cherrim
Jolly,252/4/0/0/0/252,0.741%,Cherrim
Timid,0/0/0/252/4/252,0.711%,Cherrim
Hardy,252/0/0/0/124/132,0.674%,Cherrim
Timid,252/0/0/0/4/252,0.600%,Cherrim
Impish,212/4/180/0/60/52,0.563%,Cherrim
Quiet,252/0/0/252/4/0,0.441%,Cherrim
Modest,252/0/0/252/0/4,0.357%,Cherrim
Quiet,252/0/36/148/68/0,82.447%,Exeggutor
Timid,212/0/36/4/4/252,8.942%,Exeggutor
Modest,0/0/0/220/220/68,4.871%,Exeggutor
Jolly,212/4/4/0/36/252,3.421%,Exeggutor
Timid,0/0/0/252/4/252,0.183%,Exeggutor
Timid,36/0/4/252/4/212,0.112%,Exeggutor
Quiet,4/0/0/252/252/0,0.017%,Exeggutor
Modest,4/0/0/252/0/252,0.005%,Exeggutor
Quiet,252/0/0/252/4/0,0.001%,Exeggutor
Timid,60/0/0/196/0/252,0.000%,Exeggutor
Relaxed,172/0/84/0/252/0,0.000%,Exeggutor
Relaxed,252/4/252/0/0/0,0.000%,Exeggutor
Quiet,252/0/0/252/0/0,0.000%,Exeggutor
Relaxed,0/0/252/0/252/0,0.000%,Exeggutor
Quiet,252/0/0/4/252/0,0.000%,Exeggutor
Modest,108/0/148/252/0/0,0.000%,Exeggutor
Bold,136/0/252/28/92/0,0.000%,Exeggutor
Relaxed,252/0/4/252/0/0,0.000%,Exeggutor
Hardy,4/0/0/252/0/252,0.000%,Exeggutor
Modest,132/0/0/252/4/120,0.000%,Exeggutor
Impish,252/0/100/0/64/92,61.366%,Altaria
Jolly,244/4/4/0/4/252,26.090%,Altaria
Calm,252/0/124/4/36/92,4.955%,Altaria
Timid,4/0/132/0/120/252,2.574%,Altaria
Impish,252/0/148/0/16/92,2.042%,Altaria
Calm,252/0/220/0/36/0,1.480%,Altaria
Timid,4/0/4/244/4/252,1.104%,Altaria
Calm,252/0/0/4/252/0,0.184%,Altaria
Modest,0/0/0/252/4/252,0.142%,Altaria
Timid,252/0/4/0/0/252,0.057%,Altaria
Timid,0/0/124/8/125/252,0.002%,Altaria
Modest,252/0/0/252/0/4,0.001%,Altaria
Timid,0/0/0/252/4/252,0.001%,Altaria
Bold,100/0/148/100/156/0,0.001%,Altaria
Hardy,0/252/0/0/0/252,0.000%,Altaria
Calm,180/0/76/0/252/0,0.000%,Altaria
Careful,252/0/52/0/204/0,0.000%,Altaria
Mild,0/4/0/252/0/252,0.000%,Altaria
Adamant,124/132/124/0/0/124,0.000%,Altaria
Calm,88/0/68/8/92/252,0.000%,Altaria
Bold,252/0/148/0/108/0,34.744%,Klefki
Bold,252/0/252/0/4/0,16.065%,Klefki
Bold,252/0/124/0/0/132,14.903%,Klefki
Bold,252/0/252/4/0/0,12.772%,Klefki
Bold,252/0/204/0/52/0,7.986%,Klefki
Impish,252/0/124/0/128/0,3.954%,Klefki
Impish,252/4/204/0/36/12,3.598%,Klefki
Calm,252/0/0/0/240/16,1.733%,Klefki
Bold,252/0/244/0/12/0,1.042%,Klefki
Modest,236/0/68/156/44/4,1.033%,Klefki
Bold,252/0/124/0/92/36,0.850%,Klefki
Calm,252/0/4/0/252/0,0.242%,Klefki
Calm,252/0/0/0/252/4,0.231%,Klefki
Careful,252/0/148/0/108/0,0.206%,Klefki
Bold,252/0/100/52/100/0,0.178%,Klefki
Calm,252/0/124/0/132/0,0.173%,Klefki
Calm,252/0/116/0/136/0,0.065%,Klefki
Bold,252/0/164/0/92/0,0.045%,Klefki
Bold,124/0/140/0/116/124,0.035%,Klefki
Careful,252/0/4/0/252/0,0.032%,Klefki
Timid,252/0/0/0/4/252,26.437%,Froslass
Hardy,252/0/0/4/0/252,23.631%,Froslass
Jolly,252/0/4/0/0/252,22.812%,Froslass
Timid,252/0/0/4/0/252,21.430%,Froslass
Jolly,252/0/0/0/4/252,2.548%,Froslass
Hardy,4/0/252/0/252/0,0.806%,Froslass
Timid,252/0/52/0/52/148,0.548%,Froslass
Hasty,252/4/0/0/0/252,0.479%,Froslass
Jolly,4/252/0/0/0/252,0.444%,Froslass
Timid,0/0/0/252/4/252,0.331%,Froslass
Modest,4/0/0/252/0/252,0.205%,Froslass
Hasty,0/252/0/4/0/252,0.196%,Froslass
Mild,4/0/0/252/0/252,0.100%,Froslass
Timid,252/0/52/0/56/148,0.021%,Froslass
Jolly,0/252/4/0/0/252,0.008%,Froslass
Jolly,196/60/0/0/0/252,0.002%,Froslass
Hasty,0/4/0/252/0/252,0.001%,Froslass
Timid,4/0/0/252/0/252,0.001%,Froslass
Hardy,0/252/0/0/0/252,0.000%,Froslass
Jolly,0/0/4/0/252/252,0.000%,Froslass
Impish,252/0/100/0/156/0,50.345%,Gigalith
Impish,244/0/236/0/28/0,30.233%,Gigalith
Relaxed,252/0/252/0/4/0,12.349%,Gigalith
Adamant,244/252/0/0/12/0,1.357%,Gigalith
Adamant,252/252/0/0/4/0,1.295%,Gigalith
Relaxed,4/0/252/0/252/0,0.973%,Gigalith
Adamant,252/252/4/0/0/0,0.817%,Gigalith
Adamant,160/204/140/0/0/0,0.685%,Gigalith
Careful,252/0/252/0/4/0,0.649%,Gigalith
Brave,252/252/0/0/4/0,0.553%,Gigalith
Brave,252/0/4/0/252/0,0.268%,Gigalith
Brave,252/252/4/0/0/0,0.200%,Gigalith
Impish,252/0/252/0/0/0,0.163%,Gigalith
Brave,244/252/0/0/12/0,0.037%,Gigalith
Brave,252/148/0/0/108/0,0.018%,Gigalith
Relaxed,148/0/252/0/108/0,0.017%,Gigalith
Sassy,252/4/0/0/252/0,0.011%,Gigalith
Careful,252/4/0/0/252/0,0.008%,Gigalith
Brave,0/252/252/0/4/0,0.007%,Gigalith
Impish,4/0/252/0/252/0,0.005%,Gigalith
Quiet,252/0/0/252/4/0,26.183%,Jellicent
Calm,252/0/0/4/252/0,15.842%,Jellicent
Quiet,124/0/100/252/32/0,14.852%,Jellicent
Relaxed,252/0/156/0/100/0,8.118%,Jellicent
Relaxed,252/0/252/4/0/0,8.003%,Jellicent
Quiet,124/0/132/252/0/0,7.598%,Jellicent
Relaxed,252/0/188/68/0/0,6.320%,Jellicent
Relaxed,252/0/164/0/92/0,3.874%,Jellicent
Relaxed,252/0/4/252/0/0,2.657%,Jellicent
Modest,252/0/0/252/4/0,1.064%,Jellicent
Quiet,204/0/52/252/0/0,1.027%,Jellicent
Impish,252/0/252/0/4/0,0.920%,Jellicent
Quiet,252/0/132/124/0/0,0.766%,Jellicent
Sassy,252/0/60/0/196/0,0.706%,Jellicent
Modest,204/0/36/252/4/12,0.493%,Jellicent
Sassy,252/0/252/0/4/0,0.455%,Jellicent
Calm,252/0/252/4/0/0,0.318%,Jellicent
Relaxed,244/0/228/0/36/0,0.206%,Jellicent
Relaxed,252/0/252/0/4/0,0.180%,Jellicent
Quiet,4/0/0/252/252/0,0.118%,Jellicent
Adamant,252/252/0/0/4/0,19.730%,Riolu
Jolly,252/0/0/0/4/252,16.883%,Riolu
Jolly,252/4/0/0/0/252,14.030%,Riolu
Careful,236/0/0/0/68/204,10.424%,Riolu
Jolly,4/252/0/0/0/252,7.864%,Riolu
Timid,252/0/4/0/0/252,5.405%,Riolu
Modest,0/0/0/252/0/252,4.926%,Riolu
Careful,252/4/0/0/252/0,4.330%,Riolu
Sassy,0/0/252/0/252/0,2.559%,Riolu
Hardy,0/248/0/0/0/252,2.510%,Riolu
Sassy,252/0/0/0/252/0,2.092%,Riolu
Careful,196/252/28/0/28/0,1.862%,Riolu
Jolly,252/4/12/0/44/196,1.412%,Riolu
Calm,252/0/4/0/252/0,1.270%,Riolu
Jolly,0/252/4/0/0/252,1.157%,Riolu
Impish,252/0/252/0/4/0,0.873%,Riolu
Jolly,0/252/0/0/4/252,0.363%,Riolu
Adamant,252/4/0/0/0/252,0.353%,Riolu
Jolly,0/252/0/0/0/252,0.343%,Riolu
Careful,252/0/252/0/4/0,0.327%,Riolu
Calm,204/0/92/0/212/0,31.428%,Mandibuzz
Jolly,0/252/0/0/4/252,29.069%,Mandibuzz
Bold,252/0/60/4/188/4,24.522%,Mandibuzz
Jolly,4/252/0/0/0/252,8.328%,Mandibuzz
Impish,0/0/252/0/252/0,4.727%,Mandibuzz
Bold,164/0/100/0/244/0,1.000%,Mandibuzz
Impish,252/0/156/0/0/100,0.333%,Mandibuzz
Impish,248/0/252/0/8/0,0.212%,Mandibuzz
Bold,252/0/92/0/144/20,0.167%,Mandibuzz
Bold,252/0/60/4/128/64,0.059%,Mandibuzz
Careful,252/0/116/0/140/0,0.056%,Mandibuzz
Calm,252/0/4/0/252/0,0.038%,Mandibuzz
Impish,164/4/156/0/84/100,0.028%,Mandibuzz
Calm,252/0/0/0/252/4,0.006%,Mandibuzz
Jolly,0/252/0/0/0/252,0.006%,Mandibuzz
Bold,252/0/116/0/140/0,0.004%,Mandibuzz
Bold,252/0/124/4/76/52,0.004%,Mandibuzz
Bold,204/0/196/0/108/0,0.004%,Mandibuzz
Bold,252/0/252/4/0/0,0.004%,Mandibuzz
Adamant,252/252/0/0/0/0,0.002%,Mandibuzz
Adamant,252/252/0/0/4/0,68.260%,Lurantis
Brave,252/116/140/0/0/0,14.495%,Lurantis
Brave,244/252/0/0/12/0,4.889%,Lurantis
Relaxed,252/0/76/0/180/0,3.377%,Lurantis
Naughty,0/212/0/188/0/108,2.552%,Lurantis
Adamant,252/228/0/0/0/28,2.367%,Lurantis
Adamant,252/156/0/0/100/0,1.747%,Lurantis
Brave,252/64/100/0/92/0,0.620%,Lurantis
Brave,252/196/60/0/0/0,0.449%,Lurantis
Adamant,220/252/0/0/0/36,0.318%,Lurantis
Adamant,108/156/0/0/0/244,0.317%,Lurantis
Adamant,252/188/20/0/12/36,0.185%,Lurantis
Jolly,108/228/4/0/60/108,0.142%,Lurantis
Brave,244/252/12/0/0/0,0.131%,Lurantis
Adamant,252/252/0/0/0/0,0.080%,Lurantis
Sassy,252/0/4/0/252/0,0.030%,Lurantis
Sassy,252/4/0/0/252/0,0.013%,Lurantis
Adamant,116/252/0/0/4/132,0.011%,Lurantis
Adamant,100/252/0/0/0/156,0.007%,Lurantis
Brave,248/252/0/8/0/0,0.006%,Lurantis
Timid,252/0/4/0/0/252,39.912%,Latias
Timid,252/0/12/4/60/180,21.517%,Latias
Bold,252/0/252/0/4/0,13.149%,Latias
Timid,252/0/0/212/0/44,7.871%,Latias
Modest,252/0/100/76/4/76,7.649%,Latias
Timid,252/0/0/4/0/252,4.152%,Latias
Timid,252/0/0/0/4/252,2.085%,Latias
Hardy,164/0/108/68/164/0,1.470%,Latias
Modest,252/0/36/76/4/140,0.483%,Latias
Timid,0/0/4/252/0/252,0.481%,Latias
Calm,252/0/0/4/252/0,0.425%,Latias
Modest,252/0/0/252/4/0,0.171%,Latias
Jolly,252/4/0/0/0/252,0.140%,Latias
Timid,252/0/52/4/0/196,0.113%,Latias
Timid,212/0/44/0/0/252,0.111%,Latias
Timid,28/0/228/0/0/252,0.056%,Latias
Relaxed,216/0/252/0/40/0,0.045%,Latias
Timid,252/0/0/76/0/180,0.042%,Latias
Careful,252/0/0/0/4/252,0.034%,Latias
Timid,0/0/0/252/4/252,0.031%,Latias
Quiet,252/0/0/252/4/0,38.289%,Alolan Exeggutor
Sassy,124/0/196/0/188/0,26.299%,Alolan Exeggutor
Sassy,252/0/4/0/252/0,9.884%,Alolan Exeggutor
Brave,252/252/0/0/4/0,7.878%,Alolan Exeggutor
Sassy,252/0/100/0/156/0,5.630%,Alolan Exeggutor
Sassy,252/0/116/0/140/0,5.352%,Alolan Exeggutor
Sassy,252/0/60/0/196/0,1.577%,Alolan Exeggutor
Quiet,252/0/4/252/0/0,1.438%,Alolan Exeggutor
Sassy,252/12/84/4/156/0,1.057%,Alolan Exeggutor
Quiet,236/0/0/252/20/0,0.796%,Alolan Exeggutor
Relaxed,252/0/36/0/220/0,0.566%,Alolan Exeggutor
Relaxed,252/0/252/0/4/0,0.547%,Alolan Exeggutor
Modest,252/0/0/252/0/4,0.395%,Alolan Exeggutor
Sassy,252/0/92/0/164/0,0.218%,Alolan Exeggutor
Modest,4/0/0/252/0/252,0.034%,Alolan Exeggutor
Sassy,252/12/84/36/124/0,0.014%,Alolan Exeggutor
Sassy,252/0/84/0/172/0,0.008%,Alolan Exeggutor
Hardy,44/76/60/148/80/100,0.005%,Alolan Exeggutor
Adamant,252/252/0/0/4/0,0.003%,Alolan Exeggutor
Sassy,252/4/4/4/244/0,0.003%,Alolan Exeggutor
Adamant,0/252/0/0/4/252,41.472%,Dragonite
Adamant,108/252/36/0/12/100,9.916%,Dragonite
Adamant,212/44/0/0/0/252,8.690%,Dragonite
Adamant,0/140/116/0/0/252,7.783%,Dragonite
Adamant,4/252/0/0/0/252,7.011%,Dragonite
Adamant,100/252/0/0/0/156,6.899%,Dragonite
Careful,196/12/132/0/12/156,4.089%,Dragonite
Adamant,52/252/4/0/4/196,2.497%,Dragonite
Modest,4/0/0/252/0/252,2.192%,Dragonite
Modest,252/0/0/252/0/4,1.526%,Dragonite
Adamant,252/252/0/0/4/0,1.297%,Dragonite
Modest,4/0/124/252/124/0,1.282%,Dragonite
Jolly,0/252/0/0/4/252,1.033%,Dragonite
Adamant,4/252/4/0/4/244,0.973%,Dragonite
Timid,108/0/0/252/4/144,0.544%,Dragonite
Adamant,108/252/0/0/0/148,0.486%,Dragonite
Adamant,252/252/0/0/0/4,0.294%,Dragonite
Jolly,0/248/0/0/4/252,0.293%,Dragonite
Adamant,252/252/4/0/0/0,0.270%,Dragonite
Modest,252/0/0/252/4/0,0.263%,Dragonite
Jolly,84/252/4/0/4/164,40.662%,Darmanitan Standard Mode
Jolly,28/220/36/0/4/220,31.306%,Darmanitan Standard Mode
Jolly,4/252/0/0/0/252,14.798%,Darmanitan Standard Mode
Adamant,0/252/0/0/4/252,9.630%,Darmanitan Standard Mode
Jolly,244/0/12/0/0/252,2.064%,Darmanitan Standard Mode
Adamant,0/252/0/0/0/252,1.125%,Darmanitan Standard Mode
Adamant,252/252/0/0/0/4,0.214%,Darmanitan Standard Mode
Gentle,156/0/132/0/0/220,0.097%,Darmanitan Standard Mode
Jolly,0/252/0/0/4/252,0.048%,Darmanitan Standard Mode
Careful,252/0/4/0/252/0,0.043%,Darmanitan Standard Mode
Jolly,92/252/0/0/0/164,0.007%,Darmanitan Standard Mode
Jolly,252/0/4/0/0/252,0.004%,Darmanitan Standard Mode
Hardy,124/100/116/0/0/164,0.001%,Darmanitan Standard Mode
Jolly,0/0/0/0/0/252,0.001%,Darmanitan Standard Mode
Naughty,105/140/52/30/55/123,0.001%,Darmanitan Standard Mode
Adamant,4/252/0/0/0/252,0.000%,Darmanitan Standard Mode
Adamant,8/100/164/0/0/236,0.000%,Darmanitan Standard Mode
Hardy,0/252/0/0/0/252,0.000%,Darmanitan Standard Mode
Jolly,252/4/0/0/0/252,0.000%,Darmanitan Standard Mode
Brave,0/4/252/0/252/0,0.000%,Darmanitan Standard Mode
Calm,252/0/0/4/252/0,38.536%,Cradily
Relaxed,252/0/148/0/108/0,15.137%,Cradily
Quiet,252/0/4/252/0/0,11.969%,Cradily
Modest,252/0/0/252/4/0,4.941%,Cradily
Modest,212/0/84/212/0/0,4.743%,Cradily
Bold,252/0/252/0/4/0,4.628%,Cradily
Modest,252/0/108/116/28/0,4.030%,Cradily
Quiet,124/4/100/148/132/0,3.780%,Cradily
Modest,252/0/4/252/0/0,3.759%,Cradily
Careful,252/4/0/0/252/0,2.705%,Cradily
Careful,252/0/252/0/4/0,1.593%,Cradily
Sassy,252/0/132/16/108/0,0.841%,Cradily
Calm,252/0/4/0/252/0,0.597%,Cradily
Hardy,252/0/252/0/4/0,0.483%,Cradily
Modest,252/0/20/228/4/4,0.437%,Cradily
Bold,252/0/4/0/252/0,0.316%,Cradily
Hardy,252/8/0/68/180/0,0.301%,Cradily
Careful,252/0/4/0/252/0,0.275%,Cradily
Modest,0/0/252/4/252/0,0.223%,Cradily
Quiet,116/0/116/252/20/0,0.172%,Cradily
Jolly,0/252/0/0/4/252,44.854%,Obstagoon
Jolly,4/252/0/0/0/252,28.810%,Obstagoon
Jolly,180/140/4/0/20/164,12.048%,Obstagoon
Jolly,12/236/4/0/4/252,9.128%,Obstagoon
Adamant,4/252/0/0/0/252,3.403%,Obstagoon
Timid,4/0/0/0/252/252,0.867%,Obstagoon
Impish,252/220/36/0/0/0,0.298%,Obstagoon
Adamant,0/252/0/0/4/252,0.225%,Obstagoon
Jolly,252/0/0/0/28/228,0.097%,Obstagoon
Hardy,4/252/0/0/0/252,0.090%,Obstagoon
Jolly,0/252/0/0/6/252,0.070%,Obstagoon
Careful,4/0/252/0/252/0,0.070%,Obstagoon
Jolly,252/28/0/0/0/228,0.011%,Obstagoon
Jolly,4/244/0/0/8/252,0.007%,Obstagoon
Adamant,164/252/4/0/28/60,0.005%,Obstagoon
Jolly,244/12/0/0/0/252,0.004%,Obstagoon
Jolly,252/0/0/0/20/236,0.003%,Obstagoon
Hardy,252/252/0/0/0/0,0.002%,Obstagoon
Jolly,0/252/0/0/76/180,0.002%,Obstagoon
Impish,180/148/140/0/4/36,0.001%,Obstagoon
Sassy,252/0/164/0/92/0,33.600%,Scrafty
Careful,252/0/0/0/220/36,19.644%,Scrafty
Brave,252/252/0/4/0/0,18.938%,Scrafty
Careful,148/4/172/0/180/4,6.050%,Scrafty
Careful,252/0/4/0/252/0,3.792%,Scrafty
Relaxed,252/0/76/0/180/0,3.780%,Scrafty
Impish,252/0/68/0/188/0,3.244%,Scrafty
Brave,252/252/0/0/4/0,2.740%,Scrafty
Careful,252/4/0/0/252/0,1.570%,Scrafty
Impish,252/0/220/0/36/0,1.409%,Scrafty
Adamant,196/172/36/0/76/28,1.367%,Scrafty
Adamant,252/252/0/0/4/0,1.191%,Scrafty
Impish,252/0/180/0/76/0,0.903%,Scrafty
Sassy,252/220/0/0/36/0,0.675%,Scrafty
Sassy,252/0/100/0/156/0,0.339%,Scrafty
Impish,252/4/172/0/36/44,0.150%,Scrafty
Sassy,252/0/220/0/36/0,0.150%,Scrafty
Adamant,0/252/4/0/0/252,0.081%,Scrafty
Adamant,252/252/0/0/0/4,0.080%,Scrafty
Careful,4/0/252/0/252/0,0.050%,Scrafty
Jolly,4/252/0/0/0/252,79.065%,Aerodactyl
Timid,252/0/4/0/0/252,6.641%,Aerodactyl
Adamant,0/252/0/0/4/252,6.230%,Aerodactyl
Jolly,0/252/0/0/4/252,2.738%,Aerodactyl
Adamant,20/252/0/0/0/236,2.348%,Aerodactyl
Naive,4/252/0/0/0/252,1.208%,Aerodactyl
Jolly,0/252/4/0/0/252,0.857%,Aerodactyl
Adamant,124/132/0/0/0/252,0.414%,Aerodactyl
Adamant,4/252/0/0/0/252,0.302%,Aerodactyl
Jolly,0/252/0/0/0/252,0.093%,Aerodactyl
Calm,0/0/132/0/124/252,0.054%,Aerodactyl
Hardy,4/252/0/0/0/252,0.025%,Aerodactyl
Jolly,20/236/0/0/0/252,0.011%,Aerodactyl
Jolly,0/0/4/0/252/252,0.006%,Aerodactyl
Jolly,252/0/0/0/4/252,0.005%,Aerodactyl
Lonely,0/252/0/4/0/252,0.002%,Aerodactyl
Hardy,0/252/0/0/0/252,0.000%,Aerodactyl
Adamant,0/252/0/0/0/252,0.000%,Aerodactyl
Jolly,116/252/0/0/0/140,0.000%,Aerodactyl
Jolly,108/188/0/0/0/212,0.000%,Aerodactyl
Jolly,28/252/4/0/4/220,61.146%,Kabutops
Adamant,0/252/0/0/4/252,12.364%,Kabutops
Adamant,81/252/0/0/0/175,7.999%,Kabutops
Naive,0/252/0/4/0/252,7.083%,Kabutops
Jolly,0/252/0/0/4/252,5.036%,Kabutops
Jolly,4/252/0/0/0/252,1.795%,Kabutops
Jolly,20/252/0/0/0/236,1.302%,Kabutops
Adamant,4/252/0/0/0/252,1.298%,Kabutops
Naive,0/164/0/4/88/252,1.279%,Kabutops
Jolly,0/252/4/0/0/252,0.224%,Kabutops
Adamant,116/252/0/0/0/140,0.157%,Kabutops
Hardy,0/248/236/0/0/0,0.086%,Kabutops
Adamant,36/252/0/0/0/220,0.065%,Kabutops
Adamant,0/252/116/0/0/140,0.035%,Kabutops
Adamant,252/252/0/0/0/4,0.029%,Kabutops
Hardy,128/252/0/0/0/128,0.023%,Kabutops
Adamant,0/252/4/0/0/252,0.020%,Kabutops
Jolly,0/252/0/0/0/252,0.018%,Kabutops
Adamant,0/252/252/0/4/0,0.012%,Kabutops
Naughty,0/252/4/0/0/252,0.008%,Kabutops
Timid,4/0/0/252/0/252,42.714%,Articuno
Calm,76/0/180/0/252/0,29.028%,Articuno
Timid,0/0/0/252/4/252,13.078%,Articuno
Modest,252/0/0/252/0/4,10.766%,Articuno
Modest,0/0/4/252/0/252,3.108%,Articuno
Modest,0/0/0/252/4/252,0.446%,Articuno
Modest,4/0/0/252/0/252,0.353%,Articuno
Timid,0/0/4/252/0/252,0.116%,Articuno
Modest,252/0/0/252/4/0,0.086%,Articuno
Calm,252/0/188/36/28/0,0.076%,Articuno
Timid,4/252/0/0/0/252,0.075%,Articuno
Timid,28/0/0/228/0/252,0.072%,Articuno
Bold,252/0/252/0/4/0,0.039%,Articuno
Calm,252/0/0/4/252/0,0.036%,Articuno
Sassy,252/0/0/4/252/0,0.005%,Articuno
Bold,0/0/252/0/252/0,0.001%,Articuno
Calm,100/0/4/132/252/20,0.000%,Articuno
Modest,188/0/0/252/0/68,0.000%,Articuno
Hardy,252/0/4/0/0/252,0.000%,Articuno
Hardy,92/196/52/52/4/108,0.000%,Articuno
Timid,0/0/0/252/4/252,54.271%,Blacephalon
Modest,4/0/0/252/0/252,15.502%,Blacephalon
Modest,0/0/4/252/0/252,15.296%,Blacephalon
Timid,4/0/0/252/0/252,11.651%,Blacephalon
Modest,0/0/0/252/0/252,1.418%,Blacephalon
Modest,60/0/20/252/4/172,1.215%,Blacephalon
Modest,124/0/36/164/12/172,0.242%,Blacephalon
Modest,0/0/0/252/4/252,0.230%,Blacephalon
Timid,4/0/4/244/4/252,0.058%,Blacephalon
Modest,170/0/0/252/0/86,0.046%,Blacephalon
Mild,4/0/0/252/0/252,0.037%,Blacephalon
Hardy,4/0/0/252/0/252,0.026%,Blacephalon
Timid,240/0/0/16/0/252,0.003%,Blacephalon
Modest,76/0/0/252/4/176,0.002%,Blacephalon
Hardy,0/0/228/28/0/252,0.001%,Blacephalon
Timid,68/0/0/252/0/188,0.001%,Blacephalon
Timid,28/0/0/252/0/228,0.000%,Blacephalon
Modest,60/0/4/252/4/188,0.000%,Blacephalon
Timid,76/0/44/252/0/132,0.000%,Blacephalon
Modest,156/0/148/204/0/0,0.000%,Blacephalon
Modest,4/0/0/252/0/252,29.621%,Duraludon
Modest,252/0/0/252/0/4,15.868%,Duraludon
Calm,0/0/0/252/252/4,12.922%,Duraludon
Modest,116/0/4/156/156/76,11.060%,Duraludon
Modest,252/0/0/252/4/0,8.008%,Duraludon
Timid,0/0/0/252/4/252,4.764%,Duraludon
Bold,0/0/252/84/172/0,3.208%,Duraludon
Modest,188/0/0/252/70/0,2.942%,Duraludon
Hardy,252/0/0/124/132/0,2.529%,Duraludon
Modest,0/0/0/252/4/252,1.927%,Duraludon
Modest,0/0/0/252/156/100,1.412%,Duraludon
Timid,4/0/0/252/0/252,1.201%,Duraludon
Modest,0/0/68/252/68/116,0.972%,Duraludon
Modest,244/0/0/252/0/12,0.450%,Duraludon
Timid,1/0/0/252/4/252,0.410%,Duraludon
Modest,108/0/4/244/52/100,0.386%,Duraludon
Naive,0/4/0/252/0/252,0.340%,Duraludon
Modest,172/0/0/252/0/84,0.242%,Duraludon
Timid,252/0/0/124/132/0,0.227%,Duraludon
Hardy,124/0/0/252/132/0,0.221%,Duraludon
Sassy,252/156/100/0/0/0,92.417%,Trevenant
Sassy,252/68/0/0/188/0,3.179%,Trevenant
Careful,244/0/12/0/252/0,1.778%,Trevenant
Adamant,252/252/0/0/4/0,1.550%,Trevenant
Adamant,244/252/0/0/12/0,0.327%,Trevenant
Brave,252/252/4/0/0/0,0.304%,Trevenant
Sassy,252/20/0/0/236/0,0.145%,Trevenant
Sassy,244/0/12/0/252/0,0.108%,Trevenant
Sassy,244/12/0/0/252/0,0.089%,Trevenant
Careful,252/0/124/0/132/0,0.049%,Trevenant
Impish,244/0/108/0/156/0,0.031%,Trevenant
Sassy,252/4/0/0/252/0,0.012%,Trevenant
Careful,140/160/0/0/208/0,0.006%,Trevenant
Sassy,252/0/148/0/108/0,0.003%,Trevenant
Brave,252/0/172/0/84/0,0.001%,Trevenant
Sassy,252/0/156/0/100/0,0.001%,Trevenant
Brave,0/4/252/0/252/0,0.000%,Trevenant
Brave,252/236/0/0/20/0,0.000%,Trevenant
Relaxed,252/4/252/0/0/0,0.000%,Trevenant
Hardy,0/200/76/80/80/68,0.000%,Trevenant
Jolly,0/252/0/0/0/252,84.698%,Drednaw
Adamant,0/252/0/0/4/252,9.023%,Drednaw
Adamant,4/252/0/0/0/252,4.418%,Drednaw
Adamant,116/252/0/0/0/140,1.353%,Drednaw
Jolly,0/252/0/0/4/252,0.348%,Drednaw
Jolly,4/252/0/0/0/252,0.044%,Drednaw
Adamant,148/252/0/0/0/108,0.043%,Drednaw
Adamant,60/252/4/0/4/188,0.038%,Drednaw
