,Pokemon,Move,Type,Use_Percentage (%)
1211,Slowbro,Hydro Pump,water,70.102%
1212,Slowbro,Mud Shot,ground,70.091%
1213,Slowbro,Yawn,normal,27.775%
1214,Slowbro,Body Press,fighting,25.692%
1215,Slowbro,Iron Defense,steel,25.560%
1216,Slowbro,Protect,normal,23.582%
1217,Slowbro,Other,,12.641%
1218,Giratina-Origin,Shadow Sneak,ghost,95.597%
1219,Giratina-Origin,Protect,normal,89.460%
1220,Giratina-Origin,Shadow Force,ghost,85.557%
1221,Giratina-Origin,Poltergeist,ghost,82.311%
1222,Giratina-Origin,Draco Meteor,dragon,6.134%
1223,Giratina-Origin,Dragon Claw,dragon,5.866%
1224,Giratina-Origin,Phantom Force,ghost,5.760%
1225,Giratina-Origin,Iron Head,steel,5.116%
1226,Giratina-Origin,Dual Wingbeat,flying,4.607%
1227,Giratina-Origin,Other,,19.593%
1228,Toxapex,Recover,normal,99.921%
1229,Toxapex,Scald,water,99.846%
1230,Toxapex,Toxic,poison,99.726%
1231,Toxapex,Baneful Bunker,poison,98.869%
1232,Toxapex,Other,,1.638%
1233,Raikou,Thunderbolt,electric,55.702%
1234,Raikou,Bulldoze,ground,53.102%
1235,Raikou,Reflect,psychic,47.943%
1236,Raikou,Light Screen,psychic,44.365%
1237,Raikou,Thunder Wave,electric,43.625%
1238,Raikou,Thunder,electric,30.286%
1239,Raikou,Eerie Impulse,electric,29.587%
1240,Raikou,Rain Dance,water,29.453%
1241,Raikou,Snarl,dark,22.824%
1242,Raikou,Volt Switch,electric,16.775%
1243,Raikou,Rising Voltage,electric,13.807%
1244,Raikou,Other,,12.529%
1245,Pelipper,Hurricane,flying,95.722%
1246,Pelipper,Scald,water,94.045%
1247,Pelipper,Protect,normal,92.099%
1248,Pelipper,Tailwind,flying,78.914%
1249,Pelipper,Wide Guard,rock,20.130%
1250,Pelipper,Other,,19.090%
1251,Weezing-Galar,Protect,normal,98.182%
1252,Weezing-Galar,Will-O-Wisp,fire,93.353%
1253,Weezing-Galar,Strange Steam,fairy,72.417%
1254,Weezing-Galar,Substitute,normal,69.009%
1255,Weezing-Galar,Taunt,dark,28.552%
1256,Weezing-Galar,Sludge Bomb,poison,27.757%
1257,Weezing-Galar,Other,,10.731%
1258,Kingler,Crabhammer,water,88.500%
1259,Kingler,Wide Guard,rock,61.137%
1260,Kingler,Ally Switch,psychic,59.192%
1261,Kingler,High Horsepower,ground,42.267%
1262,Kingler,Knock Off,dark,41.406%
1263,Kingler,Rock Slide,rock,35.939%
1264,Kingler,Protect,normal,34.467%
1265,Kingler,Brick Break,fighting,23.397%
1266,Kingler,Other,,13.694%
1267,Oranguru,Trick Room,psychic,94.086%
1268,Oranguru,Instruct,psychic,90.762%
1269,Oranguru,Ally Switch,psychic,77.416%
1270,Oranguru,Expanding Force,psychic,54.489%
1271,Oranguru,Foul Play,dark,20.003%
1272,Oranguru,Brutal Swing,dark,19.036%
1273,Oranguru,Yawn,normal,13.558%
1274,Oranguru,Psychic,psychic,7.485%
1275,Oranguru,Protect,normal,5.918%
1276,Oranguru,Other,,17.246%
1277,Nihilego,Sludge Bomb,poison,87.910%
1278,Nihilego,Power Gem,rock,87.349%
1279,Nihilego,Protect,normal,79.896%
1280,Nihilego,Grass Knot,grass,74.485%
1281,Nihilego,Meteor Beam,rock,23.500%
1282,Nihilego,Trick Room,psychic,17.683%
1283,Nihilego,Acid Spray,poison,6.687%
1284,Nihilego,Ally Switch,psychic,6.418%
1285,Nihilego,Other,,16.072%
1286,Togedemaru,Nuzzle,electric,96.414%
1287,Togedemaru,Spiky Shield,grass,59.403%
1288,Togedemaru,Reflect,psychic,55.960%
1289,Togedemaru,Fling,dark,55.960%
1290,Togedemaru,Iron Head,steel,35.248%
1291,Togedemaru,Zing Zap,electric,30.734%
1292,Togedemaru,Volt Switch,electric,28.301%
1293,Togedemaru,Fake Out,normal,17.459%
1294,Togedemaru,Helping Hand,normal,7.865%
1295,Togedemaru,Other,,12.657%
1296,Gyarados,Waterfall,water,99.407%
1297,Gyarados,Bounce,flying,72.574%
1298,Gyarados,Power Whip,grass,72.523%
1299,Gyarados,Protect,normal,36.337%
1300,Gyarados,Lash Out,dark,34.019%
1301,Gyarados,Icy Wind,ice,21.906%
1302,Gyarados,Taunt,dark,21.789%
1303,Gyarados,Crunch,dark,16.509%
1304,Gyarados,Earthquake,ground,9.243%
1305,Gyarados,Other,,15.693%
1306,Garchomp,Earthquake,ground,85.835%
1307,Garchomp,Rock Slide,rock,82.668%
1308,Garchomp,Protect,normal,78.372%
1309,Garchomp,Outrage,dragon,54.128%
1310,Garchomp,Dragon Claw,dragon,21.875%
1311,Garchomp,Swords Dance,normal,18.215%
1312,Garchomp,,,12.300%
1313,Garchomp,Brick Break,fighting,9.384%
1314,Garchomp,Stomping Tantrum,ground,7.269%
1315,Garchomp,Iron Head,steel,7.054%
1316,Garchomp,Body Slam,normal,6.150%
1317,Garchomp,Other,,16.749%
1318,Heliolisk,Weather Ball,normal,83.581%
1319,Heliolisk,Electroweb,electric,79.314%
1320,Heliolisk,Thunder,electric,77.345%
1321,Heliolisk,Glare,normal,76.717%
1322,Heliolisk,Thunderbolt,electric,11.739%
1323,Heliolisk,Solar Beam,grass,9.887%
1324,Heliolisk,Ally Switch,psychic,9.186%
1325,Heliolisk,Volt Switch,electric,8.061%
1326,Heliolisk,Electrify,electric,6.646%
1327,Heliolisk,Rising Voltage,electric,5.446%
1328,Heliolisk,Hyper Beam,normal,4.885%
1329,Heliolisk,Dragon Pulse,dragon,4.689%
1330,Heliolisk,Protect,normal,3.302%
1331,Heliolisk,Other,,19.202%
1332,Tapu Bulu,Wood Hammer,grass,98.698%
1333,Tapu Bulu,Protect,normal,95.512%
1334,Tapu Bulu,High Horsepower,ground,89.954%
1335,Tapu Bulu,Taunt,dark,51.843%
1336,Tapu Bulu,Horn Leech,grass,32.325%
1337,Tapu Bulu,Stone Edge,rock,9.070%
1338,Tapu Bulu,Leech Seed,grass,8.532%
1339,Tapu Bulu,Other,,14.066%
1340,Kangaskhan,Fake Out,normal,99.887%
1341,Kangaskhan,Sucker Punch,dark,98.244%
1342,Kangaskhan,Facade,normal,69.465%
1343,Kangaskhan,Fling,dark,68.999%
1344,Kangaskhan,Double-Edge,normal,13.369%
1345,Kangaskhan,Giga Impact,normal,9.842%
1346,Kangaskhan,Shadow Claw,ghost,9.842%
1347,Kangaskhan,Earthquake,ground,6.087%
1348,Kangaskhan,Ice Punch,ice,6.015%
1349,Kangaskhan,Other,,18.250%
1350,Moltres,Hurricane,flying,99.632%
1351,Moltres,Protect,normal,70.513%
1352,Moltres,Heat Wave,fire,51.684%
1353,Moltres,Weather Ball,normal,51.643%
1354,Moltres,Solar Beam,grass,29.069%
1355,Moltres,Fire Blast,fire,28.799%
1356,Moltres,Substitute,normal,28.799%
1357,Moltres,Burn Up,fire,18.863%
1358,Moltres,Will-O-Wisp,fire,9.800%
1359,Moltres,Other,,11.197%
1360,Krookodile,Earthquake,ground,64.961%
1361,Krookodile,Protect,normal,55.764%
1362,Krookodile,Rock Slide,rock,54.858%
1363,Krookodile,Power Trip,dark,43.976%
1364,Krookodile,Brutal Swing,dark,41.955%
1365,Krookodile,High Horsepower,ground,30.971%
1366,Krookodile,Snarl,dark,29.799%
1367,Krookodile,Foul Play,dark,29.338%
1368,Krookodile,Darkest Lariat,dark,25.322%
1369,Krookodile,Facade,normal,7.096%
1370,Krookodile,Other,,15.961%
1371,Drifblim,Tailwind,flying,99.749%
1372,Drifblim,Will-O-Wisp,fire,95.559%
1373,Drifblim,Weather Ball,normal,92.090%
1374,Drifblim,Sunny Day,fire,92.090%
1375,Drifblim,Shadow Ball,ghost,6.399%
1376,Drifblim,Other,,14.112%
1377,Excadrill,Iron Head,steel,97.594%
1378,Excadrill,Rock Slide,rock,87.735%
1379,Excadrill,Protect,normal,52.241%
1380,Excadrill,Earthquake,ground,51.834%
1381,Excadrill,High Horsepower,ground,50.366%
1382,Excadrill,Brick Break,fighting,33.477%
1383,Excadrill,Horn Drill,normal,9.172%
1384,Excadrill,Other,,17.580%
1385,Primarina,Moonblast,fairy,85.870%
1386,Primarina,Hyper Voice,normal,78.479%
1387,Primarina,Water Pledge,water,67.558%
1388,Primarina,Life Dew,water,58.569%
1389,Primarina,Protect,normal,25.828%
1390,Primarina,Energy Ball,grass,14.182%
1391,Primarina,Round,normal,11.005%
1392,Primarina,Ice Beam,ice,10.837%
1393,Primarina,Hyper Beam,normal,9.831%
1394,Primarina,Flip Turn,water,9.243%
1395,Primarina,Perish Song,normal,8.880%
1396,Primarina,Other,,19.718%
1397,Shiftry,Sucker Punch,dark,78.223%
1398,Shiftry,Fake Out,normal,73.333%
1399,Shiftry,Solar Blade,grass,68.495%
1400,Shiftry,Throat Chop,dark,68.177%
1401,Shiftry,Leaf Blade,grass,26.859%
1402,Shiftry,Rock Slide,rock,26.575%
1403,Shiftry,Bounce,flying,17.267%
1404,Shiftry,Foul Play,dark,17.150%
1405,Shiftry,Air Slash,flying,9.359%
1406,Shiftry,Other,,14.561%
1407,Chandelure,Heat Wave,fire,85.717%
1408,Chandelure,Shadow Ball,ghost,83.892%
1409,Chandelure,Trick Room,psychic,73.539%
1410,Chandelure,Imprison,psychic,61.233%
1411,Chandelure,Protect,normal,31.680%
1412,Chandelure,Ally Switch,psychic,31.462%
1413,Chandelure,Energy Ball,grass,10.810%
1414,Chandelure,Overheat,fire,9.951%
1415,Chandelure,Other,,11.715%
1416,Toxicroak,Foul Play,dark,95.490%
1417,Toxicroak,Fake Out,normal,90.086%
1418,Toxicroak,Brick Break,fighting,85.023%
1419,Toxicroak,Feint,normal,85.010%
1420,Toxicroak,Drain Punch,fighting,12.247%
1421,Toxicroak,Poison Jab,poison,11.245%
1422,Toxicroak,Protect,normal,7.983%
1423,Toxicroak,Other,,12.916%
1424,Dracozolt,Bolt Beak,electric,99.987%
1425,Dracozolt,Protect,normal,77.202%
1426,Dracozolt,Fire Fang,fire,39.850%
1427,Dracozolt,Bulldoze,ground,37.996%
1428,Dracozolt,Outrage,dragon,35.972%
1429,Dracozolt,Aerial Ace,flying,29.688%
1430,Dracozolt,High Horsepower,ground,23.592%
1431,Dracozolt,Brutal Swing,dark,19.264%
1432,Dracozolt,Breaking Swipe,dragon,15.355%
1433,Dracozolt,Dragon Claw,dragon,9.287%
1434,Dracozolt,Other,,11.806%
1435,Sceptile,Grass Pledge,grass,81.233%
1436,Sceptile,Leaf Storm,grass,78.914%
1437,Sceptile,Leer,normal,70.496%
1438,Sceptile,Endeavor,normal,50.382%
1439,Sceptile,Focus Blast,fighting,20.226%
1440,Sceptile,Dragon Pulse,dragon,15.512%
1441,Sceptile,Protect,normal,12.192%
1442,Sceptile,Low Sweep,fighting,12.142%
1443,Sceptile,Energy Ball,grass,9.565%
1444,Sceptile,Leaf Blade,grass,7.619%
1445,Sceptile,Bulldoze,ground,6.854%
1446,Sceptile,Giga Drain,grass,5.021%
1447,Sceptile,Screech,normal,4.869%
1448,Sceptile,Fling,dark,4.587%
1449,Sceptile,Earthquake,ground,3.346%
1450,Sceptile,Other,,17.044%
1451,Pincurchin,Rising Voltage,electric,84.385%
1452,Pincurchin,Sucker Punch,dark,61.556%
1453,Pincurchin,Protect,normal,59.938%
1454,Pincurchin,Scald,water,44.706%
1455,Pincurchin,Venoshock,poison,36.416%
1456,Pincurchin,Hex,ghost,36.398%
1457,Pincurchin,Hydro Pump,water,24.024%
1458,Pincurchin,Zing Zap,electric,15.669%
1459,Pincurchin,Reversal,fighting,13.358%
1460,Pincurchin,Substitute,normal,12.912%
1461,Pincurchin,Other,,10.637%
1462,Aegislash,King's Shield,,98.243%
1463,Aegislash,Shadow Sneak,ghost,67.253%
1464,Aegislash,Shadow Ball,ghost,61.221%
1465,Aegislash,Flash Cannon,steel,57.482%
1466,Aegislash,Wide Guard,rock,33.461%
1467,Aegislash,Iron Head,steel,26.540%
1468,Aegislash,Swords Dance,normal,21.000%
1469,Aegislash,Substitute,normal,10.040%
1470,Aegislash,Sacred Sword,fighting,6.292%
1471,Aegislash,Other,,18.468%
1472,Centiskorch,Flare Blitz,fire,94.147%
1473,Centiskorch,Power Whip,grass,93.600%
1474,Centiskorch,Leech Life,bug,86.706%
1475,Centiskorch,Protect,normal,53.474%
1476,Centiskorch,Coil,poison,48.199%
1477,Centiskorch,Crunch,dark,9.381%
1478,Centiskorch,Other,,14.494%
1479,Greedent,Belly Drum,normal,99.812%
1480,Greedent,Facade,normal,99.693%
1481,Greedent,Earthquake,ground,87.034%
1482,Greedent,Gyro Ball,steel,86.833%
1483,Greedent,Protect,normal,12.887%
1484,Greedent,Other,,13.742%
1485,Porygon-Z,Hyper Beam,normal,90.706%
1486,Porygon-Z,Tri Attack,normal,53.847%
1487,Porygon-Z,Dark Pulse,dark,45.551%
1488,Porygon-Z,Protect,normal,45.254%
1489,Porygon-Z,Trick Room,psychic,41.094%
1490,Porygon-Z,Thunder,electric,36.405%
1491,Porygon-Z,Guard Swap,psychic,32.360%
1492,Porygon-Z,Blizzard,ice,13.382%
1493,Porygon-Z,Foul Play,dark,13.299%
1494,Porygon-Z,Thunderbolt,electric,10.480%
1495,Porygon-Z,Other,,17.622%
1496,Butterfree,Sleep Powder,grass,96.230%
1497,Butterfree,Rage Powder,bug,81.326%
1498,Butterfree,Pollen Puff,bug,79.360%
1499,Butterfree,Tailwind,flying,66.780%
1500,Butterfree,Hurricane,flying,24.625%
1501,Butterfree,Protect,normal,16.718%
1502,Butterfree,Bug Buzz,bug,14.291%
1503,Butterfree,Quiver Dance,bug,5.125%
1504,Butterfree,Other,,15.545%
1505,Lucario,Aura Sphere,fighting,77.572%
1506,Lucario,Steel Beam,steel,75.212%
1507,Lucario,Bulldoze,ground,73.229%
1508,Lucario,Rock Tomb,rock,73.229%
1509,Lucario,Protect,normal,16.667%
1510,Lucario,Bullet Punch,steel,15.779%
1511,Lucario,Close Combat,fighting,14.788%
1512,Lucario,Meteor Mash,steel,13.165%
1513,Lucario,Extreme Speed,normal,8.009%
1514,Lucario,Earthquake,ground,6.962%
1515,Lucario,Drain Punch,fighting,5.532%
1516,Lucario,Other,,19.856%
1517,Mudsdale,High Horsepower,ground,98.622%
1518,Mudsdale,Rock Slide,rock,59.216%
1519,Mudsdale,Body Press,fighting,52.708%
1520,Mudsdale,Iron Head,steel,49.988%
1521,Mudsdale,Heavy Slam,steel,43.846%
1522,Mudsdale,Close Combat,fighting,42.491%
1523,Mudsdale,Protect,normal,39.933%
1524,Mudsdale,Other,,13.196%
1525,Cherrim,Helping Hand,normal,91.494%
1526,Cherrim,Pollen Puff,bug,82.623%
1527,Cherrim,Protect,normal,74.909%
1528,Cherrim,Petal Blizzard,grass,35.447%
1529,Cherrim,Solar Blade,grass,31.603%
1530,Cherrim,Energy Ball,grass,24.574%
1531,Cherrim,Heal Pulse,psychic,10.812%
1532,Cherrim,Safeguard,normal,9.596%
1533,Cherrim,Grass Knot,grass,9.419%
1534,Cherrim,Sunny Day,fire,7.301%
1535,Cherrim,Leech Seed,grass,4.862%
1536,Cherrim,Other,,17.361%
1537,Exeggutor,Skill Swap,psychic,94.994%
1538,Exeggutor,Protect,normal,94.922%
1539,Exeggutor,Leech Seed,grass,82.452%
1540,Exeggutor,Energy Ball,grass,82.448%
1541,Exeggutor,Hypnosis,psychic,12.363%
1542,Exeggutor,Giga Drain,grass,9.123%
1543,Exeggutor,Expanding Force,psychic,5.188%
1544,Exeggutor,Other,,18.510%
1545,Altaria,Tailwind,flying,99.835%
1546,Altaria,Breaking Swipe,dragon,64.512%
1547,Altaria,Haze,ice,61.551%
1548,Altaria,Dual Wingbeat,flying,61.366%
1549,Altaria,Protect,normal,36.205%
1550,Altaria,Safeguard,normal,28.664%
1551,Altaria,Bulldoze,ground,26.147%
1552,Altaria,Draco Meteor,dragon,7.671%
1553,Altaria,Other,,14.049%
1554,Klefki,Thunder Wave,electric,92.238%
1555,Klefki,Reflect,psychic,78.803%
1556,Klefki,Light Screen,psychic,78.689%
1557,Klefki,Sunny Day,fire,39.137%
1558,Klefki,Foul Play,dark,24.454%
1559,Klefki,Rain Dance,water,18.753%
1560,Klefki,Dazzling Gleam,fairy,16.839%
1561,Klefki,Safeguard,normal,15.124%
1562,Klefki,Play Rough,fairy,7.758%
1563,Klefki,Protect,normal,7.055%
1564,Klefki,Switcheroo,dark,6.156%
1565,Klefki,Other,,14.995%
1566,Froslass,Ally Switch,psychic,89.322%
1567,Froslass,Will-O-Wisp,fire,51.433%
1568,Froslass,Icy Wind,ice,47.103%
1569,Froslass,Fake Tears,dark,40.278%
1570,Froslass,Charm,fairy,38.513%
1571,Froslass,Destiny Bond,ghost,36.267%
1572,Froslass,Frost Breath,ice,30.395%
1573,Froslass,Taunt,dark,30.023%
1574,Froslass,Ice Shard,ice,29.597%
1575,Froslass,Other,,7.069%
1576,Gigalith,Rock Slide,rock,98.421%
1577,Gigalith,Stomping Tantrum,ground,64.555%
1578,Gigalith,Iron Head,steel,52.682%
1579,Gigalith,Superpower,fighting,46.658%
1580,Gigalith,Body Press,fighting,44.864%
1581,Gigalith,Protect,normal,38.745%
1582,Gigalith,Wide Guard,rock,31.987%
1583,Gigalith,Iron Defense,steel,12.545%
1584,Gigalith,Other,,9.543%
1585,Jellicent,Trick Room,psychic,97.280%
1586,Jellicent,Strength Sap,grass,70.026%
1587,Jellicent,Shadow Ball,ghost,59.488%
1588,Jellicent,Water Spout,water,57.229%
1589,Jellicent,Surf,water,28.468%
1590,Jellicent,Will-O-Wisp,fire,20.549%
1591,Jellicent,Sludge Bomb,poison,20.438%
1592,Jellicent,Night Shade,ghost,9.682%
1593,Jellicent,Recover,normal,6.340%
1594,Jellicent,Muddy Water,water,5.396%
1595,Jellicent,Hydro Pump,water,4.717%
1596,Jellicent,Taunt,dark,3.904%
1597,Jellicent,Other,,16.483%
1598,Riolu,Coaching,fighting,99.350%
1599,Riolu,Copycat,normal,70.238%
1600,Riolu,Quick Guard,fighting,43.442%
1601,Riolu,Detect,fighting,38.050%
1602,Riolu,Feint,normal,34.183%
1603,Riolu,Bullet Punch,steel,34.106%
1604,Riolu,Helping Hand,normal,22.874%
1605,Riolu,Protect,normal,16.695%
1606,Riolu,Brick Break,fighting,11.856%
1607,Riolu,Sunny Day,fire,9.995%
1608,Riolu,Other,,19.212%
1609,Mandibuzz,Foul Play,dark,62.585%
1610,Mandibuzz,Tailwind,flying,62.371%
1611,Mandibuzz,Taunt,dark,62.001%
1612,Mandibuzz,Protect,normal,37.799%
1613,Mandibuzz,Lash Out,dark,37.426%
1614,Mandibuzz,Brave Bird,flying,37.405%
1615,Mandibuzz,Bone Rush,ground,37.405%
1616,Mandibuzz,Snarl,dark,36.582%
1617,Mandibuzz,Roost,flying,25.813%
1618,Mandibuzz,Other,,0.614%
1619,Lurantis,Superpower,fighting,99.995%
1620,Lurantis,Protect,normal,88.577%
1621,Lurantis,Leaf Blade,grass,76.994%
1622,Lurantis,Synthesis,grass,68.249%
1623,Lurantis,Leech Life,bug,17.598%
1624,Lurantis,Grassy Glide,grass,16.605%
1625,Lurantis,Leaf Storm,grass,6.399%
1626,Lurantis,Night Slash,dark,6.067%
1627,Lurantis,Other,,19.517%
1628,Latias,Tailwind,flying,77.583%
1629,Latias,Surf,water,59.229%
1630,Latias,Helping Hand,normal,47.122%
1631,Latias,Heal Pulse,psychic,41.470%
1632,Latias,Icy Wind,ice,32.440%
1633,Latias,Ally Switch,psychic,23.795%
1634,Latias,Recover,normal,13.820%
1635,Latias,Reflect Type,normal,13.181%
1636,Latias,Calm Mind,psychic,13.177%
1637,Latias,Stored Power,psychic,13.149%
1638,Latias,Psyshock,psychic,8.727%
1639,Latias,Bulldoze,ground,8.696%
1640,Latias,Energy Ball,grass,8.132%
1641,Latias,Ice Beam,ice,7.909%
1642,Latias,Thunderbolt,electric,7.871%
1643,Latias,Breaking Swipe,dragon,5.470%
1644,Latias,Other,,18.228%
1645,Exeggutor-Alola,Trick Room,psychic,99.562%
1646,Exeggutor-Alola,Sleep Powder,grass,83.252%
1647,Exeggutor-Alola,Grass Knot,grass,43.084%
1648,Exeggutor-Alola,Brutal Swing,dark,38.672%
1649,Exeggutor-Alola,Flamethrower,fire,32.402%
1650,Exeggutor-Alola,Leech Seed,grass,26.518%
1651,Exeggutor-Alola,Leaf Storm,grass,17.410%
1652,Exeggutor-Alola,Draco Meteor,dragon,16.308%
1653,Exeggutor-Alola,Bulldoze,ground,9.989%
1654,Exeggutor-Alola,Wood Hammer,grass,7.884%
1655,Exeggutor-Alola,Dragon Hammer,dragon,7.882%
1656,Exeggutor-Alola,Other,,17.037%
1657,Dragonite,Dual Wingbeat,flying,87.537%
1658,Dragonite,Extreme Speed,normal,51.549%
1659,Dragonite,Earthquake,ground,38.584%
1660,Dragonite,Breaking Swipe,dragon,38.497%
1661,Dragonite,Dragon Claw,dragon,32.854%
1662,Dragonite,Dragon Dance,dragon,29.898%
1663,Dragonite,Fire Punch,fire,17.822%
1664,Dragonite,Aqua Jet,water,17.203%
1665,Dragonite,Superpower,fighting,15.490%
1666,Dragonite,Protect,normal,13.812%
1667,Dragonite,Outrage,dragon,10.926%
1668,Dragonite,Roost,flying,10.686%
1669,Dragonite,Rock Slide,rock,6.855%
1670,Dragonite,Hurricane,flying,4.825%
1671,Dragonite,Thunder Punch,electric,4.430%
1672,Dragonite,Other,,19.033%
1673,Darmanitan,Flare Blitz,fire,97.886%
1674,Darmanitan,U-turn,bug,88.110%
1675,Darmanitan,Rock Slide,rock,82.090%
1676,Darmanitan,Earthquake,ground,46.316%
1677,Darmanitan,Brick Break,fighting,40.760%
1678,Darmanitan,Lash Out,dark,14.364%
1679,Darmanitan,Protect,normal,9.630%
1680,Darmanitan,Substitute,normal,9.630%
1681,Darmanitan,Other,,11.215%
1682,Cradily,Protect,normal,76.158%
1683,Cradily,Giga Drain,grass,51.129%
1684,Cradily,Leech Seed,grass,50.409%
1685,Cradily,Meteor Beam,rock,42.174%
1686,Cradily,Ancient Power,rock,41.541%
1687,Cradily,Energy Ball,grass,40.742%
1688,Cradily,Sludge Bomb,poison,29.745%
1689,Cradily,Recover,normal,20.241%
1690,Cradily,Earth Power,ground,17.636%
1691,Cradily,Rock Slide,rock,6.765%
1692,Cradily,Stockpile,normal,6.485%
1693,Cradily,Other,,16.975%
1694,Obstagoon,Knock Off,dark,97.547%
1695,Obstagoon,Taunt,dark,44.258%
1696,Obstagoon,Icy Wind,ice,44.255%
1697,Obstagoon,Surf,water,44.252%
1698,Obstagoon,Obstruct,dark,41.255%
1699,Obstagoon,Close Combat,fighting,30.294%
1700,Obstagoon,Facade,normal,20.763%
1701,Obstagoon,Parting Shot,dark,20.607%
1702,Obstagoon,Brick Break,fighting,12.060%
1703,Obstagoon,Double-Edge,normal,9.701%
1704,Obstagoon,Fire Punch,fire,9.128%
1705,Obstagoon,Throat Chop,dark,6.455%
1706,Obstagoon,Other,,19.425%
1707,Scrafty,Fake Out,normal,96.795%
1708,Scrafty,Close Combat,fighting,61.933%
1709,Scrafty,Snarl,dark,56.413%
1710,Scrafty,Foul Play,dark,42.228%
1711,Scrafty,Throat Chop,dark,26.954%
1712,Scrafty,Crunch,dark,25.266%
1713,Scrafty,Coaching,fighting,24.060%
1714,Scrafty,Brick Break,fighting,22.399%
1715,Scrafty,Drain Punch,fighting,11.900%
1716,Scrafty,Protect,normal,11.164%
1717,Scrafty,Taunt,dark,8.244%
1718,Scrafty,Other,,12.645%
1719,Aerodactyl,Rock Slide,rock,90.163%
1720,Aerodactyl,Tailwind,flying,87.621%
1721,Aerodactyl,Wide Guard,rock,85.889%
1722,Aerodactyl,Dual Wingbeat,flying,78.699%
1723,Aerodactyl,Protect,normal,14.602%
1724,Aerodactyl,Bulldoze,ground,9.952%
1725,Aerodactyl,Earthquake,ground,7.812%
1726,Aerodactyl,Taunt,dark,6.800%
1727,Aerodactyl,Other,,18.463%
1728,Kabutops,Protect,normal,82.275%
1729,Kabutops,Liquidation,water,81.599%
1730,Kabutops,Stone Edge,rock,69.793%
1731,Kabutops,Dig,ground,61.483%
1732,Kabutops,Rock Slide,rock,27.165%
1733,Kabutops,Aqua Jet,water,14.422%
1734,Kabutops,Superpower,fighting,10.719%
1735,Kabutops,Waterfall,water,10.643%
1736,Kabutops,X-Scissor,bug,8.339%
1737,Kabutops,Flip Turn,water,6.943%
1738,Kabutops,Icy Wind,ice,6.896%
1739,Kabutops,Other,,19.722%
1740,Articuno,Tailwind,flying,85.309%
1741,Articuno,Freeze-Dry,ice,67.208%
1742,Articuno,Hurricane,flying,67.066%
1743,Articuno,Weather Ball,normal,47.691%
1744,Articuno,Ice Shard,ice,32.137%
1745,Articuno,Air Slash,flying,29.785%
1746,Articuno,Reflect,psychic,29.119%
1747,Articuno,Protect,normal,11.529%
1748,Articuno,Icy Wind,ice,11.067%
1749,Articuno,Other,,19.089%
1750,Blacephalon,Shadow Ball,ghost,83.472%
1751,Blacephalon,Mind Blown,fire,81.186%
1752,Blacephalon,Trick,psychic,64.784%
1753,Blacephalon,Solar Beam,grass,42.024%
1754,Blacephalon,Protect,normal,34.539%
1755,Blacephalon,Flamethrower,fire,22.748%
1756,Blacephalon,Calm Mind,psychic,16.519%
1757,Blacephalon,Fire Blast,fire,15.707%
1758,Blacephalon,Mystical Fire,fire,13.225%
1759,Blacephalon,Heat Wave,fire,9.772%
1760,Blacephalon,Other,,16.024%
1761,Duraludon,Flash Cannon,steel,92.256%
1762,Duraludon,Draco Meteor,dragon,79.107%
1763,Duraludon,Thunderbolt,electric,55.300%
1764,Duraludon,Dark Pulse,dark,44.908%
1765,Duraludon,Thunder,electric,28.627%
1766,Duraludon,Protect,normal,27.218%
1767,Duraludon,Dragon Tail,dragon,25.660%
1768,Duraludon,Dragon Pulse,dragon,20.966%
1769,Duraludon,Steel Beam,steel,8.738%
1770,Duraludon,Other,,17.219%
1771,Trevenant,Forest's Curse,,96.185%
1772,Trevenant,Ally Switch,psychic,96.007%
1773,Trevenant,Poltergeist,ghost,94.698%
1774,Trevenant,Wood Hammer,grass,92.721%
1775,Trevenant,Trick Room,psychic,5.117%
1776,Trevenant,Other,,15.271%
1777,Drednaw,Liquidation,water,99.611%
1778,Drednaw,Rock Slide,rock,92.731%
1779,Drednaw,Head Smash,rock,90.018%
1780,Drednaw,Megahorn,bug,84.826%
1781,Drednaw,Earthquake,ground,8.013%
1782,Drednaw,Protect,normal,5.380%
1783,Drednaw,Other,,19.420%
1784,Heatran,Earth Power,ground,90.586%
1785,Heatran,Flash Cannon,steel,70.739%
1786,Heatran,Protect,normal,63.329%
1787,Heatran,Heat Wave,fire,55.981%
1788,Heatran,Flamethrower,fire,27.349%
1789,Heatran,Solar Beam,grass,26.833%
1790,Heatran,Magma Storm,fire,22.163%
1791,Heatran,Taunt,dark,12.859%
1792,Heatran,Substitute,normal,6.989%
1793,Heatran,Steel Beam,steel,6.840%
1794,Heatran,Other,,16.332%
1795,Clefable,Follow Me,normal,93.001%
1796,Clefable,Protect,normal,89.806%
1797,Clefable,Helping Hand,normal,84.697%
1798,Clefable,Mystical Fire,fire,82.886%
1799,Clefable,Cosmic Power,psychic,9.989%
1800,Clefable,Dazzling Gleam,fairy,6.203%
1801,Clefable,Moonlight,fairy,5.286%
1802,Clefable,Moonblast,fairy,5.137%
1803,Clefable,Aromatherapy,grass,3.534%
1804,Clefable,Other,,19.460%
1805,Appletun,Protect,normal,77.286%
1806,Appletun,Leech Seed,grass,74.628%
1807,Appletun,Draco Meteor,dragon,61.082%
1808,Appletun,Giga Drain,grass,39.789%
1809,Appletun,Apple Acid,grass,33.800%
1810,Appletun,Iron Defense,steel,27.015%
