,Pokemon,Teammate,Use_Percentage (%)
1324,Garchomp,Umbreon,47.877%
1325,Garchomp,Incineroar,21.317%
1326,Garchomp,Calyrex-Shadow,12.205%
1327,Garchomp,Indeedee-F,9.045%
1328,Garchomp,Thundurus,8.914%
1329,Garchomp,Gastrodon,8.490%
1330,Heliolisk,Kyogre,75.471%
1331,Heliolisk,Rillaboom,73.007%
1332,Heliolisk,Calyrex-Shadow,72.650%
1333,Heliolisk,Tornadus,72.580%
1334,Heliolisk,Toxicroak,72.574%
1335,Heliolisk,Groudon,12.958%
1336,Heliolisk,Gastrodon,12.102%
1337,Heliolisk,Zacian-Crowned,5.455%
1338,Heliolisk,Reshiram,5.158%
1339,Heliolisk,Weavile,4.874%
1340,Tapu Bulu,Incineroar,80.219%
1341,Tapu Bulu,Gastrodon,71.795%
1342,Tapu Bulu,Thundurus,45.074%
1343,Tapu Bulu,Calyrex-Shadow,44.857%
1344,Tapu Bulu,Zacian-Crowned,44.839%
1345,Tapu Bulu,Eternatus,32.175%
1346,Tapu Bulu,Yveltal,24.426%
1347,Tapu Bulu,Tornadus,11.811%
1348,Tapu Bulu,Solgaleo,8.352%
1349,Tapu Bulu,Umbreon,8.031%
1350,Kangaskhan,Calyrex-Ice,77.854%
1351,Kangaskhan,Palkia,73.121%
1352,Kangaskhan,Porygon2,72.300%
1353,Kangaskhan,Incineroar,68.084%
1354,Kangaskhan,Amoonguss,67.786%
1355,Kangaskhan,Zacian-Crowned,17.774%
1356,Kangaskhan,Dusclops,10.264%
1357,Kangaskhan,Politoed,9.471%
1358,Kangaskhan,Lapras,6.547%
1359,Kangaskhan,Xerneas,6.474%
1360,Moltres,Kyogre,82.735%
1361,Moltres,Zacian-Crowned,64.729%
1362,Moltres,Regieleki,49.314%
1363,Moltres,Whimsicott,49.083%
1364,Moltres,Ferrothorn,49.082%
1365,Moltres,Calyrex-Ice,23.915%
1366,Moltres,Slowking,23.883%
1367,Moltres,Indeedee,23.883%
1368,Moltres,Hatterene,23.883%
1369,Moltres,Indeedee-F,9.828%
1370,Krookodile,Venusaur,54.206%
1371,Krookodile,Urshifu,51.893%
1372,Krookodile,Palkia,51.326%
1373,Krookodile,Yveltal,42.010%
1374,Krookodile,Torkoal,41.618%
1375,Krookodile,Xerneas,24.783%
1376,Krookodile,Ho-Oh,24.568%
1377,Krookodile,Ferrothorn,24.547%
1378,Krookodile,Lapras,24.528%
1379,Krookodile,Raichu,24.493%
1380,Drifblim,Kyogre,94.128%
1381,Drifblim,Incineroar,93.443%
1382,Drifblim,Indeedee-F,91.312%
1383,Drifblim,Porygon2,89.650%
1384,Drifblim,Calyrex-Ice,89.638%
1385,Drifblim,Solgaleo,4.903%
1386,Drifblim,Ferrothorn,3.228%
1387,Drifblim,Tapu%20Fini,3.228%
1388,Drifblim,Milotic,2.094%
1389,Drifblim,Calyrex-Shadow,1.818%
1390,Excadrill,Zacian-Crowned,46.724%
1391,Excadrill,Yveltal,37.623%
1392,Excadrill,Whimsicott,32.404%
1393,Excadrill,Tyranitar,29.393%
1394,Excadrill,Blastoise,28.900%
1395,Excadrill,Moltres-Galar,25.700%
1396,Excadrill,Calyrex-Ice,23.882%
1397,Excadrill,Gastrodon,17.988%
1398,Excadrill,Xerneas,17.904%
1399,Excadrill,Arcanine,17.789%
1400,Primarina,Sceptile,62.834%
1401,Primarina,Incineroar,60.687%
1402,Primarina,Groudon,58.155%
1403,Primarina,Rotom-Heat,55.646%
1404,Primarina,Calyrex-Ice,54.404%
1405,Primarina,Zacian-Crowned,20.033%
1406,Primarina,Regieleki,13.860%
1407,Primarina,Kyogre,10.770%
1408,Primarina,Thundurus,9.430%
1409,Primarina,Landorus-Therian,9.072%
1410,Shiftry,Zacian-Crowned,76.358%
1411,Shiftry,Palkia,68.175%
1412,Shiftry,Thundurus,63.501%
1413,Shiftry,Gothitelle,57.156%
1414,Shiftry,Entei,57.156%
1415,Shiftry,Groudon,17.637%
1416,Shiftry,Regieleki,17.515%
1417,Shiftry,Calyrex-Ice,17.469%
1418,Shiftry,Cherrim,17.110%
1419,Shiftry,Landorus-Therian,12.295%
1420,Chandelure,Zacian-Crowned,70.533%
1421,Chandelure,Whimsicott,51.902%
1422,Chandelure,Groudon,50.485%
1423,Chandelure,Charizard,48.761%
1424,Chandelure,Venusaur,41.651%
1425,Chandelure,Regieleki,16.706%
1426,Chandelure,Xerneas,14.573%
1427,Chandelure,Dracozolt,14.519%
1428,Chandelure,Gigalith,14.519%
1429,Chandelure,Pheromosa,14.518%
1430,Toxicroak,Kyogre,93.443%
1431,Toxicroak,Tornadus,85.030%
1432,Toxicroak,Rillaboom,84.706%
1433,Toxicroak,Heliolisk,84.219%
1434,Toxicroak,Calyrex-Shadow,84.219%
1435,Toxicroak,Zacian-Crowned,7.904%
1436,Toxicroak,Dracovish,5.164%
1437,Toxicroak,Lapras,5.133%
1438,Toxicroak,Gastrodon,5.132%
1439,Toxicroak,Landorus-Therian,2.145%
1440,Dracozolt,Xerneas,55.076%
1441,Dracozolt,Whimsicott,51.563%
1442,Dracozolt,Indeedee-F,51.264%
1443,Dracozolt,Calyrex-Shadow,46.762%
1444,Dracozolt,Klinklang,38.349%
1445,Dracozolt,Zacian-Crowned,22.451%
1446,Dracozolt,Gigalith,14.812%
1447,Dracozolt,Pheromosa,14.106%
1448,Dracozolt,Chandelure,14.071%
1449,Dracozolt,Kyogre,13.740%
1450,Sceptile,Incineroar,67.264%
1451,Sceptile,Groudon,66.875%
1452,Sceptile,Calyrex-Ice,66.429%
1453,Sceptile,Primarina,66.398%
1454,Sceptile,Rotom-Heat,66.189%
1455,Sceptile,Kyogre,18.445%
1456,Sceptile,Landorus-Therian,15.262%
1457,Sceptile,Zacian-Crowned,13.692%
1458,Sceptile,Blastoise,9.666%
1459,Sceptile,Blissey,9.560%
1460,Pincurchin,Kyogre,86.757%
1461,Pincurchin,Calyrex-Ice,41.583%
1462,Pincurchin,Incineroar,39.074%
1463,Pincurchin,Amoonguss,34.459%
1464,Pincurchin,Liepard,33.918%
1465,Pincurchin,Clefable,33.153%
1466,Pincurchin,Whimsicott,31.778%
1467,Pincurchin,Kyurem-White,31.307%
1468,Pincurchin,Seismitoad,31.303%
1469,Pincurchin,Palkia,14.213%
1470,Aegislash,Kyogre,56.814%
1471,Aegislash,Incineroar,36.502%
1472,Aegislash,Indeedee-F,35.570%
1473,Aegislash,Calyrex-Ice,26.719%
1474,Aegislash,Mimikyu,25.920%
1475,Aegislash,Landorus-Therian,22.450%
1476,Aegislash,Whimsicott,22.077%
1477,Aegislash,Xerneas,18.389%
1478,Aegislash,Zacian-Crowned,16.196%
1479,Aegislash,Dracovish,14.620%
1480,Centiskorch,Gastrodon,73.678%
1481,Centiskorch,Zacian-Crowned,42.535%
1482,Centiskorch,Groudon,37.774%
1483,Centiskorch,Yveltal,37.259%
1484,Centiskorch,Thundurus,33.187%
1485,Centiskorch,Zamazenta-Crowned,31.582%
1486,Centiskorch,Mr.%20Rime,29.765%
1487,Centiskorch,Zapdos,29.685%
1488,Centiskorch,Whimsicott,21.550%
1489,Centiskorch,Sableye,15.793%
1490,Greedent,Indeedee-F,95.616%
1491,Greedent,Zacian-Crowned,95.452%
1492,Greedent,Calyrex-Shadow,84.392%
1493,Greedent,Rillaboom,84.354%
1494,Greedent,Dracovish,78.531%
1495,Greedent,Dusclops,11.230%
1496,Greedent,Calyrex-Ice,11.187%
1497,Greedent,Regieleki,11.096%
1498,Greedent,Hatterene,5.823%
1499,Greedent,Groudon,0.258%
1500,Porygon-Z,Zacian-Crowned,52.698%
1501,Porygon-Z,Rillaboom,44.620%
1502,Porygon-Z,Kyogre,43.542%
1503,Porygon-Z,Whimsicott,39.024%
1504,Porygon-Z,Incineroar,36.460%
1505,Porygon-Z,Calyrex-Ice,32.647%
1506,Porygon-Z,Mimikyu,32.646%
1507,Porygon-Z,Togekiss,32.369%
1508,Porygon-Z,Lunala,32.360%
1509,Porygon-Z,Alcremie,32.360%
1510,Butterfree,Zacian-Crowned,48.711%
1511,Butterfree,Incineroar,40.783%
1512,Butterfree,Rillaboom,36.231%
1513,Butterfree,Kyogre,30.843%
1514,Butterfree,Whimsicott,28.200%
1515,Butterfree,Blastoise,21.916%
1516,Butterfree,Zygarde,21.484%
1517,Butterfree,Palkia,21.227%
1518,Butterfree,Landorus-Therian,21.057%
1519,Butterfree,Grimmsnarl,15.109%
1520,Lucario,Kyogre,57.711%
1521,Lucario,Zapdos,55.691%
1522,Lucario,Rillaboom,55.613%
1523,Lucario,Tornadus,55.525%
1524,Lucario,Solgaleo,55.521%
1525,Lucario,Whimsicott,15.283%
1526,Lucario,Dracovish,12.780%
1527,Lucario,Grimmsnarl,6.159%
1528,Lucario,Braviary,5.910%
1529,Lucario,Duraludon,5.542%
1530,Mudsdale,Kyogre,77.955%
1531,Mudsdale,Zacian-Crowned,49.805%
1532,Mudsdale,Incineroar,40.273%
1533,Mudsdale,Raichu,39.282%
1534,Mudsdale,Eternatus,38.923%
1535,Mudsdale,Kartana,38.921%
1536,Mudsdale,Grimmsnarl,36.666%
1537,Mudsdale,Slowking,33.184%
1538,Mudsdale,Salamence,33.184%
1539,Mudsdale,Rillaboom,17.192%
1540,Cherrim,Groudon,88.123%
1541,Cherrim,Regieleki,33.458%
1542,Cherrim,Incineroar,31.952%
1543,Cherrim,Zacian-Crowned,29.513%
1544,Cherrim,Grimmsnarl,28.457%
1545,Cherrim,Reshiram,26.102%
1546,Cherrim,Tapu%20Fini,24.962%
1547,Cherrim,Shiftry,23.219%
1548,Cherrim,Ferrothorn,22.787%
1549,Cherrim,Thundurus,14.766%
1550,Exeggutor,Groudon,74.069%
1551,Exeggutor,Whimsicott,66.615%
1552,Exeggutor,Grimmsnarl,66.433%
1553,Exeggutor,Celesteela,63.087%
1554,Exeggutor,Calyrex-Shadow,63.087%
1555,Exeggutor,Charizard,7.581%
1556,Exeggutor,Incineroar,7.448%
1557,Exeggutor,Kyurem-White,7.399%
1558,Exeggutor,Regieleki,7.398%
1559,Exeggutor,Calyrex-Ice,4.688%
1560,Altaria,Incineroar,55.600%
1561,Altaria,Palkia,49.518%
1562,Altaria,Calyrex-Ice,49.517%
1563,Altaria,Rillaboom,47.550%
1564,Altaria,Celesteela,47.475%
1565,Altaria,Zacian-Crowned,26.046%
1566,Altaria,Landorus-Therian,21.340%
1567,Altaria,Blastoise,19.859%
1568,Altaria,Thundurus,19.859%
1569,Altaria,Solgaleo,19.859%
1570,Klefki,Incineroar,50.539%
1571,Klefki,Zacian-Crowned,44.851%
1572,Klefki,Charizard,36.443%
1573,Klefki,Eternatus,28.855%
1574,Klefki,Glastrier,27.999%
1575,Klefki,Groudon,23.138%
1576,Klefki,Kyogre,15.063%
1577,Klefki,Yveltal,13.998%
1578,Klefki,Blastoise,13.262%
1579,Klefki,Palkia,12.791%
1580,Froslass,Grimmsnarl,57.336%
1581,Froslass,Zacian-Crowned,36.304%
1582,Froslass,Calyrex-Shadow,36.029%
1583,Froslass,Zapdos,35.551%
1584,Froslass,Dialga,35.551%
1585,Froslass,Regieleki,35.394%
1586,Froslass,Landorus-Therian,34.365%
1587,Froslass,Palkia,28.852%
1588,Froslass,Tauros,24.650%
1589,Froslass,Mandibuzz,15.476%
1590,Gigalith,Zacian-Crowned,78.428%
1591,Gigalith,Kyogre,55.217%
1592,Gigalith,Gastrodon,43.308%
1593,Gigalith,Rillaboom,42.866%
1594,Gigalith,Tornadus,42.639%
1595,Gigalith,Dracozolt,23.245%
1596,Gigalith,Xerneas,22.084%
1597,Gigalith,Pheromosa,22.084%
1598,Gigalith,Chandelure,22.084%
1599,Gigalith,Excadrill,13.329%
1600,Jellicent,Incineroar,36.478%
1601,Jellicent,Zacian-Crowned,35.825%
1602,Jellicent,Calyrex-Ice,32.747%
1603,Jellicent,Kyogre,25.310%
1604,Jellicent,Pincurchin,20.537%
1605,Jellicent,Blastoise,20.438%
1606,Jellicent,Palkia,20.438%
1607,Jellicent,Ludicolo,20.438%
1608,Jellicent,Landorus-Therian,18.246%
1609,Jellicent,Sableye,18.214%
1610,Riolu,Calyrex-Ice,50.952%
1611,Riolu,Incineroar,25.653%
1612,Riolu,Groudon,25.417%
1613,Riolu,Thundurus,23.372%
1614,Riolu,Rillaboom,22.492%
1615,Riolu,Indeedee-F,20.929%
1616,Riolu,Whimsicott,20.009%
1617,Riolu,Solgaleo,16.521%
1618,Riolu,Kyogre,16.017%
1619,Riolu,Entei,15.432%
1620,Mandibuzz,Kyogre,55.634%
1621,Mandibuzz,Zapdos,50.734%
1622,Mandibuzz,Zacian-Crowned,41.762%
1623,Mandibuzz,Rillaboom,33.684%
1624,Mandibuzz,Necrozma-Dusk-Mane,30.200%
1625,Mandibuzz,Grimmsnarl,27.275%
1626,Mandibuzz,Cinderace,24.171%
1627,Mandibuzz,Indeedee-F,24.165%
1628,Mandibuzz,Froslass,19.804%
1629,Mandibuzz,Calyrex-Shadow,18.859%
1630,Lurantis,Solgaleo,73.735%
1631,Lurantis,Kyogre,71.771%
1632,Lurantis,Dusclops,70.860%
1633,Lurantis,Tornadus,68.230%
1634,Lurantis,Spectrier,68.228%
1635,Lurantis,Indeedee-F,11.337%
1636,Lurantis,Mimikyu,6.577%
1637,Lurantis,Regieleki,6.248%
1638,Lurantis,Charizard,5.272%
1639,Lurantis,Groudon,5.192%
1640,Latias,Regieleki,42.110%
1641,Latias,Sableye,41.784%
1642,Latias,Zacian-Crowned,40.801%
1643,Latias,Groudon,32.569%
1644,Latias,Venusaur,32.525%
1645,Latias,Amoonguss,30.773%
1646,Latias,Kyurem-White,28.529%
1647,Latias,Dialga,24.095%
1648,Latias,Urshifu,17.648%
1649,Latias,Suicune,17.623%
1650,Exeggutor-Alola,Kyogre,76.800%
1651,Exeggutor-Alola,Indeedee-F,64.725%
1652,Exeggutor-Alola,Calyrex-Ice,51.831%
1653,Exeggutor-Alola,Zapdos,34.953%
1654,Exeggutor-Alola,Incineroar,30.030%
1655,Exeggutor-Alola,Dialga,22.887%
1656,Exeggutor-Alola,Landorus-Therian,20.071%
1657,Exeggutor-Alola,Regieleki,20.022%
1658,Exeggutor-Alola,Rhydon,20.021%
1659,Exeggutor-Alola,Groudon,14.042%
1660,Dragonite,Kyogre,38.102%
1661,Dragonite,Indeedee-F,32.076%
1662,Dragonite,Zacian-Crowned,31.361%
1663,Dragonite,Calyrex-Ice,25.376%
1664,Dragonite,Whimsicott,25.113%
1665,Dragonite,Cinderace,24.141%
1666,Dragonite,Incineroar,21.171%
1667,Dragonite,Rillaboom,12.200%
1668,Dragonite,Porygon2,11.123%
1669,Dragonite,Palkia,10.262%
1670,Darmanitan,Thundurus,61.251%
1671,Darmanitan,Zacian-Crowned,48.014%
1672,Darmanitan,Ferrothorn,37.244%
1673,Darmanitan,Palkia,37.231%
1674,Darmanitan,Garbodor,37.231%
1675,Darmanitan,Calyrex-Shadow,37.231%
1676,Darmanitan,Kyogre,24.048%
1677,Darmanitan,Zamazenta-Crowned,24.020%
1678,Darmanitan,Appletun,24.020%
1679,Darmanitan,Tornadus,24.006%
1680,Cradily,Kyogre,53.337%
1681,Cradily,Gastrodon,47.427%
1682,Cradily,Zacian-Crowned,41.617%
1683,Cradily,Lapras,37.645%
1684,Cradily,Dracovish,32.116%
1685,Cradily,Incineroar,26.876%
1686,Cradily,Palkia,18.415%
1687,Cradily,Goodra,16.605%
1688,Cradily,Mimikyu,12.748%
1689,Cradily,Dialga,12.425%
1690,Obstagoon,Zacian-Crowned,75.555%
1691,Obstagoon,Incineroar,47.927%
1692,Obstagoon,Gastrodon,42.584%
1693,Obstagoon,Ho-Oh,41.131%
1694,Obstagoon,Sableye,41.120%
1695,Obstagoon,Lunala,16.046%
1696,Obstagoon,Calyrex-Shadow,13.608%
1697,Obstagoon,Landorus-Therian,12.969%
1698,Obstagoon,Groudon,12.725%
1699,Obstagoon,Tapu%20Lele,12.260%
1700,Scrafty,Regieleki,53.554%
1701,Scrafty,Whimsicott,31.216%
1702,Scrafty,Groudon,31.186%
1703,Scrafty,Mewtwo,30.334%
1704,Scrafty,Tapu%20Lele,30.329%
1705,Scrafty,Zacian-Crowned,24.802%
1706,Scrafty,Rillaboom,24.355%
1707,Scrafty,Ho-Oh,20.531%
1708,Scrafty,Dialga,20.325%
1709,Scrafty,Gastrodon,19.188%
1710,Aerodactyl,Landorus-Therian,65.394%
1711,Aerodactyl,Calyrex-Shadow,58.978%
1712,Aerodactyl,Indeedee-F,57.845%
1713,Aerodactyl,Groudon,55.534%
1714,Aerodactyl,Charizard,54.519%
1715,Aerodactyl,Xerneas,8.765%
1716,Aerodactyl,Shiinotic,8.765%
1717,Aerodactyl,Tapu%20Fini,8.765%
1718,Aerodactyl,Ho-Oh,8.765%
1719,Aerodactyl,Hydreigon,8.765%
1720,Kabutops,Mewtwo,77.332%
1721,Kabutops,Zacian-Crowned,70.189%
1722,Kabutops,Whimsicott,67.502%
1723,Kabutops,Incineroar,63.496%
1724,Kabutops,Thundurus,57.505%
1725,Kabutops,Regieleki,10.368%
1726,Kabutops,Yveltal,9.044%
1727,Kabutops,Kyogre,8.219%
1728,Kabutops,Dragapult,8.042%
1729,Kabutops,Cobalion,7.999%
1730,Articuno,Kyogre,53.393%
1731,Articuno,Raichu,46.341%
1732,Articuno,Solgaleo,46.341%
1733,Articuno,Spectrier,41.842%
1734,Articuno,Amoonguss,41.251%
1735,Articuno,Groudon,26.363%
1736,Articuno,Venusaur,26.206%
1737,Articuno,Palkia,23.169%
1738,Articuno,Urshifu,23.097%
1739,Articuno,Krookodile,23.097%
1740,Blacephalon,Regieleki,32.270%
1741,Blacephalon,Coalossal,27.514%
1742,Blacephalon,Whimsicott,24.973%
1743,Blacephalon,Groudon,23.555%
1744,Blacephalon,Rillaboom,21.155%
1745,Blacephalon,Zekrom,21.089%
1746,Blacephalon,Tornadus,18.262%
1747,Blacephalon,Calyrex-Ice,16.450%
1748,Blacephalon,Kyogre,16.115%
1749,Blacephalon,Lunala,15.812%
1750,Duraludon,Whimsicott,55.266%
1751,Duraludon,Zacian-Crowned,55.147%
1752,Duraludon,Calyrex-Shadow,30.422%
1753,Duraludon,Regieleki,29.326%
1754,Duraludon,Dracovish,26.444%
1755,Duraludon,Tapu%20Lele,22.659%
1756,Duraludon,Grimmsnarl,14.428%
1757,Duraludon,Rillaboom,14.335%
1758,Duraludon,Braviary,13.743%
1759,Duraludon,Groudon,13.592%
1760,Trevenant,Calyrex-Ice,62.653%
1761,Trevenant,Indeedee-F,60.994%
1762,Trevenant,Groudon,59.852%
1763,Trevenant,Amoonguss,58.277%
1764,Trevenant,Sableye,58.166%
1765,Trevenant,Venusaur,2.629%
1766,Trevenant,Torkoal,2.580%
1767,Trevenant,Grimmsnarl,1.604%
1768,Trevenant,Regieleki,1.572%
1769,Trevenant,Gastrodon,1.572%
1770,Drednaw,Kyogre,88.723%
1771,Drednaw,Regieleki,82.563%
1772,Drednaw,Tornadus,82.140%
1773,Drednaw,Necrozma-Dusk-Mane,79.279%
1774,Drednaw,Indeedee-F,79.181%
1775,Drednaw,Landorus-Therian,4.401%
1776,Drednaw,Rotom-Mow,4.401%
1777,Drednaw,Araquanid,4.262%
1778,Drednaw,Thundurus,4.105%
1779,Drednaw,Kartana,2.959%
1780,Heatran,Zacian-Crowned,66.854%
1781,Heatran,Rillaboom,43.255%
1782,Heatran,Amoonguss,29.837%
1783,Heatran,Tornadus,29.131%
1784,Heatran,Eternatus,26.184%
1785,Heatran,Zapdos,18.606%
1786,Heatran,Landorus-Therian,17.706%
1787,Heatran,Lapras,15.648%
1788,Heatran,Urshifu,15.482%
1789,Heatran,Rhyperior,14.846%
1790,Clefable,Kyogre,81.847%
1791,Clefable,Amoonguss,77.741%
1792,Clefable,Calyrex-Ice,77.025%
1793,Clefable,Liepard,76.641%
1794,Clefable,Pincurchin,76.641%
1795,Clefable,Tyranitar,4.276%
1796,Clefable,Whimsicott,3.984%
1797,Clefable,Indeedee-F,3.194%
1798,Clefable,Incineroar,2.919%
1799,Clefable,Necrozma-Dusk-Mane,2.861%
1800,Appletun,Zacian-Crowned,36.547%
1801,Appletun,Kyogre,32.975%
1802,Appletun,Gastrodon,32.173%
1803,Appletun,Incineroar,31.925%
1804,Appletun,Thundurus,31.116%
1805,Appletun,Zamazenta-Crowned,30.082%
1806,Appletun,Darmanitan,29.984%
1807,Appletun,Weezing,26.145%
1808,Appletun,Togetic,26.145%
1809,Appletun,Necrozma-Dusk-Mane,26.145%
1810,Bisharp,Zacian-Crowned,38.218%
1811,Bisharp,Rillaboom,32.908%
1812,Bisharp,Yveltal,23.955%
1813,Bisharp,Regieleki,23.685%
1814,Bisharp,Calyrex-Shadow,20.361%
1815,Bisharp,Grimmsnarl,19.942%
1816,Bisharp,Charizard,19.598%
1817,Bisharp,Incineroar,18.721%
1818,Bisharp,Zygarde,18.226%
1819,Bisharp,Entei,17.788%
1820,Registeel,Landorus-Therian,80.619%
1821,Registeel,Grimmsnarl,75.194%
1822,Registeel,Venusaur,67.292%
1823,Registeel,Torkoal,65.014%
1824,Registeel,Porygon2,65.014%
1825,Registeel,Seismitoad,11.642%
1826,Registeel,Regieleki,11.063%
1827,Registeel,Kyogre,9.615%
1828,Registeel,Amoonguss,9.611%
1829,Registeel,Giratina-Origin,9.611%
1830,Rhyperior,Zacian-Crowned,31.429%
1831,Rhyperior,Urshifu,24.324%
1832,Rhyperior,Tapu%20Fini,20.905%
1833,Rhyperior,Zapdos,16.764%
1834,Rhyperior,Rillaboom,14.984%
1835,Rhyperior,Lapras,14.374%
1836,Rhyperior,Heatran,14.310%
1837,Rhyperior,Kyogre,12.887%
1838,Rhyperior,Charizard,12.393%
1839,Rhyperior,Indeedee-F,11.482%
1840,Stonjourner,Groudon,71.914%
1841,Stonjourner,Zacian-Crowned,65.041%
1842,Stonjourner,Thundurus,63.961%
1843,Stonjourner,Incineroar,58.958%
1844,Stonjourner,Lapras,56.707%
1845,Stonjourner,Calyrex-Shadow,24.912%
1846,Stonjourner,Regieleki,15.179%
1847,Stonjourner,Whimsicott,14.870%
1848,Stonjourner,Charizard,14.805%
1849,Stonjourner,Indeedee-F,7.282%
1850,Electivire,Kyogre,54.207%
1851,Electivire,Calyrex-Shadow,52.331%
1852,Electivire,Whimsicott,52.319%
1853,Electivire,Rillaboom,52.230%
1854,Electivire,Indeedee-F,52.213%
1855,Electivire,Zacian-Crowned,5.312%
1856,Electivire,Volcarona,4.130%
1857,Electivire,Rayquaza,4.130%
1858,Electivire,Lapras,4.130%
1859,Electivire,Cradily,4.130%
1860,Leafeon,Groudon,55.038%
1861,Leafeon,Zacian-Crowned,42.372%
1862,Leafeon,Kyurem-White,39.412%
1863,Leafeon,Torkoal,39.126%
1864,Leafeon,Hitmontop,38.961%
1865,Leafeon,Rotom-Wash,38.824%
1866,Leafeon,Gastrodon,27.546%
1867,Leafeon,Raichu,24.980%
1868,Leafeon,Umbreon,20.417%
1869,Leafeon,Palkia,20.172%
1870,Abomasnow,Solgaleo,43.480%
1871,Abomasnow,Kyogre,31.543%
1872,Abomasnow,Beartic,31.523%
1873,Abomasnow,Talonflame,31.455%
1874,Abomasnow,Raichu,31.455%
1875,Abomasnow,Palkia,24.806%
1876,Abomasnow,Rillaboom,24.483%
1877,Abomasnow,Calyrex-Ice,24.465%
1878,Abomasnow,Regieleki,24.453%
1879,Abomasnow,Appletun,24.453%
1880,Diggersby,Zacian-Crowned,92.159%
1881,Diggersby,Grimmsnarl,81.961%
1882,Diggersby,Incineroar,55.884%
1883,Diggersby,Kyogre,49.969%
1884,Diggersby,Zapdos,49.456%
1885,Diggersby,Rillaboom,44.025%
1886,Diggersby,Boltund,33.870%
1887,Diggersby,Eternatus,33.870%
1888,Diggersby,Tornadus,10.155%
1889,Diggersby,Calyrex-Shadow,9.716%
1890,Giratina,Talonflame,30.412%
1891,Giratina,Incineroar,30.296%
1892,Giratina,Comfey,22.413%
1893,Giratina,Regieleki,20.658%
1894,Giratina,Thundurus,20.288%
1895,Giratina,Zapdos,18.381%
1896,Giratina,Mienshao,17.445%
1897,Giratina,Zacian-Crowned,17.204%
1898,Giratina,Pheromosa,15.397%
1899,Giratina,Kyogre,13.923%
1900,Swoobat,Meowstic,75.315%
1901,Swoobat,Calyrex-Shadow,75.245%
1902,Swoobat,Lugia,75.219%
1903,Swoobat,Metagross,75.128%
1904,Swoobat,Hatterene,75.128%
1905,Swoobat,Rillaboom,5.670%
1906,Swoobat,Ho-Oh,5.082%
1907,Swoobat,Groudon,3.346%
1908,Swoobat,Dragapult,3.334%
1909,Swoobat,Umbreon,3.334%
1910,Corviknight,Ninetales-Alola,36.950%
1911,Corviknight,Aegislash,36.944%
1912,Corviknight,Haxorus,36.944%
1913,Corviknight,Cinderace,32.433%
1914,Corviknight,Solgaleo,22.890%
1915,Corviknight,Zacian-Crowned,16.510%
1916,Corviknight,Incineroar,15.545%
1917,Corviknight,Kyogre,13.503%
1918,Corviknight,Groudon,12.190%
1919,Corviknight,Venusaur,11.666%
1920,Vikavolt,Grimmsnarl,71.586%
1921,Vikavolt,Gastrodon,70.142%
1922,Vikavolt,Porygon2,41.381%
1923,Vikavolt,Necrozma-Dusk-Mane,37.198%
1924,Vikavolt,Groudon,36.211%
1925,Vikavolt,Volcarona,35.146%
1926,Vikavolt,Reshiram,35.085%
1927,Vikavolt,Kyurem-White,34.871%
1928,Vikavolt,Kyogre,17.182%
1929,Vikavolt,Indeedee-F,9.101%
1930,Durant,Whimsicott,78.243%
1931,Durant,Calyrex-Shadow,75.551%
1932,Durant,Kyogre,43.683%
1933,Durant,Regieleki,43.257%
1934,Durant,Zacian-Crowned,39.367%
1935,Durant,Indeedee-F,37.469%
1936,Durant,Pikachu,23.695%
1937,Durant,Tsareena,23.695%
1938,Durant,Rillaboom,14.415%
1939,Durant,Thundurus,13.331%
1940,Cresselia,Zacian-Crowned,39.014%
1941,Cresselia,Groudon,33.496%
1942,Cresselia,Charizard,27.162%
1943,Cresselia,Rillaboom,26.056%
1944,Cresselia,Incineroar,25.520%
1945,Cresselia,Gastrodon,23.251%
1946,Cresselia,Kyogre,17.060%
1947,Cresselia,Yveltal,16.236%
1948,Cresselia,Calyrex-Ice,11.684%
1949,Cresselia,Dialga,9.398%
1950,Mr. Rime,Thundurus,97.498%
1951,Mr. Rime,Groudon,97.498%
1952,Mr. Rime,Centiskorch,97.288%
1953,Mr. Rime,Zamazenta-Crowned,97.288%
1954,Mr. Rime,Gastrodon,97.288%
1955,Mr. Rime,Venusaur,1.395%
1956,Mr. Rime,Calyrex-Ice,1.351%
1957,Mr. Rime,Torkoal,1.224%
1958,Mr. Rime,Barraskewda,1.185%
1959,Mr. Rime,Kyogre,1.185%
1960,Wishiwashi,Incineroar,98.945%
1961,Wishiwashi,Calyrex-Ice,97.137%
1962,Wishiwashi,Indeedee-F,93.042%
1963,Wishiwashi,Zacian-Crowned,93.029%
1964,Wishiwashi,Dusclops,93.029%
1965,Wishiwashi,Palkia,5.855%
1966,Wishiwashi,Ferrothorn,4.348%
1967,Wishiwashi,Regieleki,4.088%
1968,Wishiwashi,Lunala,1.635%
1969,Wishiwashi,Amoonguss,1.519%
1970,Conkeldurr,Regieleki,45.468%
1971,Conkeldurr,Yveltal,33.596%
1972,Conkeldurr,Solgaleo,31.920%
1973,Conkeldurr,Landorus-Therian,30.957%
1974,Conkeldurr,Rillaboom,28.369%
1975,Conkeldurr,Dusclops,21.777%
1976,Conkeldurr,Incineroar,16.101%
1977,Conkeldurr,Dragapult,16.057%
1978,Conkeldurr,Togekiss,12.300%
1979,Conkeldurr,Calyrex-Ice,12.251%
1980,Boltund,Zacian-Crowned,91.058%
