,Pokemon,Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%)
3558,Drednaw,Adamant,252/252/0/4/0/0,0.000%
3559,Drednaw,Hardy,252/211/0/0/0/0,0.000%
3560,Heatran,Modest,252/0/0/252/4/0,31.374%
3561,Heatran,Timid,20/0/4/252/12/220,25.650%
3562,Heatran,Calm,244/0/4/4/188/24,12.569%
3563,Heatran,Modest,0/0/0/252/4/252,6.944%
3564,Heatran,Bold,236/0/252/20/0/0,6.568%
3565,Heatran,Modest,252/0/4/252/0/0,3.680%
3566,Heatran,Bold,252/0/44/212/0/0,2.977%
3567,Heatran,Modest,0/0/140/252/116/0,2.287%
3568,Heatran,Modest,76/0/84/252/52/40,1.364%
3569,Heatran,Modest,68/0/4/236/4/196,1.162%
3570,Heatran,Timid,4/0/0/252/0/252,0.858%
3571,Heatran,Calm,252/0/36/216/0/0,0.818%
3572,Heatran,Calm,252/0/0/0/136/120,0.703%
3573,Heatran,Modest,188/0/12/156/12/140,0.626%
3574,Heatran,Modest,180/0/132/68/4/124,0.536%
3575,Heatran,Modest,252/0/0/252/0/4,0.455%
3576,Heatran,Modest,4/0/0/252/0/252,0.271%
3577,Heatran,Quiet,252/0/4/252/0/0,0.269%
3578,Heatran,Bold,124/0/180/20/180/0,0.220%
3579,Heatran,Quiet,252/0/0/252/4/0,0.204%
3580,Clefable,Sassy,252/0/180/0/76/0,82.886%
3581,Clefable,Calm,252/0/0/4/252/0,4.436%
3582,Clefable,Calm,252/0/148/4/100/0,2.761%
3583,Clefable,Calm,252/0/4/0/252/0,2.583%
3584,Clefable,Bold,252/0/132/0/124/0,2.012%
3585,Clefable,Bold,252/0/252/4/0/0,1.443%
3586,Clefable,Bold,252/0/4/0/252/0,1.439%
3587,Clefable,Relaxed,252/0/252/0/4/0,0.573%
3588,Clefable,Modest,252/0/0/252/4/0,0.515%
3589,Clefable,Hardy,252/0/4/252/0/0,0.360%
3590,Clefable,Hardy,242/0/116/128/20/0,0.165%
3591,Clefable,Hardy,136/0/116/156/0/0,0.148%
3592,Clefable,Sassy,252/0/4/0/252/0,0.132%
3593,Clefable,Serious,52/200/4/0/252/0,0.112%
3594,Clefable,Bold,252/0/252/0/4/0,0.059%
3595,Clefable,Bold,4/0/252/0/252/0,0.052%
3596,Clefable,Sassy,252/4/0/0/252/0,0.049%
3597,Clefable,Hardy,252/0/132/0/116/0,0.047%
3598,Clefable,Modest,4/0/252/0/252/0,0.037%
3599,Clefable,Bold,252/0/132/0/120/0,0.030%
3600,Appletun,Bold,180/0/156/0/172/0,39.147%
3601,Appletun,Bold,180/0/204/0/124/0,26.145%
3602,Appletun,Modest,252/0/0/252/4/0,19.609%
3603,Appletun,Calm,252/0/0/4/252/0,7.314%
3604,Appletun,Sassy,196/0/156/0/156/0,3.083%
3605,Appletun,Quiet,252/4/60/132/60/0,1.691%
3606,Appletun,Quiet,252/0/0/252/4/0,0.923%
3607,Appletun,Sassy,252/4/0/0/252/0,0.845%
3608,Appletun,Hardy,164/0/156/84/100/0,0.307%
3609,Appletun,Brave,76/236/148/0/44/0,0.234%
3610,Appletun,Hardy,252/0/0/4/252/0,0.141%
3611,Appletun,Sassy,252/0/0/252/4/0,0.129%
3612,Appletun,Brave,252/132/60/0/60/0,0.112%
3613,Appletun,Sassy,252/0/0/4/252/0,0.079%
3614,Appletun,Modest,4/0/0/252/252/0,0.078%
3615,Appletun,Sassy,248/0/0/8/252/0,0.056%
3616,Appletun,Bold,252/0/252/0/0/4,0.053%
3617,Appletun,Relaxed,4/0/252/252/0/0,0.020%
3618,Appletun,Adamant,76/220/44/0/44/124,0.009%
3619,Appletun,Calm,244/0/0/12/252/0,0.008%
3620,Bisharp,Adamant,0/252/0/0/4/252,41.604%
3621,Bisharp,Adamant,252/252/0/0/4/0,38.534%
3622,Bisharp,Adamant,0/252/4/0/0/252,6.689%
3623,Bisharp,Adamant,4/252/252/0/0/0,3.974%
3624,Bisharp,Jolly,0/252/0/0/4/252,2.777%
3625,Bisharp,Adamant,4/252/0/0/0/252,2.422%
3626,Bisharp,Jolly,0/252/0/0/0/252,1.946%
3627,Bisharp,Hardy,1/0/0/0/0/0,1.157%
3628,Bisharp,Brave,252/252/0/0/4/0,0.121%
3629,Bisharp,Jolly,0/4/252/0/0/252,0.105%
3630,Bisharp,Adamant,0/252/0/0/4/0,0.105%
3631,Bisharp,Careful,0/252/132/0/124/0,0.095%
3632,Bisharp,Hardy,80/252/76/0/0/96,0.084%
3633,Bisharp,Jolly,0/252/4/0/0/252,0.079%
3634,Bisharp,Jolly,4/116/220/0/76/88,0.061%
3635,Bisharp,Jolly,4/0/0/0/252/252,0.061%
3636,Bisharp,Adamant,4/252/0/0/252/0,0.059%
3637,Bisharp,Impish,252/4/252/0/0/0,0.056%
3638,Bisharp,Adamant,68/252/0/0/0/188,0.026%
3639,Bisharp,Impish,252/0/132/0/124/0,0.013%
3640,Registeel,Bold,220/0/252/0/36/0,65.014%
3641,Registeel,Bold,252/0/156/0/100/0,10.380%
3642,Registeel,Impish,252/0/252/0/4/0,10.004%
3643,Registeel,Impish,252/0/148/0/108/0,5.969%
3644,Registeel,Careful,252/4/0/0/252/0,2.031%
3645,Registeel,Adamant,252/100/108/0/44/0,1.696%
3646,Registeel,Impish,220/0/252/0/36/0,1.685%
3647,Registeel,Calm,252/0/124/0/128/0,1.684%
3648,Registeel,Bold,4/0/252/0/252/0,0.734%
3649,Registeel,Relaxed,252/0/236/0/20/0,0.643%
3650,Registeel,Brave,252/0/124/0/128/0,0.065%
3651,Registeel,Bold,252/0/252/0/4/0,0.049%
3652,Registeel,Careful,252/252/0/0/4/0,0.020%
3653,Registeel,Serious,164/0/172/0/172/2,0.013%
3654,Registeel,Bold,188/0/236/0/0/84,0.006%
3655,Registeel,Adamant,4/252/252/0/0/0,0.004%
3656,Registeel,Calm,252/0/60/0/196/0,0.003%
3657,Registeel,Sassy,252/4/0/0/252/0,0.001%
3658,Registeel,Bold,252/0/204/0/52/0,0.001%
3659,Registeel,Impish,252/40/164/0/52/0,0.000%
3660,Rhyperior,Adamant,220/76/20/0/180/12,24.724%
3661,Rhyperior,Sassy,4/252/0/0/252/0,16.064%
3662,Rhyperior,Sassy,76/252/52/4/124/0,14.640%
3663,Rhyperior,Adamant,252/252/0/0/4/0,14.179%
3664,Rhyperior,Brave,0/156/148/0/204/0,10.016%
3665,Rhyperior,Brave,252/252/0/0/4/0,7.258%
3666,Rhyperior,Adamant,0/252/0/0/4/252,6.738%
3667,Rhyperior,Sassy,252/252/0/0/4/0,2.055%
3668,Rhyperior,Modest,252/0/0/0/252/0,1.114%
3669,Rhyperior,Brave,92/252/0/0/164/0,0.956%
3670,Rhyperior,Brave,252/252/4/0/0/0,0.545%
3671,Rhyperior,Jolly,0/252/0/0/4/252,0.435%
3672,Rhyperior,Brave,0/252/252/0/4/0,0.404%
3673,Rhyperior,Adamant,0/252/0/0/0/252,0.205%
3674,Rhyperior,Adamant,252/252/0/0/0/4,0.128%
3675,Rhyperior,Jolly,4/252/0/0/0/252,0.091%
3676,Rhyperior,Brave,54/31/36/0/31/0,0.077%
3677,Rhyperior,Brave,68/0/252/0/188/0,0.066%
3678,Rhyperior,Adamant,252/252/4/0/0/0,0.039%
3679,Rhyperior,Adamant,4/252/0/0/252/0,0.038%
3680,Stonjourner,Impish,252/4/252/0/0/0,60.433%
3681,Stonjourner,Impish,252/0/0/0/252/4,17.236%
3682,Stonjourner,Jolly,204/0/0/0/52/252,7.254%
3683,Stonjourner,Adamant,0/252/0/0/4/252,3.710%
3684,Stonjourner,Adamant,0/252/0/0/0/252,3.692%
3685,Stonjourner,Hardy,252/4/252/0/0/0,2.699%
3686,Stonjourner,Relaxed,252/0/252/0/4/0,2.214%
3687,Stonjourner,Bold,252/0/252/0/4/0,1.084%
3688,Stonjourner,Jolly,4/252/0/0/0/252,0.544%
3689,Stonjourner,Careful,4/0/0/0/252/252,0.514%
3690,Stonjourner,Hardy,196/28/196/0/0/84,0.407%
3691,Stonjourner,Adamant,0/252/180/0/72/0,0.145%
3692,Stonjourner,Impish,252/0/252/0/4/0,0.036%
3693,Stonjourner,Jolly,0/252/4/0/0/252,0.019%
3694,Stonjourner,Careful,4/252/0/0/252/0,0.008%
3695,Stonjourner,Adamant,252/252/0/0/4/0,0.004%
3696,Stonjourner,Jolly,0/252/0/0/4/252,0.001%
3697,Stonjourner,Impish,0/10/244/0/0/248,0.000%
3698,Stonjourner,Impish,208/48/252/0/0/0,0.000%
3699,Stonjourner,Jolly,188/4/68/0/60/188,0.000%
3700,Electivire,Jolly,28/248/0/0/4/228,91.561%
3701,Electivire,Jolly,0/252/0/0/0/252,4.130%
3702,Electivire,Lonely,0/252/0/4/0/252,1.873%
3703,Electivire,Jolly,4/252/0/0/0/252,1.173%
3704,Electivire,Jolly,28/252/4/0/4/220,0.664%
3705,Electivire,Adamant,0/252/0/0/4/252,0.240%
3706,Electivire,Adamant,252/252/0/0/0/0,0.114%
3707,Electivire,Adamant,0/252/0/0/0/252,0.054%
3708,Electivire,Brave,100/252/148/0/4/0,0.051%
3709,Electivire,Adamant,248/248/0/0/0/12,0.047%
3710,Electivire,Jolly,180/252/0/0/0/76,0.046%
3711,Electivire,Hardy,164/0/0/252/0/92,0.017%
3712,Electivire,Hasty,0/252/0/4/0/252,0.011%
3713,Electivire,Adamant,88/252/148/0/20/0,0.008%
3714,Electivire,Adamant,4/252/0/0/0/252,0.005%
3715,Electivire,Adamant,20/252/4/0/4/228,0.003%
3716,Electivire,Hardy,0/248/4/252/0/0,0.001%
3717,Electivire,Modest,0/0/0/252/4/252,0.001%
3718,Electivire,Adamant,132/252/124/0/0/0,0.000%
3719,Electivire,Hardy,0/252/0/0/0/252,0.000%
3720,Leafeon,Adamant,252/248/0/0/0/0,40.108%
3721,Leafeon,Adamant,0/252/0/0/4/252,24.783%
3722,Leafeon,Jolly,84/196/0/0/0/228,19.293%
3723,Leafeon,Jolly,4/252/92/0/20/140,5.687%
3724,Leafeon,Jolly,0/252/0/0/4/252,5.337%
3725,Leafeon,Jolly,252/36/0/0/76/140,2.636%
3726,Leafeon,Adamant,236/252/0/0/0/20,0.588%
3727,Leafeon,Hardy,68/236/4/0/4/196,0.248%
3728,Leafeon,Adamant,68/252/0/0/0/188,0.235%
3729,Leafeon,Naughty,0/252/0/4/0/252,0.171%
3730,Leafeon,Jolly,118/252/0/0/0/140,0.151%
3731,Leafeon,Adamant,0/252/4/0/0/252,0.135%
3732,Leafeon,Jolly,0/252/4/0/0/252,0.130%
3733,Leafeon,Adamant,252/252/0/0/4/0,0.118%
3734,Leafeon,Jolly,4/252/0/0/0/252,0.094%
3735,Leafeon,Hardy,132/0/124/0/0/252,0.075%
3736,Leafeon,Adamant,0/252/252/0/0/0,0.065%
3737,Leafeon,Adamant,4/252/0/0/0/252,0.056%
3738,Leafeon,Impish,220/12/76/0/4/196,0.048%
3739,Leafeon,Adamant,0/252/0/0/0/252,0.021%
3740,Abomasnow,Quiet,252/0/0/236/20/0,31.662%
3741,Abomasnow,Adamant,252/252/0/0/4/0,24.453%
3742,Abomasnow,Timid,36/0/0/252/0/220,19.107%
3743,Abomasnow,Modest,252/0/0/252/4/0,15.852%
3744,Abomasnow,Quiet,252/4/0/252/0/0,7.756%
3745,Abomasnow,Modest,4/0/252/0/252/0,0.491%
3746,Abomasnow,Relaxed,252/0/252/0/4/0,0.239%
3747,Abomasnow,Quiet,252/60/0/108/86/0,0.103%
3748,Abomasnow,Quiet,232/0/0/252/24/0,0.068%
3749,Abomasnow,Quiet,252/0/4/252/0/0,0.058%
3750,Abomasnow,Hardy,252/4/0/252/0/0,0.055%
3751,Abomasnow,Quiet,252/0/0/252/4/0,0.047%
3752,Abomasnow,Modest,0/0/0/252/4/252,0.036%
3753,Abomasnow,Modest,252/0/0/156/100/0,0.027%
3754,Abomasnow,Sassy,252/4/0/0/252/0,0.023%
3755,Abomasnow,Careful,252/4/0/0/252/0,0.008%
3756,Abomasnow,Brave,248/252/0/8/0/0,0.007%
3757,Abomasnow,Calm,252/0/0/4/252/0,0.004%
3758,Abomasnow,Modest,0/0/52/204/252/0,0.002%
3759,Abomasnow,Calm,252/0/0/0/252/0,0.001%
3760,Diggersby,Adamant,140/252/4/0/4/108,48.091%
3761,Diggersby,Adamant,4/252/0/0/0/252,40.528%
3762,Diggersby,Jolly,4/252/0/0/0/252,11.074%
3763,Diggersby,Adamant,244/252/0/0/12/0,0.196%
3764,Diggersby,Jolly,0/252/0/0/0/252,0.093%
3765,Diggersby,Hardy,0/252/0/0/4/252,0.019%
3766,Diggersby,Adamant,12/240/0/0/0/252,0.000%
3767,Diggersby,Brave,156/252/100/0/0/0,0.000%
3768,Diggersby,Adamant,0/252/0/0/0/252,0.000%
3769,Diggersby,Timid,252/0/116/0/124/12,0.000%
3770,Diggersby,Adamant,128/128/0/0/0/252,0.000%
3771,Diggersby,Jolly,0/252/4/0/0/252,0.000%
3772,Diggersby,Impish,252/0/252/0/4/0,0.000%
3773,Diggersby,Adamant,0/252/76/0/76/104,0.000%
3774,Diggersby,Jolly,0/252/0/0/4/252,0.000%
3775,Diggersby,Adamant,100/252/0/0/0/156,0.000%
3776,Diggersby,Careful,252/0/4/0/252/0,0.000%
3777,Diggersby,Jolly,0/252/0/0/12/244,0.000%
3778,Diggersby,Hardy,124/252/0/0/0/132,0.000%
3779,Diggersby,Hardy,36/152/60/152/56/48,0.000%
3780,Giratina,Adamant,248/252/0/0/8/0,17.320%
3781,Giratina,Jolly,4/252/0/0/0/252,14.957%
3782,Giratina,Impish,116/0/156/0/236/0,12.067%
3783,Giratina,Adamant,4/252/124/0/124/4,11.096%
3784,Giratina,Naughty,0/236/0/252/0/20,7.198%
3785,Giratina,Modest,252/0/0/236/0/20,6.335%
3786,Giratina,Bold,220/0/60/116/84/28,6.014%
3787,Giratina,Bold,244/0/116/124/4/20,5.990%
3788,Giratina,Quiet,252/0/0/76/180/0,5.216%
3789,Giratina,Modest,28/0/0/252/0/228,3.573%
3790,Giratina,Bold,248/0/0/8/252/0,2.109%
3791,Giratina,Bold,252/0/164/0/92/0,1.731%
3792,Giratina,Jolly,0/252/0/0/4/252,1.608%
3793,Giratina,Calm,0/0/196/156/156/0,0.996%
3794,Giratina,Modest,4/0/0/252/0/252,0.699%
3795,Giratina,Adamant,252/252/0/0/0/4,0.665%
3796,Giratina,Careful,252/44/164/0/44/0,0.634%
3797,Giratina,Adamant,252/252/0/0/4/0,0.236%
3798,Giratina,Modest,252/0/0/252/4/0,0.231%
3799,Giratina,Modest,0/0/196/0/188/124,0.185%
3800,Swoobat,Timid,252/0/0/0/4/252,84.987%
3801,Swoobat,Timid,252/0/0/4/0/252,9.757%
3802,Swoobat,Timid,0/0/0/252/4/252,3.099%
3803,Swoobat,Timid,60/0/92/0/98/252,1.748%
3804,Swoobat,Modest,0/0/0/252/4/252,0.408%
3805,Swoobat,Hardy,84/0/0/0/0/0,0.000%
3806,Swoobat,Timid,252/0/4/0/0/252,0.000%
3807,Swoobat,Modest,228/0/12/180/4/84,0.000%
3808,Swoobat,Hardy,68/0/100/0/88/252,0.000%
3809,Swoobat,Jolly,0/252/0/0/0/228,0.000%
3810,Swoobat,Jolly,252/4/0/0/0/252,0.000%
3811,Swoobat,Modest,4/0/0/252/0/252,0.000%
3812,Swoobat,Hardy,252/0/0/0/4/252,0.000%
3813,Swoobat,Jolly,116/252/0/0/0/140,0.000%
3814,Swoobat,Timid,0/0/0/0/0/252,0.000%
3815,Swoobat,Timid,0/0/0/252/0/252,0.000%
3816,Swoobat,Jolly,252/0/4/0/0/252,0.000%
3817,Swoobat,Calm,4/0/0/0/252/252,0.000%
3818,Swoobat,Timid,4/0/0/252/0/252,0.000%
3819,Swoobat,Modest,252/0/0/252/4/0,0.000%
3820,Corviknight,Jolly,252/252/0/0/0/4,40.723%
3821,Corviknight,Impish,252/4/252/0/0/0,18.578%
3822,Corviknight,Relaxed,4/0/252/0/252/0,9.693%
3823,Corviknight,Impish,252/0/196/0/60/0,8.016%
3824,Corviknight,Careful,252/4/0/0/252/0,5.041%
3825,Corviknight,Impish,252/12/4/0/172/68,3.637%
3826,Corviknight,Impish,252/0/252/0/4/0,2.890%
3827,Corviknight,Adamant,252/60/0/0/0/196,2.057%
3828,Corviknight,Adamant,252/150/100/0/0/0,1.342%
3829,Corviknight,Careful,252/0/28/0/136/88,1.009%
3830,Corviknight,Adamant,0/160/252/0/96/0,1.005%
3831,Corviknight,Impish,252/84/92/0/60/20,0.799%
3832,Corviknight,Bold,252/0/252/4/0/0,0.677%
3833,Corviknight,Careful,212/0/0/0/252/44,0.672%
3834,Corviknight,Careful,252/0/4/0/252/0,0.612%
3835,Corviknight,Impish,220/0/252/0/36/0,0.583%
3836,Corviknight,Jolly,0/252/0/0/4/252,0.514%
3837,Corviknight,Adamant,252/92/0/0/164/0,0.497%
3838,Corviknight,Impish,252/4/124/0/128/0,0.448%
3839,Corviknight,Adamant,252/252/0/0/4/0,0.285%
3840,Vikavolt,Modest,244/0/0/252/12/0,47.850%
3841,Vikavolt,Quiet,252/0/0/212/44/0,34.871%
3842,Vikavolt,Quiet,252/0/0/252/4/0,6.840%
3843,Vikavolt,Modest,40/0/52/252/136/24,2.622%
3844,Vikavolt,Quiet,252/0/0/236/20/0,2.327%
3845,Vikavolt,Modest,236/0/60/196/12/4,1.636%
3846,Vikavolt,Timid,0/0/4/252/0/252,1.140%
3847,Vikavolt,Quiet,0/0/0/252/4/0,1.108%
3848,Vikavolt,Quiet,244/0/0/252/12/0,0.805%
3849,Vikavolt,Quiet,0/0/156/148/200/0,0.319%
3850,Vikavolt,Quiet,252/0/0/76/180/0,0.176%
3851,Vikavolt,Modest,252/0/0/252/4/0,0.154%
3852,Vikavolt,Quiet,252/0/4/252/0/0,0.076%
3853,Vikavolt,Timid,252/0/0/252/4/0,0.071%
3854,Vikavolt,Quiet,236/0/20/252/0/0,0.003%
3855,Vikavolt,Modest,0/0/0/252/4/252,0.002%
3856,Vikavolt,Modest,188/0/0/252/0/68,0.000%
3857,Vikavolt,Quiet,188/0/4/252/64/0,0.000%
3858,Vikavolt,Quiet,0/0/84/252/172/0,0.000%
3859,Vikavolt,Quiet,252/0/0/252/0/0,0.000%
3860,Durant,Jolly,4/252/0/0/0/252,71.069%
3861,Durant,Jolly,0/252/0/0/4/252,13.976%
3862,Durant,Jolly,20/144/4/0/148/192,13.296%
3863,Durant,Adamant,4/252/0/0/0/252,1.285%
3864,Durant,Jolly,0/252/4/0/0/252,0.253%
3865,Durant,Jolly,0/0/252/0/0/0,0.095%
3866,Durant,Jolly,0/0/252/0/0/252,0.024%
3867,Durant,Jolly,0/252/52/0/76/124,0.002%
3868,Durant,Hardy,252/0/4/0/0/252,0.000%
3869,Durant,Hardy,0/4/252/0/0/252,0.000%
3870,Durant,Jolly,0/252/252/0/4/0,0.000%
3871,Durant,Jolly,0/0/252/0/4/252,0.000%
3872,Durant,Jolly,60/252/12/0/0/180,0.000%
3873,Durant,Careful,0/0/124/0/128/252,0.000%
3874,Durant,Careful,0/0/252/0/252/0,0.000%
3875,Durant,Jolly,4/0/252/0/0/252,0.000%
3876,Durant,Jolly,0/0/0/0/252/252,0.000%
3877,Durant,Hardy,252/0/132/0/124/0,0.000%
3878,Durant,Naughty,0/252/4/0/0/252,0.000%
3879,Durant,Adamant,252/0/252/0/0/0,0.000%
3880,Cresselia,Bold,252/0/236/0/20/0,29.484%
3881,Cresselia,Calm,252/0/0/4/252/0,17.178%
3882,Cresselia,Calm,228/0/124/0/156/0,7.767%
3883,Cresselia,Calm,252/0/92/0/164/0,6.653%
3884,Cresselia,Calm,252/0/100/0/156/0,6.189%
3885,Cresselia,Bold,196/0/140/0/172/0,4.673%
3886,Cresselia,Modest,252/0/0/252/4/0,3.822%
3887,Cresselia,Calm,252/0/36/0/220/0,3.716%
3888,Cresselia,Bold,252/0/252/0/4/0,3.307%
3889,Cresselia,Sassy,252/0/252/0/4/0,1.981%
3890,Cresselia,Sassy,252/0/0/4/252/0,1.973%
3891,Cresselia,Bold,236/0/244/0/28/0,1.716%
3892,Cresselia,Calm,4/0/252/0/252/0,1.700%
3893,Cresselia,Sassy,252/0/4/0/252/0,1.545%
3894,Cresselia,Hardy,0/0/252/4/252/0,1.495%
3895,Cresselia,Timid,164/0/172/0/172/0,1.370%
3896,Cresselia,Bold,252/0/4/0/252/0,0.940%
3897,Cresselia,Bold,0/0/252/4/252/0,0.774%
3898,Cresselia,Relaxed,252/0/196/0/60/0,0.601%
3899,Cresselia,Calm,252/0/20/0/236/0,0.524%
3900,Mr. Rime,Modest,252/0/4/252/0/0,97.290%
3901,Mr. Rime,Calm,252/0/4/0/252/0,1.191%
3902,Mr. Rime,Quiet,138/83/108/175/0/0,1.033%
3903,Mr. Rime,Modest,44/0/84/220/4/156,0.210%
3904,Mr. Rime,Impish,252/0/252/0/4/0,0.203%
3905,Mr. Rime,Calm,252/0/148/4/100/4,0.037%
3906,Mr. Rime,Quiet,196/0/0/108/204/0,0.029%
3907,Mr. Rime,Calm,0/0/0/252/252/0,0.005%
3908,Mr. Rime,Jolly,0/252/0/0/4/252,0.001%
3909,Mr. Rime,Modest,252/0/116/140/0/0,0.001%
3910,Mr. Rime,Modest,252/0/204/52/0/0,0.000%
3911,Mr. Rime,Quiet,248/0/0/252/8/0,0.000%
3912,Mr. Rime,Modest,252/0/4/236/4/12,0.000%
3913,Mr. Rime,Hardy,0/4/252/0/0/252,0.000%
3914,Mr. Rime,Timid,36/0/0/252/0/220,0.000%
3915,Mr. Rime,Bold,252/0/116/0/140/0,0.000%
3916,Mr. Rime,Bold,252/0/252/0/0/4,0.000%
3917,Mr. Rime,Timid,0/0/4/252/0/252,0.000%
3918,Mr. Rime,Quiet,252/0/0/252/4/0,0.000%
3919,Mr. Rime,Timid,0/4/0/252/0/252,0.000%
3920,Wishiwashi,Quiet,252/0/4/252/0/0,93.167%
3921,Wishiwashi,Brave,252/252/4/0/0/0,6.763%
3922,Wishiwashi,Brave,244/252/0/0/12/0,0.049%
3923,Wishiwashi,Sassy,252/0/0/4/252/0,0.012%
3924,Wishiwashi,Quiet,244/0/0/252/12/0,0.008%
3925,Wishiwashi,Adamant,244/252/0/0/0/0,0.001%
3926,Wishiwashi,Relaxed,252/0/44/84/124/0,0.001%
3927,Wishiwashi,Lonely,244/252/0/12/0/0,0.000%
3928,Wishiwashi,Calm,244/0/0/12/252/0,0.000%
3929,Wishiwashi,Hardy,252/252/4/0/0/0,0.000%
3930,Wishiwashi,Quiet,248/8/0/252/0/0,0.000%
3931,Wishiwashi,Brave,208/252/44/0/4/0,0.000%
3932,Wishiwashi,Adamant,252/252/0/0/4/0,0.000%
3933,Wishiwashi,Rash,76/0/0/180/0/252,0.000%
3934,Wishiwashi,Relaxed,252/4/252/0/0/0,0.000%
3935,Wishiwashi,Hardy,0/0/252/252/0/0,0.000%
3936,Wishiwashi,Modest,252/0/0/252/4/0,0.000%
3937,Wishiwashi,Brave,212/140/0/156/0/0,0.000%
3938,Wishiwashi,Brave,252/252/0/0/4/0,0.000%
3939,Wishiwashi,Relaxed,0/0/4/252/252/0,0.000%
3940,Conkeldurr,Adamant,252/252/0/0/4/0,47.744%
3941,Conkeldurr,Brave,252/252/0/0/4/0,12.640%
3942,Conkeldurr,Brave,252/252/4/0/0/0,9.489%
3943,Conkeldurr,Adamant,0/252/0/0/0/252,6.339%
3944,Conkeldurr,Brave,60/252/0/0/196/0,6.293%
3945,Conkeldurr,Brave,0/252/4/0/252/0,3.660%
3946,Conkeldurr,Brave,68/252/0/0/188/0,3.558%
3947,Conkeldurr,Adamant,0/252/4/0/252/0,3.371%
3948,Conkeldurr,Adamant,120/252/0/0/116/20,2.343%
3949,Conkeldurr,Brave,140/252/0/0/116/0,1.409%
3950,Conkeldurr,Adamant,252/252/4/0/0/0,0.607%
3951,Conkeldurr,Brave,156/252/0/0/100/0,0.520%
3952,Conkeldurr,Hardy,252/252/0/0/4/0,0.475%
3953,Conkeldurr,Jolly,4/252/0/0/0/252,0.290%
3954,Conkeldurr,Adamant,108/252/28/0/120/0,0.249%
3955,Conkeldurr,Brave,252/172/4/0/76/0,0.195%
3956,Conkeldurr,Adamant,188/252/0/0/68/0,0.192%
3957,Conkeldurr,Adamant,4/252/252/0/0/0,0.093%
3958,Conkeldurr,Adamant,0/252/0/0/76/180,0.084%
3959,Conkeldurr,Adamant,140/228/140/0/0/0,0.075%
3960,Boltund,Timid,252/0/0/4/0/252,46.681%
3961,Boltund,Timid,4/0/0/252/0/252,46.123%
3962,Boltund,Timid,6/0/0/252/0/252,3.528%
3963,Boltund,Naive,4/0/0/252/0/252,2.954%
3964,Boltund,Jolly,4/252/0/0/0/252,0.384%
3965,Boltund,Hasty,4/0/0/252/0/252,0.257%
3966,Boltund,Timid,0/0/0/252/0/252,0.042%
3967,Boltund,Hasty,244/12/0/0/0/252,0.014%
3968,Boltund,Hardy,4/252/0/0/0/252,0.007%
3969,Boltund,Naive,0/0/4/252/0/252,0.003%
3970,Boltund,Modest,0/0/4/252/0/252,0.003%
3971,Boltund,Timid,0/0/4/252/0/252,0.002%
3972,Boltund,Timid,0/0/0/252/4/252,0.002%
3973,Boltund,Jolly,252/4/0/0/0/252,0.001%
3974,Boltund,Timid,68/0/4/180/4/252,0.000%
3975,Boltund,Timid,104/0/0/188/0/216,0.000%
3976,Boltund,Hardy,132/100/28/108/60/80,0.000%
3977,Boltund,Adamant,0/252/0/252/0/0,0.000%
3978,Boltund,Serious,4/0/0/252/0/0,0.000%
3979,Boltund,Timid,0/4/0/252/0/252,0.000%
3980,Terrakion,Jolly,0/252/0/0/4/252,64.803%
3981,Terrakion,Jolly,68/252/4/0/4/180,18.083%
3982,Terrakion,Jolly,4/252/0/0/0/252,5.377%
3983,Terrakion,Hasty,0/252/0/4/0/252,4.365%
3984,Terrakion,Jolly,28/252/28/0/4/196,3.364%
3985,Terrakion,Adamant,0/252/0/0/4/252,2.390%
3986,Terrakion,Careful,0/0/252/0/252/0,0.519%
3987,Terrakion,Jolly,0/252/4/0/0/252,0.352%
3988,Terrakion,Adamant,252/0/124/0/128/0,0.350%
3989,Terrakion,Jolly,92/132/28/0/4/252,0.244%
3990,Terrakion,Jolly,108/84/76/0/68/172,0.045%
3991,Terrakion,Hardy,4/0/124/0/126/252,0.024%
3992,Terrakion,Jolly,68/156/36/0/12/236,0.024%
3993,Terrakion,Timid,4/252/0/0/0/252,0.023%
3994,Terrakion,Jolly,0/4/0/0/252/252,0.020%
3995,Terrakion,Impish,0/252/252/0/0/0,0.009%
3996,Terrakion,Jolly,0/252/0/0/0/252,0.002%
3997,Terrakion,Jolly,6/252/0/0/0/252,0.002%
3998,Terrakion,Hardy,0/252/0/0/0/252,0.001%
3999,Terrakion,Hardy,4/252/0/0/0/252,0.001%
4000,Cobalion,Adamant,132/252/4/0/36/84,44.248%
4001,Cobalion,Jolly,4/252/0/0/0/252,20.478%
4002,Cobalion,Jolly,0/252/0/0/4/252,14.046%
4003,Cobalion,Jolly,36/180/36/0/60/196,9.785%
4004,Cobalion,Jolly,76/228/0/0/0/204,5.285%
4005,Cobalion,Jolly,28/252/4/0/4/220,1.711%
4006,Cobalion,Adamant,196/236/4/0/20/52,1.359%
4007,Cobalion,Jolly,4/192/0/0/60/252,0.952%
4008,Cobalion,Adamant,84/172/4/0/12/236,0.701%
4009,Cobalion,Jolly,4/0/252/0/0/252,0.300%
4010,Cobalion,Jolly,4/164/52/0/36/252,0.286%
4011,Cobalion,Adamant,4/252/0/0/0/252,0.213%
4012,Cobalion,Adamant,212/252/4/0/28/12,0.204%
