,NationalPokedexNumber,Name,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,image_url,Vgc2022Rules,MonthlyUsageMarch2022,UsagePercentMarch2022,MonthlyRankMarch2022
284,215,Sneasel,Sneasel,,2,Common,Dark,Ice,430.0,55.0,95.0,55.0,35.0,75.0,115.0,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,Permitted,3,0,108
285,216,Teddiursa,Teddiursa,,2,Common,Normal,,330.0,60.0,80.0,50.0,50.0,50.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png,,,,
286,217,Ursaring,Ursaring,,2,Common,Normal,,500.0,90.0,130.0,75.0,75.0,75.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png,,,,
287,218,Slugma,Slugma,,2,Common,Fire,,250.0,40.0,40.0,40.0,70.0,40.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png,,,,
288,219,Magcargo,Magcargo,,2,Common,Fire,Rock,430.0,60.0,50.0,120.0,90.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png,,,,
289,220,Swinub,Swinub,,2,Common,Ice,Ground,250.0,50.0,50.0,40.0,30.0,30.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png,Permitted,,,
290,221,Piloswine,Piloswine,,2,Common,Ice,Ground,450.0,100.0,100.0,80.0,60.0,60.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png,Permitted,,,
291,222,Corsola,Corsola,,2,Common,Water,Rock,410.0,65.0,55.0,95.0,65.0,95.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png,,-,-,-
292,222,Galarian Corsola,Corsola,Galarian,8,Common,Ghost,,410.0,60.0,55.0,100.0,65.0,100.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png,Permitted,-,-,-
293,223,Remoraid,Remoraid,,2,Common,Water,,300.0,35.0,65.0,35.0,65.0,35.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png,Permitted,,,
294,224,Octillery,Octillery,,2,Common,Water,,480.0,75.0,105.0,75.0,105.0,75.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png,Permitted,,,
295,225,Delibird,Delibird,,2,Common,Ice,Flying,330.0,45.0,55.0,45.0,65.0,45.0,75.0,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png,Permitted,,,
296,226,Mantine,Mantine,,2,Common,Water,Flying,485.0,85.0,40.0,70.0,80.0,140.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,Permitted,3,0,203
297,227,Skarmory,Skarmory,,2,Common,Steel,Flying,465.0,65.0,80.0,140.0,40.0,70.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png,Permitted,,,
298,228,Houndour,Houndour,,2,Common,Dark,Fire,330.0,45.0,60.0,30.0,80.0,50.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png,,,,
299,229,Houndoom,Houndoom,,2,Common,Dark,Fire,500.0,75.0,90.0,50.0,110.0,80.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png,,,,
300,229,Mega Houndoom,Houndoom,Mega,6,Common,Dark,Fire,600.0,75.0,90.0,90.0,140.0,90.0,115.0,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png,Banned,,,
301,230,Kingdra,Kingdra,,2,Common,Water,Dragon,540.0,75.0,95.0,95.0,95.0,95.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png,Permitted,37,3,34
302,231,Phanpy,Phanpy,,2,Common,Ground,,330.0,90.0,60.0,60.0,40.0,40.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png,,,,
303,232,Donphan,Donphan,,2,Common,Ground,,500.0,90.0,120.0,120.0,60.0,60.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png,,,,
304,233,Porygon2,Porygon2,,2,Common,Normal,,515.0,85.0,80.0,90.0,105.0,95.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png,Permitted,117,9,19
305,234,Stantler,Stantler,,2,Common,Normal,,465.0,73.0,95.0,62.0,85.0,65.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png,,,,
306,235,Smeargle,Smeargle,,2,Common,Normal,,250.0,55.0,20.0,35.0,20.0,45.0,75.0,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png,,,,
307,236,Tyrogue,Tyrogue,,2,Baby,Fighting,,210.0,35.0,35.0,35.0,35.0,35.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,Permitted,,,
308,237,Hitmontop,Hitmontop,,2,Common,Fighting,,455.0,50.0,95.0,95.0,35.0,110.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,Permitted,27,0,89
309,238,Smoochum,Smoochum,,2,Baby,Ice,Psychic,305.0,45.0,30.0,15.0,85.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,Permitted,,,
310,239,Elekid,Elekid,,2,Baby,Electric,,360.0,45.0,63.0,37.0,65.0,55.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,Permitted,,,
311,240,Magby,Magby,,2,Baby,Fire,,365.0,45.0,75.0,37.0,70.0,55.0,83.0,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,Permitted,,,
312,241,Miltank,Miltank,,2,Common,Normal,,490.0,95.0,80.0,105.0,40.0,70.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png,Permitted,-,-,-
313,242,Blissey,Blissey,,2,Common,Normal,,540.0,255.0,10.0,10.0,75.0,135.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,Permitted,3,0,223
314,243,Raikou,Raikou,,2,Legendary,Electric,,580.0,90.0,85.0,75.0,115.0,100.0,115.0,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png,Permitted,7,0,125
315,244,Entei,Entei,,2,Legendary,Fire,,580.0,115.0,115.0,85.0,90.0,75.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png,Permitted,50,2,37
316,245,Suicune,Suicune,,2,Legendary,Water,,580.0,100.0,75.0,115.0,90.0,115.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png,Permitted,28,0,77
317,246,Larvitar,Larvitar,,2,Common,Rock,Ground,300.0,50.0,64.0,50.0,45.0,50.0,41.0,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png,Permitted,,,
318,247,Pupitar,Pupitar,,2,Common,Rock,Ground,410.0,70.0,84.0,70.0,65.0,70.0,51.0,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png,Permitted,,,
319,248,Mega Tyranitar,Tyranitar,Mega,6,Common,Rock,Dark,700.0,100.0,164.0,150.0,95.0,120.0,71.0,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png,Banned,,,
320,248,Tyranitar,Tyranitar,,2,Common,Rock,Dark,600.0,100.0,134.0,110.0,95.0,100.0,61.0,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png,Permitted,24,0,118
321,249,Lugia,Lugia,,2,Legendary,Psychic,Flying,680.0,106.0,90.0,130.0,90.0,154.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png,Restricted (players can include two Restricted Pokémon in their team),27,0,75
322,250,Ho-oh,Ho-oh,,2,Legendary,Fire,Flying,680.0,106.0,130.0,90.0,110.0,154.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png,Restricted (players can include two Restricted Pokémon in their team),75,1,47
323,251,Celebi,Celebi,,2,Mythical,Psychic,Grass,600.0,100.0,100.0,100.0,100.0,100.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png,Banned,,,
324,252,Treecko,Treecko,,3,Common,Grass,,310.0,40.0,45.0,35.0,65.0,55.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png,Permitted,,,
325,253,Grovyle,Grovyle,,3,Common,Grass,,405.0,50.0,65.0,45.0,85.0,65.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png,Permitted,,,
326,254,Mega Sceptile,Sceptile,Mega,6,Common,Grass,Dragon,630.0,70.0,110.0,75.0,145.0,85.0,145.0,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png,Banned,,,
327,254,Sceptile,Sceptile,,3,Common,Grass,,530.0,70.0,85.0,65.0,105.0,85.0,120.0,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,Permitted,5,0,146
328,255,Torchic,Torchic,,3,Common,Fire,,310.0,45.0,60.0,40.0,70.0,50.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png,Permitted,,,
329,256,Combusken,Combusken,,3,Common,Fire,Fighting,405.0,60.0,85.0,60.0,85.0,60.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png,Permitted,,,
330,257,Blaziken,Blaziken,,3,Common,Fire,Fighting,530.0,80.0,120.0,70.0,110.0,70.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,Permitted,6,0,225
331,257,Mega Blaziken,Blaziken,Mega,6,Common,Fire,Fighting,630.0,80.0,160.0,80.0,130.0,80.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png,Banned,,,
332,258,Mudkip,Mudkip,,3,Common,Water,,310.0,50.0,70.0,50.0,50.0,50.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png,Permitted,,,
333,259,Marshtomp,Marshtomp,,3,Common,Water,Ground,405.0,70.0,85.0,70.0,60.0,70.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png,Permitted,,,
334,260,Mega Swampert,Swampert,Mega,6,Common,Water,Ground,635.0,100.0,150.0,110.0,95.0,110.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png,Banned,,,
335,260,Swampert,Swampert,,3,Common,Water,Ground,535.0,100.0,110.0,90.0,85.0,90.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,Permitted,7,0,114
336,261,Poochyena,Poochyena,,3,Common,Dark,,220.0,35.0,55.0,35.0,30.0,30.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png,,,,
337,262,Mightyena,Mightyena,,3,Common,Dark,,420.0,70.0,90.0,70.0,60.0,60.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png,,,,
338,263,Zigzagoon,Zigzagoon,,3,Common,Normal,,240.0,38.0,30.0,41.0,30.0,41.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png,,,,
339,263,Galarian Zigzagoon,Zigzagoon,Galarian,8,Common,Dark,Normal,240.0,38.0,30.0,41.0,30.0,41.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png,Permitted,,,
340,264,Linoone,Linoone,,3,Common,Normal,,420.0,78.0,70.0,61.0,50.0,61.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png,Permitted,,,
341,264,Galarian Linoone,Linoone,Galarian,8,Common,Dark,Normal,420.0,78.0,70.0,61.0,50.0,61.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png,Permitted,,,
342,265,Wurmple,Wurmple,,3,Common,Bug,,195.0,45.0,45.0,35.0,20.0,30.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png,,,,
343,266,Silcoon,Silcoon,,3,Common,Bug,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png,,,,
344,267,Beautifly,Beautifly,,3,Common,Bug,Flying,395.0,60.0,70.0,50.0,100.0,50.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png,,,,
345,268,Cascoon,Cascoon,,3,Common,Bug,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png,,,,
346,269,Dustox,Dustox,,3,Common,Bug,Poison,385.0,60.0,50.0,70.0,50.0,90.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png,,,,
347,270,Lotad,Lotad,,3,Common,Water,Grass,220.0,40.0,30.0,30.0,40.0,50.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png,Permitted,,,
348,271,Lombre,Lombre,,3,Common,Water,Grass,340.0,60.0,50.0,50.0,60.0,70.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png,Permitted,,,
349,272,Ludicolo,Ludicolo,,3,Common,Water,Grass,480.0,80.0,70.0,70.0,90.0,100.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png,Permitted,16,0,112
350,273,Seedot,Seedot,,3,Common,Grass,,220.0,40.0,40.0,50.0,30.0,30.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png,Permitted,,,
351,274,Nuzleaf,Nuzleaf,,3,Common,Grass,Dark,340.0,70.0,70.0,40.0,60.0,40.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png,Permitted,,,
352,275,Shiftry,Shiftry,,3,Common,Grass,Dark,480.0,90.0,100.0,60.0,90.0,60.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png,Permitted,3,0,142
353,276,Taillow,Taillow,,3,Common,Normal,Flying,270.0,40.0,55.0,30.0,30.0,30.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png,,,,
354,277,Swellow,Swellow,,3,Common,Normal,Flying,455.0,60.0,85.0,60.0,75.0,50.0,125.0,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png,,,,
355,278,Wingull,Wingull,,3,Common,Water,Flying,270.0,40.0,30.0,30.0,55.0,30.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png,Permitted,,,
356,279,Pelipper,Pelipper,,3,Common,Water,Flying,440.0,60.0,50.0,100.0,95.0,70.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png,Permitted,8,0,126
357,280,Ralts,Ralts,,3,Common,Psychic,Fairy,198.0,28.0,25.0,25.0,45.0,35.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png,Permitted,,,
358,281,Kirlia,Kirlia,,3,Common,Psychic,Fairy,278.0,38.0,35.0,35.0,65.0,55.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png,Permitted,,,
359,282,Gardevoir,Gardevoir,,3,Common,Psychic,Fairy,518.0,68.0,65.0,65.0,125.0,115.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png,Permitted,-,-,-
360,282,Mega Gardevoir,Gardevoir,Mega,6,Common,Psychic,Fairy,618.0,68.0,85.0,65.0,165.0,135.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png,Banned,,,
361,283,Surskit,Surskit,,3,Common,Bug,Water,269.0,40.0,30.0,32.0,50.0,52.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png,,,,
362,284,Masquerain,Masquerain,,3,Common,Bug,Flying,454.0,70.0,60.0,62.0,100.0,82.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png,,,,
363,285,Shroomish,Shroomish,,3,Common,Grass,,295.0,60.0,40.0,60.0,40.0,60.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png,,,,
364,286,Breloom,Breloom,,3,Common,Grass,Fighting,460.0,60.0,130.0,80.0,60.0,60.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png,,,,
365,287,Slakoth,Slakoth,,3,Common,Normal,,280.0,60.0,60.0,60.0,35.0,35.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png,,,,
366,288,Vigoroth,Vigoroth,,3,Common,Normal,,440.0,80.0,80.0,80.0,55.0,55.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png,,,,
367,289,Slaking,Slaking,,3,Common,Normal,,670.0,150.0,160.0,100.0,95.0,65.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png,,,,
368,290,Nincada,Nincada,,3,Common,Bug,Ground,266.0,31.0,45.0,90.0,30.0,30.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png,Permitted,,,
369,291,Ninjask,Ninjask,,3,Common,Bug,Flying,456.0,61.0,90.0,45.0,50.0,50.0,160.0,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png,Permitted,-,-,-
370,292,Shedinja,Shedinja,,3,Common,Bug,Ghost,236.0,1.0,90.0,45.0,30.0,30.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png,Permitted,42,4,30
371,293,Whismur,Whismur,,3,Common,Normal,,240.0,64.0,51.0,23.0,51.0,23.0,28.0,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png,Permitted,,,
372,294,Loudred,Loudred,,3,Common,Normal,,360.0,84.0,71.0,43.0,71.0,43.0,48.0,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png,Permitted,,,
373,295,Exploud,Exploud,,3,Common,Normal,,490.0,104.0,91.0,63.0,91.0,73.0,68.0,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png,Permitted,-,-,-
374,296,Makuhita,Makuhita,,3,Common,Fighting,,237.0,72.0,60.0,30.0,20.0,30.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png,,,,
375,297,Hariyama,Hariyama,,3,Common,Fighting,,474.0,144.0,120.0,60.0,40.0,60.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png,,,,
376,298,Azurill,Azurill,,3,Baby,Normal,Fairy,190.0,50.0,20.0,40.0,20.0,40.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png,Permitted,,,
377,299,Nosepass,Nosepass,,3,Common,Rock,,375.0,30.0,45.0,135.0,45.0,90.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png,,,,
378,300,Skitty,Skitty,,3,Common,Normal,,260.0,50.0,45.0,45.0,35.0,35.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png,,,,
379,301,Delcatty,Delcatty,,3,Common,Normal,,400.0,70.0,65.0,65.0,55.0,55.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png,,,,
380,302,Mega Sableye,Sableye,Mega,6,Common,Dark,Ghost,480.0,50.0,85.0,125.0,85.0,115.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png,Banned,,,
381,302,Sableye,Sableye,,3,Common,Dark,Ghost,380.0,50.0,75.0,75.0,65.0,65.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png,Permitted,47,2,41
382,303,Mawile,Mawile,,3,Common,Steel,Fairy,380.0,50.0,85.0,85.0,55.0,55.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png,Permitted,,,
383,303,Mega Mawile,Mawile,Mega,6,Common,Steel,Fairy,480.0,50.0,105.0,125.0,55.0,95.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png,Banned,,,
384,304,Aron,Aron,,3,Common,Steel,Rock,330.0,50.0,70.0,100.0,40.0,40.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png,Permitted,,,
385,305,Lairon,Lairon,,3,Common,Steel,Rock,430.0,60.0,90.0,140.0,50.0,50.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png,Permitted,,,
386,306,Aggron,Aggron,,3,Common,Steel,Rock,530.0,70.0,110.0,180.0,60.0,60.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png,Permitted,,,
387,306,Mega Aggron,Aggron,Mega,6,Common,Steel,,630.0,70.0,140.0,230.0,60.0,80.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png,Banned,,,
388,307,Meditite,Meditite,,3,Common,Fighting,Psychic,280.0,30.0,40.0,55.0,40.0,55.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png,,,,
389,308,Medicham,Medicham,,3,Common,Fighting,Psychic,410.0,60.0,60.0,75.0,60.0,75.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png,,,,
390,308,Mega Medicham,Medicham,Mega,6,Common,Fighting,Psychic,510.0,60.0,100.0,85.0,80.0,85.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png,Banned,,,
391,309,Electrike,Electrike,,3,Common,Electric,,295.0,40.0,45.0,40.0,65.0,40.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png,Permitted,,,
392,310,Manectric,Manectric,,3,Common,Electric,,475.0,70.0,75.0,60.0,105.0,60.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png,Permitted,3,0,216
393,310,Mega Manectric,Manectric,Mega,6,Common,Electric,,575.0,70.0,75.0,80.0,135.0,80.0,135.0,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png,Banned,,,
394,311,Plusle,Plusle,,3,Common,Electric,,405.0,60.0,50.0,40.0,85.0,75.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png,,,,
395,312,Minun,Minun,,3,Common,Electric,,405.0,60.0,40.0,50.0,75.0,85.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png,,,,
396,313,Volbeat,Volbeat,,3,Common,Bug,,430.0,65.0,73.0,75.0,47.0,85.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png,,,,
397,314,Illumise,Illumise,,3,Common,Bug,,430.0,65.0,47.0,75.0,73.0,85.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png,,,,
398,315,Roselia,Roselia,,3,Common,Grass,Poison,400.0,50.0,60.0,45.0,100.0,80.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png,Permitted,,,
399,316,Gulpin,Gulpin,,3,Common,Poison,,302.0,70.0,43.0,53.0,43.0,53.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png,,,,
400,317,Swalot,Swalot,,3,Common,Poison,,467.0,100.0,73.0,83.0,73.0,83.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png,,,,
401,318,Carvanha,Carvanha,,3,Common,Water,Dark,305.0,45.0,90.0,20.0,65.0,20.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png,Permitted,,,
402,319,Mega Sharpedo,Sharpedo,Mega,6,Common,Water,Dark,560.0,70.0,140.0,70.0,110.0,65.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png,Banned,,,
403,319,Sharpedo,Sharpedo,,3,Common,Water,Dark,460.0,70.0,120.0,40.0,95.0,40.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png,Permitted,-,-,-
404,320,Wailmer,Wailmer,,3,Common,Water,,400.0,130.0,70.0,35.0,70.0,35.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png,Permitted,,,
405,321,Wailord,Wailord,,3,Common,Water,,500.0,170.0,90.0,45.0,90.0,45.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png,Permitted,,,
406,322,Numel,Numel,,3,Common,Fire,Ground,305.0,60.0,60.0,40.0,65.0,45.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png,,,,
407,323,Camerupt,Camerupt,,3,Common,Fire,Ground,460.0,70.0,100.0,70.0,105.0,75.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png,,,,
408,323,Mega Camerupt,Camerupt,Mega,6,Common,Fire,Ground,560.0,70.0,120.0,100.0,145.0,105.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt-mega.png,Banned,,,
409,324,Torkoal,Torkoal,,3,Common,Fire,,470.0,70.0,85.0,140.0,85.0,70.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png,Permitted,63,3,33
410,325,Spoink,Spoink,,3,Common,Psychic,,330.0,60.0,25.0,35.0,70.0,80.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png,,,,
411,326,Grumpig,Grumpig,,3,Common,Psychic,,470.0,80.0,45.0,65.0,90.0,110.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png,,,,
412,327,Spinda,Spinda,,3,Common,Normal,,360.0,60.0,60.0,60.0,60.0,60.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png,,,,
413,328,Trapinch,Trapinch,,3,Common,Ground,,290.0,45.0,100.0,45.0,45.0,45.0,10.0,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png,Permitted,,,
414,329,Vibrava,Vibrava,,3,Common,Ground,Dragon,340.0,50.0,70.0,50.0,50.0,50.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png,Permitted,,,
415,330,Flygon,Flygon,,3,Common,Ground,Dragon,520.0,80.0,100.0,80.0,80.0,80.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png,Permitted,-,-,-
416,331,Cacnea,Cacnea,,3,Common,Grass,,335.0,50.0,85.0,40.0,85.0,40.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png,,,,
417,332,Cacturne,Cacturne,,3,Common,Grass,Dark,475.0,70.0,115.0,60.0,115.0,60.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png,,,,
418,333,Swablu,Swablu,,3,Common,Normal,Flying,310.0,45.0,40.0,60.0,40.0,75.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png,Permitted,,,
419,334,Altaria,Altaria,,3,Common,Dragon,Flying,490.0,75.0,70.0,90.0,70.0,105.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png,Permitted,3,0,157
420,334,Mega Altaria,Altaria,Mega,6,Common,Dragon,Fairy,590.0,75.0,110.0,110.0,110.0,105.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/altaria-mega.png,Banned,,,
421,335,Zangoose,Zangoose,,3,Common,Normal,,458.0,73.0,115.0,60.0,60.0,60.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png,,,,
422,336,Seviper,Seviper,,3,Common,Poison,,458.0,73.0,100.0,60.0,100.0,60.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png,,,,
423,337,Lunatone,Lunatone,,3,Common,Rock,Psychic,460.0,90.0,55.0,65.0,95.0,85.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/lunatone.png,Permitted,,,
424,338,Solrock,Solrock,,3,Common,Rock,Psychic,460.0,90.0,95.0,85.0,55.0,65.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/solrock.png,Permitted,,,
425,339,Barboach,Barboach,,3,Common,Water,Ground,288.0,50.0,48.0,43.0,46.0,41.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/barboach.png,Permitted,,,
426,340,Whiscash,Whiscash,,3,Common,Water,Ground,468.0,110.0,78.0,73.0,76.0,71.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/whiscash.png,Permitted,,,
427,341,Corphish,Corphish,,3,Common,Water,,308.0,43.0,80.0,65.0,50.0,35.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/corphish.png,Permitted,,,
