,Name,IntroductedIn,Type,Power,Acc,PP,DamageClass,Effect,ProbPercentage
624,Sludge Wave,5,Poison,95.0,100,10.0,Special,May poison opponent.,10.0
625,Smack Down,5,Rock,50.0,100,15.0,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,100.0
626,Smart Strike,7,Steel,70.0,,10.0,Physical,The user stabs the target with a sharp horn. This attack never misses.,
627,Smelling Salts,3,Normal,70.0,100,10.0,Physical,"Power doubles if opponent is paralyzed, but cures it.",
628,Smog,1,Poison,30.0,70,20.0,Special,May poison opponent.,40.0
629,Smokescreen,1,Normal,,100,20.0,Status,Lowers opponent's Accuracy.,
630,Snap Trap,8,Grass,35.0,100,15.0,Physical,"Traps opponent, damaging them for 4-5 turns.",100.0
631,Snarl,5,Dark,55.0,95,15.0,Special,Lowers opponent's Special Attack.,100.0
632,Snatch,3,Dark,,,10.0,Status,Steals the effects of the opponent's next move.,
633,Snipe Shot,8,Water,80.0,100,15.0,Special,Ignores moves and abilities that draw in moves. High critical hit ratio.,
634,Snore,2,Normal,50.0,100,15.0,Special,Can only be used if asleep. May cause flinching.,30.0
635,Soak,5,Water,,100,20.0,Status,Changes the target's type to water.,
636,Soft Boiled,1,Normal,,,10.0,Status,User recovers half its max HP.,
637,Solar Beam,1,Grass,120.0,100,10.0,Special,"Charges on first turn, attacks on second.",
638,Solar Blade,7,Grass,125.0,100,10.0,Physical,"Charges on first turn, attacks on second.",
639,Sonic Boom,1,Normal,,90,20.0,Special,Always inflicts 20 HP.,
640,Soul Stealing 7 Star Strike,7,Ghost,195.0,,1.0,Physical,Marshadow-exclusive Z-Move.,
641,Spacial Rend,4,Dragon,100.0,95,5.0,Special,High critical hit ratio.,
642,Spark,2,Electric,65.0,100,20.0,Physical,May paralyze opponent.,30.0
643,Sparkling Aria,7,Water,90.0,100,10.0,Special,Heals the burns of its target.,
644,Sparkly Swirl,7,Fairy,90.0,100,15.0,Special,Cures all status problems in the party Pokémon.,
645,Spectral Thief,7,Ghost,90.0,100,10.0,Physical,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",
646,Speed Swap,7,Psychic,,,10.0,Status,The user exchanges Speed stats with the target.,
647,Spider Web,2,Bug,,,10.0,Status,Opponent cannot escape/switch.,
648,Spike Cannon,1,Normal,20.0,100,15.0,Physical,Hits 2-5 times in one turn.,
649,Spikes,2,Ground,,,20.0,Status,Hurts opponents when they switch into battle.,
650,Spiky Shield,6,Grass,,,10.0,Status,Protects the user and inflicts damage on contact.,
651,Spirit Break,8,Fairy,75.0,100,15.0,Physical,Lowers opponent's Special Attack.,100.0
652,Spirit Shackle,7,Ghost,80.0,100,10.0,Physical,Prevents the opponent from switching out.,
653,Spit Up,3,Normal,,100,10.0,Special,Power depends on how many times the user performed Stockpile.,
654,Spite,2,Ghost,,100,10.0,Status,The opponent's last move loses 2-5 PP.,
655,Splash,1,Normal,,,40.0,Status,Doesn't do ANYTHING.,
656,Splintered Stormshards,7,Rock,190.0,,1.0,Physical,Lycanroc-exclusive Z-Move.,
657,Splishy Splash,7,Water,90.0,100,15.0,Special,May paralyze opponent.,30.0
658,Spore,1,Grass,,100,15.0,Status,Puts opponent to sleep.,
659,Spotlight,7,Normal,,,15.0,Status,The user shines a spotlight on the target so that only the target will be attacked during the turn.,
660,Stealth Rock,4,Rock,,,20.0,Status,Damages opponent switching into battle.,
661,Steam Eruption,6,Water,110.0,95,5.0,Special,May burn opponent.,30.0
662,Steamroller,5,Bug,65.0,100,20.0,Physical,May cause flinching.,30.0
663,Steel Beam,8,Steel,140.0,95,5.0,Special,User loses 50% of its HP.,
664,Steel Roller,8,Steel,130.0,100,5.0,Physical,Fails if no Terrain in effect.,
665,Steel Wing,2,Steel,70.0,90,25.0,Physical,May raise user's Defense.,10.0
666,Sticky Web,6,Bug,,,20.0,Status,Lowers opponent's Speed when switching into battle.,
667,Stockpile,3,Normal,,,20.0,Status,Stores energy for use with Spit Up and Swallow.,
668,Stoked Sparksurfer,7,Electric,175.0,,1.0,Special,Alolan Raichu-exclusive Electric type Z-Move.,100.0
669,Stomp,1,Normal,65.0,100,20.0,Physical,May cause flinching.,30.0
670,Stomping Tantrum,7,Ground,75.0,100,10.0,Physical,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",
671,Stone Edge,4,Rock,100.0,80,5.0,Physical,High critical hit ratio.,
672,Stored Power,5,Psychic,20.0,100,10.0,Special,Power increases when user's stats have been raised.,
673,Storm Throw,5,Fighting,60.0,100,10.0,Physical,Always results in a critical hit.,100.0
674,Strange Steam,8,Fairy,90.0,95,10.0,Special,May confuse opponent.,20.0
675,Strength,1,Normal,80.0,100,15.0,Physical,,
676,Strength Sap,7,Grass,,100,10.0,Status,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100.0
677,String Shot,1,Bug,,95,40.0,Status,Sharply lowers opponent's Speed.,
678,Struggle,1,Normal,50.0,,,Physical,Only usable when all PP are gone. Hurts the user.,
679,Struggle Bug,5,Bug,50.0,100,20.0,Special,Lowers opponent's Special Attack.,100.0
680,Stuff Cheeks,8,Normal,,,10.0,Status,"The user eats its held Berry, then sharply raises its Defense stat.",100.0
681,Stun Spore,1,Grass,,75,30.0,Status,Paralyzes opponent.,
682,Submission,1,Fighting,80.0,80,20.0,Physical,User receives recoil damage.,
683,Substitute,1,Normal,,,10.0,Status,Uses HP to creates a decoy that takes hits.,
684,Sucker Punch,4,Dark,70.0,100,5.0,Physical,"User attacks first, but only works if opponent is readying an attack.",
685,Sunny Day,2,Fire,,,5.0,Status,Makes it sunny for 5 turns.,
686,Sunsteel Strike,7,Steel,100.0,100,5.0,Physical,Ignores the target's ability.,
687,Super Fang,1,Normal,,90,10.0,Physical,Always takes off half of the opponent's HP.,
688,Superpower,3,Fighting,120.0,100,5.0,Physical,Lowers user's Attack and Defense.,100.0
689,Supersonic,1,Normal,,55,20.0,Status,Confuses opponent.,
690,Surf,1,Water,90.0,100,15.0,Special,Hits all adjacent Pokémon.,
691,Surging Strikes,8,Water,25.0,100,5.0,Physical,Always results in a critical hit and ignores stat changes.,
692,Swagger,2,Normal,,85,15.0,Status,"Confuses opponent, but sharply raises its Attack.",
693,Swallow,3,Normal,,,10.0,Status,"The more times the user has performed Stockpile, the more HP is recovered.",
694,Sweet Kiss,2,Fairy,,75,10.0,Status,Confuses opponent.,
695,Sweet Scent,2,Normal,,100,20.0,Status,Lowers opponent's Evasiveness.,
696,Swift,1,Normal,60.0,∞,20.0,Special,Ignores Accuracy and Evasiveness.,
697,Switcheroo,4,Dark,,100,10.0,Status,Swaps held items with the opponent.,
698,Swords Dance,1,Normal,,,20.0,Status,Sharply raises user's Attack.,
699,Synchronoise,5,Psychic,120.0,100,10.0,Special,Hits any Pokémon that shares a type with the user.,
700,Synthesis,2,Grass,,,5.0,Status,User recovers HP. Amount varies with the weather.,
701,Tackle,1,Normal,40.0,100,35.0,Physical,,
702,Tail Glow,3,Bug,,,20.0,Status,Drastically raises user's Special Attack.,
703,Tail Slap,5,Normal,25.0,85,10.0,Physical,Hits 2-5 times in one turn.,
704,Tail Whip,1,Normal,,100,30.0,Status,Lowers opponent's Defense.,
705,Tailwind,4,Flying,,,15.0,Status,Doubles Speed for 4 turns.,
706,Take Down,1,Normal,90.0,85,20.0,Physical,User receives recoil damage.,
707,Tar Shot,8,Rock,,100,15.0,Status,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100.0
708,Taunt,3,Dark,,100,20.0,Status,Opponent can only use moves that attack.,
709,Tearful Look,7,Normal,,,20.0,Status,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100.0
710,Teatime,8,Normal,,,10.0,Status,Forces all Pokémon on the field to eat their berries.,
711,Techno Blast,5,Normal,120.0,100,5.0,Special,Type depends on the Drive being held.,
712,Teeter Dance,3,Normal,,100,20.0,Status,Confuses all Pokémon.,
713,Telekinesis,5,Psychic,,,15.0,Status,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",
714,Teleport,1,Psychic,,,20.0,Status,Allows user to flee wild battles; also warps player to last PokéCenter.,
715,Terrain Pulse,8,Normal,50.0,100,10.0,Special,Type and power change depending on the Terrain in effect.,
716,Thief,2,Dark,60.0,100,25.0,Physical,Also steals opponent's held item.,
717,Thousand Arrows,6,Ground,90.0,100,10.0,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,
718,Thousand Waves,6,Ground,90.0,100,10.0,Physical,Opponent cannot flee or switch.,
719,Thrash,1,Normal,120.0,100,10.0,Physical,User attacks for 2-3 turns but then becomes confused.,
720,Throat Chop,7,Dark,80.0,100,15.0,Physical,Prevents use of sound moves for two turns.,100.0
721,Thunder,1,Electric,110.0,70,10.0,Special,May paralyze opponent.,30.0
722,Thunder Cage,8,Electric,80.0,90,15.0,Special,"Deals damage and traps opponent, damaging them for 4-5 turns.",
723,Thunder Fang,4,Electric,65.0,95,15.0,Physical,May cause flinching and/or paralyze opponent.,10.0
724,Thunder Punch,1,Electric,75.0,100,15.0,Physical,May paralyze opponent.,10.0
725,Thunder Shock,1,Electric,40.0,100,30.0,Special,May paralyze opponent.,10.0
726,Thunder Wave,1,Electric,,90,20.0,Status,Paralyzes opponent.,
727,Thunderbolt,1,Electric,90.0,100,15.0,Special,May paralyze opponent.,10.0
728,Thunderous Kick,8,Fighting,90.0,100,10.0,Physical,Lowers opponent's Defense.,100.0
729,Tickle,3,Normal,,100,20.0,Status,Lowers opponent's Attack and Defense.,
730,Topsy Turvy,6,Dark,,,20.0,Status,Reverses stat changes of opponent.,
731,Torment,3,Dark,,100,15.0,Status,Opponent cannot use the same move in a row.,
732,Toxic,1,Poison,,90,10.0,Status,Badly poisons opponent.,
733,Toxic Spikes,4,Poison,,,20.0,Status,Poisons opponents when they switch into battle.,
734,Toxic Thread,7,Poison,,100,20.0,Status,Lowers target's Speed.,100.0
735,Transform,1,Normal,,,10.0,Status,User takes on the form and attacks of the opponent.,
736,Tri Attack,1,Normal,80.0,100,10.0,Special,"May paralyze, burn or freeze opponent.",20.0
737,Trick,3,Psychic,,100,10.0,Status,Swaps held items with the opponent.,
738,Trick Or Treat,6,Ghost,,100,20.0,Status,Adds Ghost type to opponent.,
739,Trick Room,4,Psychic,,,5.0,Status,Slower Pokémon move first in the turn for 5 turns.,
740,Triple Axel,8,Ice,20.0,90,10.0,Physical,Attacks thrice with more power each time.,
741,Triple Kick,2,Fighting,10.0,90,10.0,Physical,Hits thrice in one turn at increasing power.,
742,Trop Kick,7,Grass,70.0,100,15.0,Physical,Lowers opponent's Attack.,100.0
743,Trump Card,4,Normal,,∞,5.0,Special,"The lower the PP, the higher the power.",
744,Twineedle,1,Bug,25.0,100,20.0,Physical,Hits twice in one turn. May poison opponent.,20.0
745,Twister,2,Dragon,40.0,100,20.0,Special,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20.0
746,U Turn,4,Bug,70.0,100,20.0,Physical,User switches out immediately after attacking.,
747,Uproar,3,Normal,90.0,100,10.0,Special,User attacks for 3 turns and prevents sleep.,
748,V Create,5,Fire,180.0,95,5.0,Physical,"Lowers user's Defense, Special Defense and Speed.",100.0
749,Vacuum Wave,4,Fighting,40.0,100,30.0,Special,User attacks first.,
750,Veevee Volley,7,Normal,,∞,20.0,Physical,Power increases when player's bond is stronger.,
751,Venom Drench,6,Poison,,100,20.0,Status,Lowers poisoned opponent's Special Attack and Speed.,100.0
752,Venoshock,5,Poison,65.0,100,10.0,Special,Inflicts double damage if the target is poisoned.,
753,Vine Whip,1,Grass,45.0,100,25.0,Physical,,
754,Vise Grip,1,Normal,55.0,100,30.0,Physical,,
755,Vital Throw,2,Fighting,70.0,∞,10.0,Physical,"User attacks last, but ignores Accuracy and Evasiveness.",
756,Volt Switch,5,Electric,70.0,100,20.0,Special,User must switch out after attacking.,
757,Volt Tackle,3,Electric,120.0,100,15.0,Physical,User receives recoil damage. May paralyze opponent.,10.0
758,Wake Up Slap,4,Fighting,70.0,100,10.0,Physical,"Power doubles if opponent is asleep, but wakes it up.",
759,Water Gun,1,Water,40.0,100,25.0,Special,,
760,Water Pledge,5,Water,80.0,100,10.0,Special,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,
761,Water Pulse,3,Water,60.0,100,20.0,Special,May confuse opponent.,20.0
762,Water Shuriken,6,Water,15.0,100,20.0,Special,Hits 2-5 times in one turn.,
763,Water Sport,3,Water,,,15.0,Status,Weakens the power of Fire-type moves.,
764,Water Spout,3,Water,150.0,100,5.0,Special,"The higher the user's HP, the higher the damage caused.",
765,Waterfall,1,Water,80.0,100,15.0,Physical,May cause flinching.,20.0
766,Weather Ball,3,Normal,50.0,100,10.0,Special,Move's power and type changes with the weather.,
767,Whirlpool,2,Water,35.0,85,15.0,Special,"Traps opponent, damaging them for 4-5 turns.",100.0
768,Whirlwind,1,Normal,,,20.0,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",
769,Wicked Blow,8,Dark,80.0,100,5.0,Physical,Always results in a critical hit and ignores stat changes.,
770,Wide Guard,5,Rock,,,10.0,Status,Protects the user's team from multi-target attacks.,
771,Wild Charge,5,Electric,90.0,100,15.0,Physical,User receives recoil damage.,
772,Will O Wisp,3,Fire,,85,15.0,Status,Burns opponent.,
773,Wing Attack,1,Flying,60.0,100,35.0,Physical,,
774,Wish,3,Normal,,,10.0,Status,The user recovers HP in the following turn.,
775,Withdraw,1,Water,,,40.0,Status,Raises user's Defense.,
776,Wonder Room,5,Psychic,,,10.0,Status,Swaps every Pokémon's Defense and Special Defense for 5 turns.,
777,Wood Hammer,4,Grass,120.0,100,15.0,Physical,User receives recoil damage.,
778,Work Up,5,Normal,,,30.0,Status,Raises user's Attack and Special Attack.,
779,Worry Seed,4,Grass,,100,10.0,Status,Changes the opponent's Ability to Insomnia.,
780,Wrap,1,Normal,15.0,90,20.0,Physical,"Traps opponent, damaging them for 4-5 turns.",100.0
781,Wring Out,4,Normal,,100,5.0,Special,"The higher the opponent's HP, the higher the damage.",
782,X Scissor,4,Bug,80.0,100,15.0,Physical,,
783,Yawn,3,Normal,,,10.0,Status,Puts opponent to sleep in the next turn.,
784,Zap Cannon,2,Electric,120.0,50,5.0,Special,Paralyzes opponent.,100.0
785,Zen Headbutt,4,Psychic,80.0,90,15.0,Physical,May cause flinching.,20.0
786,Zing Zap,7,Electric,80.0,100,10.0,Physical,May cause flinching.,30.0
787,Zippy Zap,7,Electric,50.0,100,15.0,Physical,Always results in a critical hit.,100.0
788,G-Max Vine Lash,8,Grass,,∞,10.0,,Inflicts damage for four turns on non-Grass-type opponents,
789,G-Max Wildfire,8,Fire,,∞,10.0,,Inflicts damage for four turns on non-Fire-type opponents,100.0
790,G-Max Cannonade,8,Water,,∞,10.0,,Inflicts damage for four turns on non-Water-type opponents,
791,G-Max Befuddle,8,Bug,,∞,5.0,,"Inflicts poison, paralysis, or sleep on all opponents",100.0
792,G-Max Volt Crash,8,Electric,,∞,10.0,,Paralyzes all opponents,100.0
793,G-Max Gold Rush,8,Normal,,∞,5.0,,Scatters coins on the ground that are picked up afterwards and confuses all opponents Value is equal to 100 × the user's level (200 × user's level with an Amulet Coin),100.0
794,G-Max Chi Strike,8,Fighting,,∞,5.0,,"Pumps up the user and its allies, raising the chance of critical hits by one stage. Stacks with itself and moves like Focus Energy, unlike other critical hit sources",
795,G-Max Terror,8,Ghost,,∞,10.0,,Prevents the opponent from escaping or being recalled Same effect as Mean Look,
796,G-Max Foam Burst,8,Water,,∞,5.0,,Lowers the Speed of all opponents by two stages,100.0
797,G-Max Resonance,8,Ice,,∞,5.0,,"Lowers damage from both Physical and Special moves for five turns Same effect as Aurora Veil, though it does not require hail.",
798,G-Max Cuddle,8,Normal,,∞,5.0,,Opponents of the opposite gender of the user become infatuated,100.0
799,G-Max Replenish,8,Normal,,∞,5.0,,50% chance of restoring user or ally's used Berries Similar effect to Recycle when it works,
800,G-Max Malodor,8,Poison,,∞,5.0,,Poisons all opponents,100.0
801,G-Max Meltdown,8,Steel,,∞,5.0,,Makes opponents incapable of using the same move twice in a row Same effect as Torment,
802,G-Max Drum Solo,8,Grass,,∞,5.0,,"Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker",
803,G-Max Fireball,8,Fire,,∞,5.0,,"Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker",
804,G-Max Hydrosnipe,8,Water,,∞,5.0,,"Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker",
805,G-Max Wind Rage,8,Flying,,∞,10.0,,"Removes the effects of moves like Reflect, Light Screen, Spikes, and terrain from the opponents' side of the field. Works like Defog, but does not lower evasiveness.",
806,G-Max Gravitas,8,Psychic,,∞,5.0,,Intensifies gravity for five turns Same effect as Gravity,
807,G-Max Stonesurge,8,Water,,∞,5.0,,Creates Stealth Rock on the opponents' side of the field,
808,G-Max Volcalith,8,Rock,,∞,10.0,,Inflicts damage for four turns on non-Rock-type opponents,100.0
809,G-Max Tartness,8,Grass,,∞,10.0,,Lowers the evasiveness of all opponents by one stage,100.0
810,G-Max Sweetness,8,Grass,,∞,10.0,,Cures the user and its allies of their status conditions Only affects allies on the field,
811,G-Max Sandblast,8,Ground,,∞,5.0,,Traps the target in Sand Tomb for four to five turns,100.0
812,G-Max Stun Shock,8,Electric,,∞,10.0,,Inflicts poison or paralysis on all opponents,100.0
813,G-Max Centiferno,8,Fire,,∞,5.0,,Traps the target in Fire Spin for four to five turns,100.0
814,G-Max Smite,8,Fairy,,∞,5.0,,Inflicts confusion on all opponents,100.0
815,G-Max Snooze,8,Dark,,∞,5.0,,"50% chance of making the target drowsy, causing it to fall asleep at the end of the next turn Same effect as Yawn when it works.",
816,G-Max Finale,8,Fairy,,∞,5.0,,Heals the user and its allies by 1/6 their maximum HP,
817,G-Max Steelsurge,8,Steel,,∞,5.0,,"Scatters sharp spikes around the field Works like Stealth Rock, though it checks the effectiveness of Steel against the target instead of Rock",
818,G-Max Depletion,8,Dragon,,∞,5.0,,Takes away 2 PP from the last move the target used Less potent version of Spite's effect.,
819,G-Max One Blow,8,Dark,,∞,5.0,,"Hits the target even if it is protected by a protection move, including Max Guard Works like Feint",
820,G-Max Rapid Flow,8,Water,,∞,5.0,,"Hits the target even if it is protected by a protection move, including Max Guard. Works like Feint",
