,Name,Category,Effect
726,TM35,Machines,Teaches the move Metronome/Sleep Talk/Flamethrower/Ice Punch/Hail.
727,TM36,Machines,Teaches the move Self-Destruct/Sludge Bomb/Thunderbolt/Whirlpool.
728,TM37,Machines,Teaches the move Egg Bomb/Sandstorm/Flamethrower/Beat Up.
729,TM38,Machines,Teaches the move Fire Blast/Thunder/Will-O-Wisp.
730,TM39,Machines,Teaches the move Swift/Rock Tomb/Outrage/Facade.
731,TM40,Machines,Teaches the move Skull Bash/Defense Curl/Aerial Ace/Psychic/Swift.
732,TM41,Machines,Teaches the move Softboiled/Thunder Punch/Torment/Earthquake/Helping Hand.
733,TM42,Machines,Teaches the move Dream Eater/Facade/Self-Destruct/Revenge.
734,TM43,Machines,Teaches the move Sky Attack/Detect/Secret Power/Flame Charge/Shadow Ball/Brick Break/Volt Switch.
735,TM44,Machines,Teaches the move Rest/Play Rough/Imprison.
736,TM45,Machines,Teaches the move Thunder Wave/Attract/Solar Beam/Dive.
737,TM46,Machines,Teaches the move Psywave/Thief/Fire Blast/Weather Ball.
738,TM47,Machines,Teaches the move Explosion/Steel Wing/Low Sweep/Surf/Fake Tears.
739,TM48,Machines,Teaches the move Rock Slide/Fire Punch/Skill Swap/Round/Hyper Beam/Rock Tomb.
740,TM49,Machines,Teaches the move Tri Attack/Fury Cutter/Snatch/Echoed Voice/Superpower/Sand Tomb/Scald.
741,TM50,Machines,Teaches the move Substitute/Nightmare/Overheat/Roost/Bullet Seed.
742,TM51,Machines,Teaches the move Roost/Ally Switch/Steel Wing/Blizzard/Icicle Spear.
743,TM52,Machines,Teaches the move Focus Blast/Sludge Bomb/Bounce.
744,TM53,Machines,Teaches the move Energy Ball/Mega Drain/Mud Shot.
745,TM54,Machines,Teaches the move False Swipe/Flash Cannon/Rock Blast.
746,TM55,Machines,Teaches the move Brine/Scald/Ice Beam.
747,TM56,Machines,Teaches the move Fling/Stealth Rock/U-turn.
748,TM57,Machines,Teaches the move Charge Beam/Pay Day/Payback.
749,TM58,Machines,Teaches the move Endure/Sky Drop/Drill Run/Assurance.
750,TM59,Machines,Teaches the move Dragon Pulse/Incinerate/Brutal Swing/Dream Eater/Fling.
751,TM60,Machines,Teaches the move Drain Punch/Quash/Megahorn/Power Swap.
752,TM61,Machines,Teaches the move Will-O-Wisp/Guard Swap.
753,TM62,Machines,Teaches the move Silver Wind/Acrobatics/Speed Swap/Bug Buzz.
754,TM63,Machines,Teaches the move Embargo/Drain Punch/Nasty Plot.
755,TM64,Machines,Teaches the move Explosion/Avalanche.
756,TM65,Machines,Teaches the move Shadow Claw.
757,TM66,Machines,Teaches the move Payback/Thunder Fang.
758,TM67,Machines,Teaches the move Recycle/Retaliate/Smart Strike/Ice Fang.
759,TM68,Machines,Teaches the move Giga Impact/Fire Fang.
760,TM69,Machines,Teaches the move Rock Polish/Psycho Cut.
761,TM70,Machines,Teaches the move Flash/Aurora Veil/Trick Room.
762,TM71,Machines,Teaches the move Stone Edge/Wonder Room.
763,TM72,Machines,Teaches the move Avalanche/Volt Switch/Magic Room.
764,TM73,Machines,Teaches the move Thunder Wave/Cross Poison.
765,TM74,Machines,Teaches the move Gyro Ball/Venoshock.
766,TM75,Machines,Teaches the move Swords Dance/Low Sweep.
767,TM76,Machines,Teaches the move Stealth Rock/Struggle Bug/Fly/Round.
768,TM77,Machines,Teaches the move Psych Up/Hex.
769,TM78,Machines,Teaches the move Captivate/Bulldoze/Acrobatics/Snarl.
770,TM79,Machines,Teaches the move Dark Pulse/Frost Breath/Retaliate.
771,TM80,Machines,Teaches the move Rock Slide/Volt Switch.
772,TM81,Machines,Teaches the move X-Scissor/Bulldoze.
773,TM82,Machines,Teaches the move Sleep Talk/Dragon Tail/Electroweb.
774,TM83,Machines,Teaches the move Natural Gift/Work Up/Infestation/Razor Shell/Bulldoze.
775,TM84,Machines,Teaches the move Poison Jab/Tail Slap.
776,TM85,Machines,Teaches the move Dream Eater/Snarl.
777,TM86,Machines,Teaches the move Grass Knot/Phantom Force.
778,TM87,Machines,Teaches the move Swagger/Draining Kiss.
779,TM88,Machines,Teaches the move Pluck/Sleep Talk/Grassy Terrain.
780,TM89,Machines,Teaches the move U-turn/Misty Terrain.
781,TM90,Machines,Teaches the move Substitute/Electric Terrain.
782,TM91,Machines,Teaches the move Flash Cannon/Psychic Terrain.
783,TM92,Machines,Teaches the move Trick Room/Mystical Fire.
784,TM93,Machines,Teaches the move Wild Charge/Eerie Impulse/Cut.
785,TM94,Machines,Teaches the move Rock Smash/Surf/False Swipe/Fly.
786,TM95,Machines,Teaches the move Snarl/Air Slash/Surf.
787,TM96,Machines,Teaches the move Nature Power/Smart Strike/Strength.
788,TM97,Machines,Teaches the move Dark Pulse/Brutal Swing/Defog.
789,TM98,Machines,Teaches the move Power-Up Punch/Waterfall/Stomping Tantrum/Rock Smash.
790,TM99,Machines,Teaches the move Dazzling Gleam/Breaking Swipe/Waterfall.
791,TMV Pass,General items,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.
792,Tough Candy,Medicine,Increases a Pokémon's Defense stat by 1.
793,Tough Candy L,Medicine,Increases a Pokémon's Defense stat.
794,Tough Candy XL,Medicine,Increases a Pokémon's Defense stat.
795,Toxic Orb,Hold items,An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.
796,Toxic Plate,Hold items,Increases power of Poison-type moves. Changes Arceus' type to Poison.
797,TR00,Machines,Teaches the move Swords Dance.
798,TR01,Machines,Teaches the move Body Slam.
799,TR02,Machines,Teaches the move Flamethrower.
800,TR03,Machines,Teaches the move Hydro Pump.
801,TR04,Machines,Teaches the move Surf.
802,TR05,Machines,Teaches the move Ice Beam.
803,TR06,Machines,Teaches the move Blizzard.
804,TR07,Machines,Teaches the move Low Kick.
805,TR08,Machines,Teaches the move Thunderbolt.
806,TR09,Machines,Teaches the move Thunder.
807,TR10,Machines,Teaches the move Earthquake.
808,TR11,Machines,Teaches the move Psychic.
809,TR12,Machines,Teaches the move Agility.
810,TR13,Machines,Teaches the move Focus Energy.
811,TR14,Machines,Teaches the move Metronome.
812,TR15,Machines,Teaches the move Fire Blast.
813,TR16,Machines,Teaches the move Waterfall.
814,TR17,Machines,Teaches the move Amnesia.
815,TR18,Machines,Teaches the move Leech Life.
816,TR19,Machines,Teaches the move Tri Attack.
817,TR20,Machines,Teaches the move Substitute.
818,TR21,Machines,Teaches the move Reversal.
819,TR22,Machines,Teaches the move Sludge Bomb.
820,TR23,Machines,Teaches the move Spikes.
821,TR24,Machines,Teaches the move Outrage.
822,TR25,Machines,Teaches the move Psyshock.
823,TR26,Machines,Teaches the move Endure.
824,TR27,Machines,Teaches the move Sleep Talk.
825,TR28,Machines,Teaches the move Megahorn.
826,TR29,Machines,Teaches the move Baton Pass.
827,TR30,Machines,Teaches the move Encore.
828,TR31,Machines,Teaches the move Iron Tail.
829,TR32,Machines,Teaches the move Crunch.
830,TR33,Machines,Teaches the move Shadow Ball.
831,TR34,Machines,Teaches the move Future Sight.
832,TR35,Machines,Teaches the move Uproar.
833,TR36,Machines,Teaches the move Heat Wave.
834,TR37,Machines,Teaches the move Taunt.
835,TR38,Machines,Teaches the move Trick.
836,TR39,Machines,Teaches the move Superpower.
837,TR40,Machines,Teaches the move Skill Swap.
838,TR41,Machines,Teaches the move Blaze Kick.
839,TR42,Machines,Teaches the move Hyper Voice.
840,TR43,Machines,Teaches the move Overheat.
841,TR44,Machines,Teaches the move Cosmic Power.
842,TR45,Machines,Teaches the move Muddy Water.
843,TR46,Machines,Teaches the move Iron Defense.
844,TR47,Machines,Teaches the move Dragon Claw.
845,TR48,Machines,Teaches the move Bulk Up.
846,TR49,Machines,Teaches the move Calm Mind.
847,TR50,Machines,Teaches the move Leaf Blade.
848,TR51,Machines,Teaches the move Dragon Dance.
849,TR52,Machines,Teaches the move Gyro Ball.
850,TR53,Machines,Teaches the move Close Combat.
851,TR54,Machines,Teaches the move Toxic Spikes.
852,TR55,Machines,Teaches the move Flare Blitz.
853,TR56,Machines,Teaches the move Aura Sphere.
854,TR57,Machines,Teaches the move Poison Jab.
855,TR58,Machines,Teaches the move Dark Pulse.
856,TR59,Machines,Teaches the move Seed Bomb.
857,TR60,Machines,Teaches the move X-Scissor.
858,TR61,Machines,Teaches the move Bug Buzz.
859,TR62,Machines,Teaches the move Dragon Pulse.
860,TR63,Machines,Teaches the move Power Gem.
861,TR64,Machines,Teaches the move Focus Blast.
862,TR65,Machines,Teaches the move Energy Ball.
863,TR66,Machines,Teaches the move Brave Bird.
864,TR67,Machines,Teaches the move Earth Power.
865,TR68,Machines,Teaches the move Nasty Plot.
866,TR69,Machines,Teaches the move Zen Headbutt.
867,TR70,Machines,Teaches the move Flash Cannon.
868,TR71,Machines,Teaches the move Leaf Storm.
869,TR72,Machines,Teaches the move Power Whip.
870,TR73,Machines,Teaches the move Gunk Shot.
871,TR74,Machines,Teaches the move Iron Head.
872,TR75,Machines,Teaches the move Stone Edge.
873,TR76,Machines,Teaches the move Stealth Rock.
874,TR77,Machines,Teaches the move Grass Knot.
875,TR78,Machines,Teaches the move Sludge Wave.
876,TR79,Machines,Teaches the move Heavy Slam.
877,TR80,Machines,Teaches the move Electro Ball.
878,TR81,Machines,Teaches the move Foul Play.
879,TR82,Machines,Teaches the move Stored Power.
880,TR83,Machines,Teaches the move Ally Switch.
881,TR84,Machines,Teaches the move Scald.
882,TR85,Machines,Teaches the move Work Up.
883,TR86,Machines,Teaches the move Wild Charge.
884,TR87,Machines,Teaches the move Drill Run.
885,TR88,Machines,Teaches the move Heat Crash.
886,TR89,Machines,Teaches the move Hurricane.
887,TR90,Machines,Teaches the move Play Rough.
888,TR91,Machines,Teaches the move Venom Drench.
889,TR92,Machines,Teaches the move Dazzling Gleam.
890,TR93,Machines,Teaches the move Darkest Lariat.
891,TR94,Machines,Teaches the move High Horsepower.
892,TR95,Machines,Teaches the move Throat Chop.
893,TR96,Machines,Teaches the move Pollen Puff.
894,TR97,Machines,Teaches the move Psychic Fangs.
895,TR98,Machines,Teaches the move Liquidation.
896,TR99,Machines,Teaches the move Body Press.
897,Tropical Shell,General items,NA
898,Tumblestone,General items,NA
899,Twice-Spiced Radish,General items,NA
900,Twisted Spoon,Hold items,Increases the power of Psychic-type moves.
901,Tyranitarite,Hold items,Enables Tyranitar to Mega Evolve during battle.
902,Ultra Ball,Pokeballs,An ultra-performance Ball that provides a higher Pokémon catch rate than a Great Ball.
903,Ultranecrozium Z,Hold items,"Allows Ultra Necrozma to upgrade Photon Geyser to a Z-Move, Light That Burns the Sky."
904,Upgrade,General items,Evolves Porygon when traded holding the item.
905,Utility Umbrella,Hold items,An item to be held by a Pokémon. This sturdy umbrella protects the holder from the effects of weather.
906,Venusaurite,Hold items,Enables Venusaur to Mega Evolve during battle.
907,Vivichoke,General items,NA
908,Wacan Berry,Berries,Weakens a supereffective Electric-type attack against the holding Pokémon.
909,Water Gem,Hold items,Increases the power of a Water-type move only once.
910,Water Memory,Hold items,Changes Silvally and its move Multi-Attack to Water type.
911,Water Stone,General items,Evolves certain species of Pokémon.
912,Waterium Z,Hold items,"Allows the use of Hydro Vortex, the Water type Z-Move."
913,Watmel Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
914,Wave Incense,Hold items,Increases the power of Water-type moves. Breeding Mantine produces Mantyke when held.
915,Weakness Policy,Hold items,Sharply raises Attack and Special Attack if hit by a super-effective move.
916,Wepear Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
917,Whipped Dream,General items,Evolves Swirlix when traded holding the item.
918,White Apricorn,General items,A white Apricorn. It doesn't smell like anything.
919,White Flute,General items,A toy flute made from white glass. A maniac will buy it for a high price.
920,White Herb,Hold items,An item to be held by a POKéMON. It restores any lowered stat in battle. It can be used only once.
921,Wide Lens,Hold items,Increases the accuracy of moves.
922,Wiki Berry,Berries,"Restores HP if it's low, but may cause confusion."
923,Wing Ball,Pokeballs,NA
924,Wise Glasses,Hold items,Increases the power of Special-category moves.
925,Wishing Piece,General items,Activates a Pokémon Den for a Max Raid Battle.
926,Wood,General items,NA
927,X Accuracy,Battle items,Raises Accuracy of a Pokémon in battle.
928,X Accuracy 2,Battle items,Sharply raises Accuracy of a Pokémon in battle.
929,X Accuracy 3,Battle items,Drastically raises Accuracy of a Pokémon in battle.
930,X Accuracy 6,Battle items,Immensely raises Accuracy of a Pokémon in battle.
931,X Attack,Battle items,Raises Attack of a Pokémon in battle.
932,X Attack 2,Battle items,Sharply raises Attack of a Pokémon in battle.
933,X Attack 3,Battle items,Drastically raises Attack of a Pokémon in battle.
934,X Attack 6,Battle items,Immensely raises Attack of a Pokémon in battle.
935,X Defense,Battle items,Raises Defense of a Pokémon in battle.
936,X Defense 2,Battle items,Sharply raises Defense of a Pokémon in battle.
937,X Defense 3,Battle items,Drastically raises Defense of a Pokémon in battle.
938,X Defense 6,Battle items,Immensely raises Defense of a Pokémon in battle.
939,X Sp. Atk,Battle items,Raises Special Attack of a Pokémon in battle.
940,X Sp. Atk 2,Battle items,Sharply raises Special Attack of a Pokémon in battle.
941,X Sp. Atk 3,Battle items,Drastically raises Special Attack of a Pokémon in battle.
942,X Sp. Atk 6,Battle items,Immensely raises Special Attack of a Pokémon in battle.
943,X Sp. Def,Battle items,Raises Special Defense of a Pokémon in battle.
944,X Sp. Def 2,Battle items,Sharply raises Special Defense of a Pokémon in battle.
945,X Sp. Def 3,Battle items,Drastically raises Special Defense of a Pokémon in battle.
946,X Sp. Def 6,Battle items,Immensely raises Special Defense of a Pokémon in battle.
947,X Speed,Battle items,Raises Speed of a Pokémon in battle.
948,X Speed 2,Battle items,Sharply raises Speed of a Pokémon in battle.
949,X Speed 3,Battle items,Drastically raises Speed of a Pokémon in battle.
950,X Speed 6,Battle items,Immensely raises Speed of a Pokémon in battle.
951,Yache Berry,Berries,Weakens a supereffective Ice-type attack against the holding Pokémon.
952,Yellow Apricorn,General items,A yellow Apricorn. It has an invigorating scent.
953,Yellow Flute,General items,A toy flute made from yellow glass. A maniac will buy it for a high price.
954,Yellow Nectar,Hold items,A flower nectar obtained at Melemele Meadow. It changes the form of certain species of Pokémon.
955,Yellow Scarf,General items,Raises holder's Tough aspect in a Contest.
956,Yellow Shard,General items,A small yellow shard. It appears to be from some sort of implement made long ago.
957,Zap Plate,Hold items,Increases power of Electric-type moves. Changes Arceus' type to Electric.
958,Zinc,Medicine,Increases Special Defense EVs by 10.
959,Zoom Lens,Hold items,Raises a move's accuracy if the holder moves after its target.
