,Pokemon,HP,Atk,Def,SpA,SpD,Spe
1328,Slurpuff,82,80,86,85,75,72
1329,Eiscue,75,80,110,65,90,50
1330,Hippowdon,108,112,118,68,72,47
1331,Alakazam,55,50,45,135,95,120
1332,Torracat,65,85,50,80,50,90
1333,Thievul,70,58,58,87,92,90
1334,Arctozolt,90,100,90,90,80,55
1335,Cofagrigus,58,50,145,95,105,30
1336,Starmie,60,75,85,100,85,115
1337,Turtonator,60,78,135,91,85,36
1338,Sharpedo,70,120,40,95,40,95
1339,Salazzle,68,64,60,111,60,117
1340,Ninetales,73,76,75,81,100,100
1341,Emolga,55,75,60,75,60,103
1342,Ribombee,60,55,60,95,70,124
1343,Charjabug,57,82,95,55,75,36
1344,Toxtricity,75,98,70,114,70,75
1345,Vaporeon,130,65,60,110,95,65
1346,Mr. Mime,40,45,65,100,120,90
1347,Magnezone,70,70,115,130,90,60
1348,Gallade,68,125,65,65,115,80
1349,Lopunny,65,76,84,54,96,105
1350,Gourgeist-Small,55,85,122,58,75,99
1351,Malamar,86,92,88,68,75,73
1352,Golisopod,75,125,140,60,90,40
1353,Golduck,80,82,78,95,80,85
1354,Shiinotic,60,45,80,90,100,30
1355,Lycanroc-Dusk,75,117,65,55,65,110
1356,Unfezant,80,115,80,65,55,93
1357,Perrserker,70,110,100,50,60,50
1358,Slowbro-Galar,95,100,95,100,70,30
1359,Bouffalant,95,110,95,40,95,55
1360,Rotom-Frost,50,65,107,105,107,86
1361,Roserade,60,70,65,125,105,90
1362,Tangrowth,100,100,125,110,50,50
1363,Sandaconda,72,107,125,65,70,71
1364,Polteageist,60,65,65,134,114,70
1365,Tangela,65,55,115,100,40,60
1366,Morpeko,58,95,58,70,58,97
1367,Eldegoss,60,50,90,80,120,60
1368,Aromatisse,101,72,72,99,89,29
1369,Miltank,95,80,105,40,70,100
1370,Gourgeist-Super,85,100,122,58,75,54
1371,Crawdaunt,63,120,85,90,55,55
1372,Heracross,80,125,75,40,95,85
1373,Magneton,50,60,95,120,70,70
1374,Stoutland,85,110,90,45,90,80
1375,Noivern,85,70,80,97,80,123
1376,Claydol,60,70,105,70,120,75
1377,Jolteon,65,65,60,110,95,130
1378,Vileplume,75,80,85,110,90,50
1379,Cursola,60,95,50,145,130,30
1380,Falinks,65,100,100,70,60,75
1381,Dedenne,67,58,57,81,67,101
1382,Flygon,80,100,80,80,80,100
1383,Crustle,70,105,125,65,75,45
1384,Reuniclus,110,65,75,125,85,30
1385,Dusknoir,45,100,135,65,135,45
1386,Drapion,70,90,110,60,75,95
1387,Exploud,104,91,63,91,73,68
1388,Wigglytuff,140,70,45,85,50,45
1389,Gardevoir,68,65,65,125,115,80
1390,Corsola-Galar,60,55,100,65,100,30
1391,Vanilluxe,71,95,85,110,95,79
1392,Seaking,80,92,65,65,80,68
1393,Sigilyph,72,58,80,103,80,97
1394,Decidueye,78,107,75,100,100,70
1395,Galvantula,70,77,60,97,60,108
1396,Arctovish,90,90,100,80,90,55
1397,Maractus,75,86,67,106,67,60
1398,Orbeetle,60,45,110,80,120,90
1399,Passimian,100,120,90,40,60,80
1400,Ninjask,61,90,45,50,50,160
1401,Druddigon,77,120,90,60,90,48
1402,Lycanroc,75,115,65,55,65,112
1403,Beheeyem,75,75,75,125,95,40
1404,Marowak,60,80,110,50,80,45
1405,Tentacruel,80,70,65,80,120,100
1406,Dragalge,65,75,90,97,123,44
1407,Flareon,65,130,60,95,110,65
1408,Bewear,120,125,80,55,60,60
1409,Scyther,70,110,80,55,80,105
1410,Sandslash-Alola,75,100,120,25,65,65
1411,Poliwrath,90,95,95,70,90,70
1412,Lycanroc-Midnight,85,115,75,55,75,82
1413,Golurk,89,124,80,55,80,55
1414,Lickilicky,110,85,95,80,95,50
1415,Rotom-Fan,50,65,107,105,107,86
1416,Hitmonlee,50,120,53,35,110,87
1417,Scolipede,60,100,89,55,69,112
1418,Dunsparce,100,70,70,65,65,45
1419,Sandslash,75,100,110,45,55,65
1420,Steelix,75,85,200,55,65,30
1421,Noctowl,100,50,50,86,96,70
1422,Corsola,65,55,95,65,95,35
1423,Mime Jr.,20,25,45,70,90,60
1424,Gourgeist-Large,75,95,122,58,75,69
